"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",6548442000,6477374096,5044777266,6620308070,4408971273,6405663166,4971117417,7123804614,6859916601,6668557799,5618916525,6760293102,7001486964.9,7557297528.9402,10006134216.3899,8814140001.4132,10959037892.1937,10779960253.6293,13082411921.6588,15825271920.6361,12804722501.7932,23499160290.5518,19697155373.8633,18946716262.2499,19508620555.7663,17486891458.2435,20426138946.52,22540810797.0451,25018500917.2119,27625374875.4535,34536586712.0485,27040797617.55,29919144138.5537,35145203311.6536,33905377482.71,18557850748.33
"R&D",643508000,638521944,611055856,779850701,908887027,995830647,1195418447,1077564921,1467552889,1509982725,1008444053,1906171377,2001092067,1824674470,1458086705,2415231888,2934614924.6974,2739527199.0921,2624787607.4692,2027703771.8663,1249340325.182,708613221.1979,399368151.3268,353948001.8156,206081249.1587,198192456.99,299137710.4555,647167934.8093,731763165.7931,713989943.3935,446835589.1455,83811091.9157,51731596.2024,45510561.39,30638701.41,9041415.49
"Services (Non-R&D)",3499761493,2403227672,2955220904,2146534701,2090851346,2268008927,1819616560,2491678039,3265947435,2498048410,2728461185,3737862809,3692972311.0298,3290667056.1104,3378600793.8284,2811066342.712,2925551097.2841,3733988776.8926,3646491270.0121,3649386415.1479,3506369808.9203,4180870255.5054,3726269125.6592,3847846099.5242,4112434372.3048,3799021810.081,3942541451.5529,4072060279.5406,5650369590.6549,5059720815.1528,5347733583.0893,5102071128.5328,4767281750.1158,5291083674.3545,5714508043.6209,2991782088.77
"Unlabeled",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
