"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",1415033000,2246388290,763573559,734996632,941061864,1176359374,2289854016,2811882424,5022866051,3503545194,2655875201,3383373264,8575025206.9,7387264147,9169925094.2098,9548112377.9512,11145014187.3089,11367441512.5165,12364377563.3138,13550310303.7686,9208945499.048,17384493131.81,8266438293.191,7667015962.0278,10412174861.1729,8329489234.5679,10007342645.1745,9357613823.7534,9935838209.0811,11018211349.9068,18137805929.9988,11359506626.6062,13062550396.6132,14776033995.4108,12892054306.38,9035674308.68
"Large",3556445000,3842230355,4266713610,3731336093,3276553686,2411400931,2715703119,2164890234,2053757684,2399273977,4142653942,1383832782,1666006676,2523233726.9302,3160547115.4884,1939737375.0881,2973069471.0958,2957564500.4863,4052305941.5056,3873534956.7171,3973538678.2366,5355308982.7701,10559383687.0026,10790433586.2226,8699536728.7391,8282240221.1657,9203670108.8545,12135303918.4263,12614196638.1959,12528301962.2335,13653829437.1864,12270802385.2207,11184889879.34,14044602682.4015,13606123895.3719,7599859597.34
"Medium",4058772493,2099609793,2208689938,3921559996,2257897099,5069750434,2088915491,3007797313,3115954661,2523218661,1478752002,6571314857,1256917830,1081347965.1204,1101253187.07,1207241577.6228,960530522.7691,1004306080.5073,1106797905.571,1708877000.9211,1589040723.9324,2716931561.0284,2418043940.5912,2174655010.5702,2016358793.3874,2110573321.9092,2387077574.5711,2143640192.8131,3266108823.4594,3455884811.0305,2204689561.8384,2274039226.5805,3286227693.9568,2842008266.9661,3283990288.9286,1092523196.6
"Small",1602077000,1226151028,1204218481,1053210084,868854434,961841848,853600264,1042108771,1005378747,1055895797,1022798361,1019343887,1117799529.0298,1532294301,1345297631.0501,1274081432.4631,1647721775.2907,1768140501.4691,1716311382.8301,2244043664.0516,2670470211.9256,2683407977.9959,2670083458.6988,2416275759.5291,2519651614.5872,2647043145.2317,2915347493.8272,3406331321.0371,5400614649.4944,6000952837.0139,6154688817.7792,5880098249.9854,6768485854.9157,8413983139.9863,8961910472.6304,3445738499.05
"To Be Labeled",,,,945000,,,0,1657201107,385702195,1194417679,55742257,46212174,77103764,148484751,65551681.4,66182100,90820804.0169,110000031.5448,91094571.0796,96543719.4254,109633047.3982,240983497.777,-92476540.7022,98046367.48,178079023.6725,113912977.74,152945558.5184,215702429.8394,183235930.1525,395248916.7553,179610492.7205,438984136.8257,434312133.4162,401584791.2934,905748637.69,384878650.92
"Unlabeled",59384000,104744246,167858438,104645667,64342563,50150153,38079534,9167725,9757587,237626,,250324,2698337,14164,247006,5083369,2047153.6938,46023603.09,22803434.84,29052462.7665,8804475.3547,7518615.8737,1319812.0679,2083677.76,1335155.6707,846824.7,1434727.5827,1447325.5257,639423.2766,485757.0598,531644.76,3249212.78,1691526.63,3584671.34,696626.74,0
