"","Primary.Export.Product.SIC","SIC.Titles.and.Part.Descriptions"
"1","3721A",NA
"2","811",NA
"3","3721C",NA
"4","119",NA
"5","3080",NA
"6","3721E",NA
"7","3400",NA
"8","3721B",NA
"9","723",NA
"10","3570",NA
"11","4911G",NA
"12","3721F",NA
"13","173",NA
"14","3510",NA
"15","3721D",NA
