"","principalnaicscode","CriticalTech"
"1",811210,NA
"2",333998,NA
"3",444180,NA
"4",335910,NA
"5",335139,NA
"6",333310,NA
"7",519210,NA
"8",516120,NA
"9",211130,NA
"10",516210,NA
"11",336110,NA
"12",517111,NA
"13",321215,NA
"14",517112,NA
"15",517122,NA
"16",315250,NA
"17",334610,NA
"18",322120,NA
"19",335132,NA
"20",211120,NA
"21",517810,NA
"22",512250,NA
"23",452319,NA
"24",455219,NA
"25",459410,NA
"26",456199,NA
"27",517121,NA
"28",444140,NA
"29",513130,NA
"30",519290,NA
"31",316990,NA
"32",457210,NA
"33",513110,NA
"34",456130,NA
"35",337126,NA
"36",449210,NA
"37",441330,NA
"38",458110,NA
"39",459999,NA
"40",441227,NA
"41",456120,NA
"42",811114,NA
"43",315120,NA
"44",456110,NA
"45",335131,NA
"46",449122,NA
"47",452210,NA
"48",441340,NA
"49",513199,NA
"50",459991,NA
"51",532281,NA
"52",424350,NA
"53",459110,NA
"54",459420,NA
"55",523150,NA
"56",212114,NA
"57",212323,NA
"58",532282,NA
"59",458210,NA
