"SubCustomer.JPO","SubCustomer.sum","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force","Air Force",,,,,,,37227644.5,48921611.06,59815642.9072,94515589.9904,55780149.5308,56350680.6754,58856611.6841,58588871.395,48915813.6957,56098869.9004,60621963.6526,692183.9527,2988821.74
"Army","Army",,,,,,,,,,,,,,1014577.5,243720226.01,280103775,290415194,238113452,-10767551
"DLA","Other DoD",15876584,19890712,76550988,29167006,138051935.4915,11943168.4044,,1639344.09,53108476.55,149452417.8948,87329908.6941,-557158.6016,,,,,,,
"Navy","Navy",,,,46695977,27723934.3799,36016979,35236925,22538968,0,0,,,,,,,,,
"Other DoD","Other DoD",,,,,,-10152,,-1196306.48,,-729113.86,,0,-996166.6523,-5529434.2503,-1530803.5,-3355140.1972,0,-174310.9844,-1456380
