"SimpleArea","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",15876584,19890712,76550988,29167006,138051935.4915,11943168.4044,,1639344.09,53108476.55,149452417.8948,87329908.6941,-557158.6016,,926192,243720226.01,280103775,290415194,238113452,-10767551
"Services",,,,46695977,27723934.3799,36006827,72464569.5,70264272.58,59815642.9072,93786476.1304,55780149.5308,56350680.6754,57860445.0318,53147822.6447,47385010.1957,52743729.7032,60621963.6526,517872.9683,1532441.74
