"Vehicle.AwardTask","Vehicle.sum7","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Pur. Order",,,,,,,,,,,,,,88385.5,67300,,,,
"Task Order","Single-Awd.",15876584,19890712,76550988,75862983,165775869.8714,47949995.4044,72464569.5,71903616.67,112924119.4572,243238894.0252,143110058.2249,55793522.0738,57860445.0318,53985629.1447,291037936.2057,332847504.7032,351037157.6526,238631324.9683,-9235109.26
,,,,,,,,,,0,0,,,,,,,,,
