"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",1912122539.524,1588070670.23,5404929286.58,1509624301.25,1642011616.63,1684082571.91,2117228425.22,1882343105.29,1630807156.12,3101342922.85,5005416333.7367,2100729069.7092,1495077163.1755,1369484966.1238,1315508122.4416,1609962792.3058,1656370197.58,1845535133.3661,2014244963.94,2069244399.3,1915335842.43,2445075803.01,3063946815.67,2917739736.74,3771299801.6,1201274328.94
"Award","Pur. Order",545177835.4594,325381987.01,1370291341.71,926811858.48,357374724.92,767972784.55,511221927.29,359418862.22,435916315.78,333406575.36,445485505.5287,504447366.2123,657809022.6312,430971472.7481,476992991.8244,432688875.4092,529679889.7335,619397398.9409,500993614.07,527361598.88,449499448.23,151801325.58,245684884.75,258188104.36,393746213.89,54426997.34
"Task Order","BOA or BPA",2367203780.6906,2383067146.9452,2417817874.2918,4864038376.3678,4551417527.8355,4189142456.6601,4402307037.7345,4529201577.4094,4625527590.7656,4119592741.0902,5305716206.0943,3653563619.6919,625370571.8297,519691409.4351,550385999.4239,608717574.719,491785288.8308,911337886.9996,1002796123.6238,1287744995.8686,1593352437.6408,2019557082.2823,2723727608.252,2713965107.3538,2955491946.13,1245700611.39
"Task Order","FSS or GWAC",2772392114.0392,5398927756.0644,6826443263.9074,8747831547.3682,7115160670.5386,5824298409.8176,4096113820.4404,3465963291.2719,3744795116.8026,4121445727.1438,4334299961.1924,4719342272.5365,4105097947.3361,3617150415.4657,3699551528.3655,3583325442.7722,3724351984.1652,3917854474.2979,3961218896.5639,4566262896.9627,5370138385.9265,5335376184.6897,6330298675.8503,7306252996.0019,7819587999.58,3056877891.2
"Task Order","Multi-Awd.",911608448.2419,993291718.1495,1114761791.7103,1290834232.8839,1366650258.928,1304103907.4377,1531564063.017,1588838246.3923,1735406673.2111,2371834213.5593,2118435608.9961,2149394837.604,1944383312.9572,1836892446.2211,2077900799.9611,2525097198.072,2966576228.7293,3490249472.3445,5076415834.1651,6281117856.8864,6428012365.3074,6521886347.2001,6949228173.6003,9143325902.5254,9909845502.21,4171608674.3
"Task Order","Single-Awd.",1431554126.2527,1249436292.4847,1206539890.2158,1133144843.5042,1245722778.4086,1025189320.0905,1253412535.5063,1263466412.4992,1198927027.9407,1587047089.6785,1595049613.2096,1464116914.9863,1401635602.3463,1143689137.6011,990775413.0663,849530889.4354,1124119046.25,1191709079.1205,1287583147.2739,1364031959.1227,1856408319.5092,1736248701.0423,1874355290.0103,2096291347.989,2116700788.09,743407437.53
"Task Order","Unlbd. IDV",857075193.8522,785965624.9907,909998703.4557,815079102.5286,267251815.059,166099227.1516,135039444.1303,77168062.1941,13002685.5478,16708681.0012,8697060.1988,340614.9104,1442055.1924,1154066.88,1168320.4,1470525.408,452712.89,196727.24,181515.0391,321913,0,,21500,,,
,,0,773740.3125,1304089.8414,5533322.5,4197029.9339,355515.6401,647421.89,0,0,0,0,,0,,,10740,0,0,0,0,0,0,0,0,-250,99479.2
