"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",469000,1326000,1020627.25,1991945.3438,1057418.6159,340741.5563,1727706.8638,3229722.856,4981935.2203,36998413.422,82399706.6983,105752057.083,47008792.1801,65130704.39,61212086.62,38012240.01,80602798.35,74578383.5951,68238347.5087,79699526.8811,90740434.3213,87612982.9721,81181580.2056,122669683.1599,139472012.75,53656261.13
"Electronics, Comms, & Sensors",4462061034.8236,5134742773.8807,5964780953.6675,7673234552.14,5952033935.5664,4898030716.9677,3399399020.3772,2877288630.9537,3096138842.7266,3176314630.1755,2999813319.1729,3577929567.2983,2793942073.9845,2366360193.7867,2301493781.6973,2362134654.0752,2496250875.6133,3071976062.2367,3597560766.2119,4278108337.2563,5074807514.1796,5290734019.4898,6467681816.084,6723334236.9221,7707589073.31,2934507703.37
"Facilities and Construction",4756934424.894,5260396695.9929,9715794134.6534,8251909396.137,7499813581.8821,7182917674.2039,7834624568.5839,7839532282.128,7602842107.9578,9014405936.7363,12042698501.7083,6827193821.7834,3359055393.5293,2902283865.8039,2851466950.0807,3364719734.8128,3220770317.4295,3766972935.8094,3668048730.8804,3998379592.4863,3893196915.5781,4109157841.7381,4194044588.9625,4609882218.0715,5559451251.71,1838629680.91
"Land Vehicles",927405023.28,867396125.86,868012757.66,1108070522.82,1227773855.8103,1175962726.9802,1424540379.3919,1243467243.7857,1245140882.5409,1792111215.6341,1334376236.5525,1259709516.8062,1341604609.3098,1109118733.6626,1453208712.2854,1307144117.7436,1563728256.81,1553674833.0193,1543596006.2714,1592963038.5948,1684929874.218,1771734217.7127,1729442324.4193,2091141437.2487,2160409414.45,997576850.75
"Ordnance and Missiles",2302000,1738000,2700000,3069557.4428,1865160.4878,1059588.3493,1084888.2999,1484782.0276,2854274.6743,1728211.8728,851626.1804,32909279.8719,2369094.7845,936292.8223,613286.9,2132595.4797,5995046.72,4867803.5514,45398331.7868,41344880.4935,37137750.6038,49816312.7875,28303461.1671,-319942.0381,8769536.85,-528141.5
"Other Products",97720270.47,91451237.372,90580505.3699,227980265.6388,229550927.2956,307577582.8095,305704452.4456,249350193.2971,328136114.025,545179573.1948,303013929.799,269981450.5477,224723383.1525,154314080.1267,224993130.082,67148639.9183,58836281.2902,142102241.5872,134855342.4579,150401147.3213,172696111.451,154759461.4031,166622932.5163,204031924.7744,155805067.42,58908445.74
"Other R&D and Knowledge Based",486435209.7619,1183340073.7963,2481407217.1867,1859976755.7824,1538761636.9107,1225119122.7962,1010083092.1162,892553327.2021,1040383682.6078,1013264885.1259,1844911203.4237,2215152633.7387,2178306868.7917,2052315993.2876,2022032103.5936,2224217919.7531,2776787466.1958,3085358401.2703,4482298826.6623,5254259788.9417,6043756035.2269,5887115904.1754,7555504785.0487,9392902925.3703,10076739249.07,4151801644.94
"Other Services",51491399.3516,82539258.579,115022663.8337,123620297.1154,41768645.1349,104813770.6096,55204357.6851,49357344.2386,58903419.9956,62736451.8529,203206714.5706,292895013.2824,282951215.8131,266421257.1851,183209396.1438,232298240.4889,273395736.98,299335877.5996,251067836.9497,622475833.5338,528081207.6265,819146452.906,925708954.359,1249048382.9326,1125423625.66,422141332.1
"Ships & Submarines",920000,1577000,728993,492729,7580685.1459,55143215.8609,5166637.7724,6222497.6197,1613874.1195,487815.4796,184760.0708,10340255.5722,1072838.2017,2159123.41,14053728.08,12995895.84,15598144.14,7399197.2005,5093926.4967,7123092.6666,21806804.2373,5885839.9499,2992893.161,2720655.4991,101034.1,81316.78
"Space Systems",,,0,9625,98039.22,33115,33943,-93.65,6619,2,1e+06,,72741.2383,,,,3169709.35,-29985563.56,47275979.45,71330381.845,65594151.6014,33982410.6698,35779612.2094,40351673.0296,32911736.18,16620325.68
"Unlabeled",11395675.4789,100407770.7061,12038389.0912,42541938.4625,49482536.184,10245938.124,9965628.6925,3913626.8184,3380813.3,8150815.1891,644290.7801,71099.6668,-291335.5171,-6330,,,-1799284.7,,0,,0,0,0,,,
