"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",2532297149.7498,2446884702.0458,2887451998.4201,4185737711.8928,3752658345.2539,3278699303.378,3112856929.3864,2756837687.1649,2938232338.2847,3809613419.7507,3025857539.5043,2749721143.4571,2785700636.1092,2209647121.6758,2761217357.0117,2526400268.9574,2610661843.5685,2848600912.8211,2886572755.1107,3213920453.7379,3606774401.4154,3472572771.4108,3571478892.5631,4416774365.8427,4245073381.67,1701514326.42
"R&D",976026.7189,2850354.2637,12842352.7784,3332610.662,123508499.1343,206916578.7924,116601888.4731,48379992.0542,-9610194.2706,79793370.5065,148048509.7792,178505713.229,73255682.6543,58059517.31,78300166.12,67035634.4182,95444431.3399,132658734.6171,263053600.6117,464769375.9104,804984489.4439,927101796.9714,1283281779.1018,1439232458.5436,1763641711.37,715199569.79
"Services (Non-R&D)",8252465186.1124,10174772109.1714,16339753501.4227,15061285323.8654,12624137041.6814,11465382372.9632,10808110228.6765,10357268251.2394,10452379608.8537,11753820345.2367,15638549948.893,11663636739.2977,7372150692.222,6651333605.4891,6272765652.3511,7017368134.746,7789028357.9704,8995020524.8713,10693807738.9534,12417395790.3721,13200987908.1846,13810270875.4222,16332502276.468,18579756370.5838,20957956908.46,8056681523.69
"Unlabeled",11395675.4789,100407770.7061,12038389.0912,42541938.4625,49482536.184,10245938.124,9965628.6925,3913626.8184,3380813.3,8150815.1891,644290.7801,71099.6668,-291335.5171,-6330,,,-1799284.7,,0,,0,0,0,,,
