"Vehicle.AwardTask","Vehicle.sum7","2003","2004","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Definitive",2352000,-558742,,20379743,18461604,93247084.97,102597285.4141,68296236.5157,73432441.8418,69814980.09,55584342.53,-39566.34,-897.11,,,,-98564.98,,,,
"Award","Pur. Order",,,,,,,,,8088,,,0,,,0,137632.45,70814.75,0,,,
"Task Order","BOA or BPA",,,,,,,,,,,30421607.78,0,,,,,,,,,
"Task Order","FSS or GWAC",,,,,,,,,,,,,,101551.1875,,,,,4081.9499,12987.62,
"Task Order","Multi-Awd.",,,2646393,23702625,16416947.633,17145558.5289,24237445.2849,15327745.2686,3207374.8594,243337.6088,186063.595,214480.65,208793.875,208793.875,0,33888.2383,0,,,,0
"Task Order","Single-Awd.",,,,,,44571063.4427,44260926.2619,41987639.888,44371959.3615,41764469.47,34488628.49,35587359.89,17829837.9459,10264973.499,1099706.7169,369666.8642,6308469.7242,6269185.6056,2343124.6054,60216147.6094,73219610.1
,,,,,,,,0,0,0,,,,,,,,,,,,
