"","fundingrequestingofficeid","obligatedAmount_OMB20_GDP20"
"1","H98272",1107066526.43842
"2","H98304",-13274.523415978
"3","HC0228",-727828.229716315
"4","HC1001",-714646.522345527
"5","HC1003",40067.6073172809
"6","HC1004",261427.620341453
"7","HC1008",3649888.16360883
"8","HC1013",-271848.483561299
"9","HC1014",193098.731238721
"10","HC1015",6224714.29113444
"11","HC1019",0
"12","HC1026",12976.4697
"13","HC1027",-674.26
"14","HC1028",-183801.438468964
"15","HC1040",477529.342533367
"16","HC1042",0
"17","HC1046",14439.5376827092
"18","HC1047",503643631.685975
"19","HC1084",7336631.95010974
"20","HC1085",45018227.6190837
"21","HC1086",63539869.4043022
"22","HC1089",5080719.5
"23","HC1090",776590
"24","HQCAAA",22369103.251667
