"","PlaceIsForeign","VendorIsForeign","OriginIsForeign","MFG IN U.S.","MFG OUTSIDE U.S. - COMMERCIAL INFORMATION TECHNOLOGY","MFG OUTSIDE U.S. - DOMESTIC NONAVAILABILITY","MFG OUTSIDE U.S. - PUBLIC INTEREST DETERMINATION","MFG OUTSIDE U.S. - QUALIFYING COUNTRY (DOD ONLY)","MFG OUTSIDE U.S. - RESALE","MFG OUTSIDE U.S. - TRADE AGREEMENTS","MFG OUTSIDE U.S. - UNREASONABLE COST","MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES","NOT A MANUFACTURED END PRODUCT","PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT","PERFORMED OR MANUFACTURED OUTSIDE US","NA"
"1","0","0",0,3129776675468.88,1575468885.759,305995885.679433,153466243.568802,602240882.004329,79928901.0768877,230383040.880158,16632641.6886546,1129723322.36005,3190732413981.14,23169762550.7545,788285427.252443,12556369915.7115
"2","0","0",1,1662720596.1931,1177102623.68598,5288735847.92411,36357776.8449506,6080223239.86914,695890941.457629,1067135906.68566,155161882.707229,6283129948.65499,7304965449.67812,1267468006.19905,1545951563.54823,1179303.72749663
"3","0","0",NA,65253842696.7299,39018722.4250701,195790.48659768,NA,209497.406526908,NA,1103312.40620065,164052.4844,888253.286106945,135408540817.295,1771487678.20653,98030905.1551734,1510830956455.39
"4","0","1",0,4952119643.6098,8172291.966464,6314419.30341925,-504538.729049441,3959057.60459499,1099362.88220222,8645871.40950969,287339.767123898,4585440.23547328,1040410213.03595,673477.746735965,-173755.19284187,118882.778584026
"5","0","1",1,1894800791.15946,56062248.9479283,15734990.1861953,347259.900764751,1319396405.85306,2316792.3321549,45014455.8609848,751284.216060572,34189106.1684987,428726135.312349,136880350.051321,46182534.5565577,51779.0524951927
"6","0","1",NA,152454.979768574,NA,NA,NA,0,NA,NA,NA,NA,587991.175672315,NA,265147.870407278,417772187.535787
"7","0",NA,0,256045302.825486,185669.968394994,534549.584091663,NA,344429.612457697,17802.4791944686,70697.6640191179,NA,494.158811710476,866821765.09072,839732.051666059,-39295.8900219637,-9388980.47859924
"8","0",NA,1,192547.08514978,1339156.1172744,868126.712896455,NA,5268812.59587752,58352.2599866819,3904578.80663257,NA,11881730.7494034,12152161.6523954,4355881394.43628,32364371.3895939,NA
"9","0",NA,NA,37527283.2074815,NA,NA,NA,NA,NA,NA,NA,NA,46243810.6854697,NA,NA,1875049641.43148
"10","1","0",0,11313257509.9155,52729811.3550558,1208593.49570153,234325.873657814,14492516.7410816,29586356.9133274,5621279.56017485,161401.966176197,684097270.622474,107492573499.547,16556200.8059458,1187135297.42869,84044125.6716492
"11","1","0",1,971072334.502531,176356497.276023,1011781481.90473,2892556.75699511,2852324394.18828,68706573.7255854,2002866926.68736,19008309.1467131,49473227163.0755,171720218208.731,519459.117363614,40111333661.8672,523934870.999507
"12","1","0",NA,76792814.2216175,NA,10862316.055708,NA,0,NA,-101789.92801944,NA,102499789.737043,17612705068.1315,NA,83161169.5541599,31307935442.7887
"13","1","1",0,2083500998.18774,3699509.74325719,60214615.2183544,1042260.16082585,201104801.255966,596444.221206489,39477745.1089785,42965.402218508,280029240.316622,4149708032.11703,NA,78260879.603948,606611.742374374
"14","1","1",1,1208541641.62708,456112548.221946,4981707928.851,126669752.621287,24536688861.9885,77104015.2722445,2526783567.94298,139156921.389891,95354390478.7659,126910715872.896,150589.879667935,41023862440.404,50218621.1367247
"15","1","1",NA,3801284.40892261,0,-1611667.44413477,6311.93682293108,227763775.826924,NA,-2053.1194953498,70452.2862163852,429806.401911945,163087347.69614,NA,233917032.430719,1105760680.18907
"16","1",NA,0,80093755.9731057,513563.579141066,16006.4731493353,NA,977967.220451264,0,639372.938915073,NA,10890477.0770326,95793403.2318021,NA,28204349.0945954,133733.543971093
"17","1",NA,1,275679456.261122,7239324.32888002,52023203.3175584,2262658.34442591,170857513.391225,2301006.71785698,14052637.7649595,3795387.33019344,703297899.356584,1800035241.71835,148918.607227125,54734978651.395,529676526.135805
"18",NA,"0",0,29397962.4328925,0,NA,NA,NA,NA,NA,NA,0,463287733.228387,NA,20419.0192085716,1519519.63330606
"19",NA,"0",1,762105.562458549,NA,NA,NA,48860,NA,2249473.56002292,NA,58583.2664083296,64759160.4561344,NA,123624940.268309,NA
"20",NA,"0",NA,1472005.21625966,8622.45,NA,NA,5822655.80505289,66400.3703873308,4565.34842538317,NA,2669856.83182689,422505335.381174,NA,274953539.045903,416548912.071287
"21",NA,"1",0,29614.6798649834,NA,NA,NA,NA,NA,NA,NA,NA,9807.06392390603,NA,NA,35947.0021826457
"22",NA,"1",1,NA,0,50049.4955271906,NA,242380.876107043,4433.16572452619,121651965.536726,NA,999238.655511511,1448142.45477182,NA,921538.607394934,61467.7110953601
"23","1",NA,NA,NA,NA,NA,NA,1398134.78333892,NA,NA,NA,117487.677792041,16476856.5956587,NA,91709536.8608646,914090014.212048
"24",NA,"1",NA,NA,NA,NA,NA,NA,3689.04220248882,37426.3511025786,NA,1858770.35735125,23517268.1135315,NA,376708.777026455,22609796.855374
"25",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2717.06112333192,-27647.0257740904,NA,389022.789640924,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228393.19184267,2376668.67043889,NA,20524.4939619267,NA
"27",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,555507.768149344,NA,NA,NA
