"","awarding_agency_name","federal_action_obligation","non_federal_funding_amount","face_value_of_loan","n"
"1","Department of Commerce",2178513,0,624488577,254
"2","Department of Energy",166259,0,26292164922.71,46
"3","Export-Import Bank of the United States",39900404292,0,40955444351.5,19659
"4","Small Business Administration",6922365132.01,1637036878,387574765913.64,6094804
