"NativeGroupOwned","isnativehawaiianownedorganizationorfirm","isalaskannativeownedcorporationorfirm","istriballyownedfirm","isindiantribe","naobflag","Action_Obligation_OMB25_GDP23"
"Alaskan Native Owned",0,1,0,NA,1,94553434891.8535
"Alaskan Native Owned",0,1,0,0,1,49990963617.4648
"Alaskan Native Owned",0,1,0,NA,0,6486348983.85037
"Alaskan Native Owned",0,1,0,0,0,2759711608.79182
"Alaskan Native Tribe Owned",0,1,1,NA,1,14941191520.1166
"Alaskan Native Tribe Owned",0,1,1,0,1,4952393958.38291
"Alaskan Native Tribe Owned",0,1,1,1,1,1516485025.2986
"Alaskan Native Tribe Owned",0,1,1,NA,0,202947525.315041
"Alaskan Native Tribe Owned",0,1,1,0,0,53053139.0208791
"Alaskan Native Tribe Owned",0,1,0,1,1,18286714.5513267
"Alaskan Native Tribe Owned",0,1,0,1,0,65499.410977922
"Multi-Category Native Owned",1,1,1,0,0,26814029.7487274
"Multi-Category Native Owned",1,1,1,1,0,10767036.9521774
"Multi-Category Native Owned",1,1,0,0,0,9699671.45927166
"Multi-Category Native Owned",1,1,1,NA,0,1380208.57855988
"Multi-Category Native Owned",1,1,0,NA,0,64789.5675346742
"Multi-Category Native Owned",1,1,1,1,1,8513.9705018884
"Native Hawaiian Owned",1,0,0,NA,1,9362747272.23546
"Native Hawaiian Owned",1,0,0,NA,0,4620742911.20195
"Native Hawaiian Owned",1,0,0,0,1,3105066057.61389
"Native Hawaiian Owned",1,0,0,0,0,1311902094.62727
"Native Hawaiian Tribe Owned",1,0,1,NA,1,83845062.5668107
"Native Hawaiian Tribe Owned",1,0,1,NA,0,1269937.84102173
"Native Hawaiian Tribe Owned",1,0,1,0,0,41198.6250079143
"No Native Owned Flag",0,0,0,0,0,9637399026039.56
"No Native Owned Flag",NA,NA,NA,NA,NA,2268157966939.36
"No Native Owned Flag",0,0,0,NA,0,NA
"Other Native American Owned",0,0,0,0,1,85937028197.3675
"Other Native American Owned",0,0,0,NA,1,34439691549.326
"Other Native American Tribe Owned",0,0,1,NA,1,37543083631.5008
"Other Native American Tribe Owned",0,0,1,1,1,7626879716.0527
"Other Native American Tribe Owned",0,0,1,0,1,6549117732.32414
"Other Native American Tribe Owned",0,0,1,NA,0,3068328022.03645
"Other Native American Tribe Owned",0,0,1,0,0,1870129543.87989
"Other Native American Tribe Owned",0,0,0,1,1,1502780796.9069
"Other Native American Tribe Owned",0,0,1,1,0,455877347.18706
"Other Native American Tribe Owned",0,0,0,1,0,230574396.32641
