"","DetailedFields","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Agricultural sciences",849416,894956,1007686,1047642,1045954,1086793,1094192,1108158,1139415,1020274,1120362,1131887,1084950,942729,903087,1004236,1320268,1283145,1353434,1325014,1445518
"2","Biological aspects",18034,8191,13639,10619,23241,5950,2345,3014,3801,21767,2143,13596,16373,14167,14323,15046,19071,19817,10408,19949,17523
"3","Biological sciences (excluding environmental)",6477638,10740022,12379954,14498524,18643456,13091931,13351637,13690835,14429668,14443085,17376778,17213883,15178302,15458348,14588064,15310579,14839724,15922559,16555705,17828519,18910382
"4","Environmental biology",720612,740025,728802,778884,717893,669956,698997,686595,757233,858027,963658,816362,854879,796659,781989,820584,819086,788082,783375,922431,924187
"5","Medical sciences",6801169,4463771,6585198,6427390,6160319,10898766,10862104,10592189,10790740,10387345,11392717,11677001,10202221,11078478,10917362,11285346,11086825,11358582,12648733,13564482,13774782
"6","Other life sciences",573617,1125927,2355665,2724362,1204598,1981037,2120911,1849923,2346502,2210099,2413576,3070001,2129361,2729940,2472278,2530043,2559199,2693018,2748352,3353910,3248794
