"","Broad_Field","Detailed_Field","Federal_and_Nonfederal","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"1","Engineering","Bioengineering and biomedical engineering","Federal",897534945.413733,824075577.763898,771149755.371198,705361126.150514,663055737.704918,671397123.893805,627636712.143421,634464347.227007,603265473.265473,561441699.486812
"2","Engineering","Bioengineering and biomedical engineering","Nonfederal",582065095.398429,574019362.898189,526519889.385237,469299404.439632,434137704.918033,380767699.115044,369568158.755215,366703410.265243,353080613.080613,328016469.745793
"3","Life sciences","Agricultural sciences","Federal",1009665340.2714,989561732.250677,1038951286.96022,1056966973.47049,1197561748.63388,1198630530.97345,1252684631.8638,1306383052.01516,1220007020.00702,1142988423.43955
"4","Life sciences","Agricultural sciences","Nonfederal",2488533823.07928,2457744118.25942,2444589449.05339,2506429886.30211,2605748633.87978,2551388274.33628,2527277032.35991,2482913078.42462,2426699426.69943,2450698174.00644
"5","Life sciences","Biological and biomedical sciences","Federal",9448303234.36384,8920760982.71913,8698865135.07764,8336105035.1922,7763407650.27322,8007461283.18584,8574569850.03946,8889011367.55081,9609844389.84439,9045466046.06755
"6","Life sciences","Biological and biomedical sciences","Nonfederal",6250714212.83543,6187398500.93691,5897729206.5518,5772034650.78506,5028416393.44262,4942008849.55752,4596322020.52092,4443899414.3989,4261067041.06704,4018689581.0956
"7","Life sciences","Health sciences","Federal",14473271094.7862,13941282531.751,13492450542.4378,13100557661.072,12812803278.6885,12990117256.6372,13854333070.2447,14561390515.5586,15425991575.9916,14403459840.0764
"8","Life sciences","Health sciences","Nonfederal",13354826038.1594,12889660628.7737,12018925760.4765,11133227937.1955,10466619672.1311,9920303097.34513,9208309843.27433,8782751176.94339,8440133380.13338,8592225802.60174
"9","Life sciences","Natural resources and conservation","Federal",375333129.272523,331797834.686654,287480323.335461,341576610.720087,NA,NA,NA,NA,NA,NA
"10","Life sciences","Natural resources and conservation","Nonfederal",479639832.670136,476103476.993546,445972133.588598,406378992.961559,NA,NA,NA,NA,NA,NA
"11","Life sciences","Other life sciences","Federal",654037343.128252,653760149.906309,672177196.341204,758741743.367623,1355510382.51366,1332131637.16814,1380175893.56184,1369753128.94707,1430372060.37206,1308700322.23416
"12","Life sciences","Other life sciences","Nonfederal",675081114.172023,625525713.095982,836994256.541161,825865728.207905,1144468852.45902,1046982300.88496,961973164.95659,878527959.582042,870829530.829531,790068027.210884
