figure number,figure title,legend name,form,order,section.variable,x.variable,y.variable,y.series,facet.primary,facet.secondary,x.axis.title,y.axis.title,data file,file type,subset.variable,subset.criteria,Layout Name,wide.section.variable,lookup.series.variable,subset.agency.variable,use.all.agencies
1,Defense Vendor Capital Deployment,Deployment,Lattice_Bar,1,Overall,YEAR,CurrentMillions,Deployment,Deployment,,Years,Spending (in current millions),Cash_Deployment_Long.csv,SQL output,,,,,,Customer,FALSE
2,Defense Vendor Capital Deployment,Deployment,Lattice_Line,1,Overall,YEAR,CurrentMillions,Deployment,Deployment,,Years,Percent of Total Expenditure,Cash_Deployment_Long.csv,SQL output,,,,,,Customer,FALSE
