"","x"
"1",24893403
"2",8496435
"3",24892978
"4",24893360
"5",24893182
"6",24893022
"7",24893244
"8",8496301
"9",24893086
"10",24892987
"11",8496414
"12",24892998
"13",24892997
"14",24893283
"15",24893195
"16",24893123
"17",24892977
"18",24893019
"19",24892755
"20",24893021
"21",24893225
"22",24893128
"23",8496620
"24",8496500
"25",8496533
"26",24893084
"27",24893359
"28",24892999
"29",24892351
"30",8496456
"31",24893402
"32",24893211
"33",24893186
"34",8496496
"35",24893122
"36",24893222
"37",24892298
"38",24892291
"39",24893199
"40",24893087
"41",24893233
"42",24893613
"43",24892517
"44",24892259
"45",24892295
"46",24892979
"47",24893137
"48",24893149
"49",24893257
"50",24892296
"51",24893620
"52",24893138
"53",24893132
"54",8496309
"55",8496627
"56",24892519
"57",24893232
"58",28287611
"59",24893250
"60",24893117
"61",24893139
"62",24892969
"63",24893074
"64",28277971
"65",24892521
"66",24893145
"67",24892779
"68",24893630
"69",24893032
"70",24893230
"71",24893165
"72",24893113
"73",24892778
"74",24893621
"75",24893106
"76",8496337
"77",8496662
