"","DetailedFields","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Agricultural sciences",1276165.86538462,1317467.98174591,1449282.32417661,1483071.91392978,1454127.62407897,1475418.137388,1441623.1884058,1414729.98851015,1415950.04349447,1242267.13746499,1348533.94318729,1350861.67800454,1269392.76939277,1082476.74819153,1018251.21208704,1110880.53097345,1442915.84699454,1389436.92474283,1439517.12401617,1379360.81615657,1474867.87062545
"2","Biological sciences (excluding environmental)",9732028.24519231,15810425.4379508,17805197.7563642,20524524.3488109,25918887.8075907,17773460.4941624,17591089.5915679,17478405.4640623,17931736.0507021,17585638.6216973,20915717.3808377,20544078.0522735,17758631.0986311,17749854.1738431,16448375.2395986,16936481.1946903,16218277.5956284,17241536.5457499,17608705.5945543,18559774.0995211,19294339.3531272
"3","Environmental biology",1082650.24038462,1089393.49330193,1048183.51790594,1102610.41902605,998043.931600167,909524.843877274,920944.66403162,876541.554959786,941012.799801168,1044718.12979423,1159915.74386134,974295.261964435,1000209.43020943,914753.703065794,881710.452136656,907725.663716814,895175.956284153,853364.374661613,833200.382897256,960265.45908807,942951.739618406
"4","Medical sciences",10218102.4639423,6571133.51979979,9471016.82726881,9098796.71574179,8564325.03823161,14796043.9858811,14311072.4637681,13522518.8305885,13409643.3453461,12647443.078047,13712947.761194,13936031.7460317,11936610.5066105,12720723.389597,12309574.9238922,12483789.8230088,12116748.6338798,12299493.2322685,13453236.5454159,14120843.2229856,14054465.8708295
"5","Other life sciences",861804.387019231,1657481.23067864,3387983.60419963,3856684.5979615,1674680.93980259,2689433.88541949,2794349.14361001,2361704.32784374,2915996.02336274,2690976.50066967,2905122.77323062,3663922.90249433,2491354.86135486,3134619.3592835,2787549.89288533,2798720.13274336,2796938.79781421,2916099.62100704,2923156.77515422,3491474.07870081,3314757.67778798
