YEAR,DEPLOYMENT,CurrentMillions
2000,Dividends,1220 
2001,Dividends,1393 
2002,Dividends,1686 
2003,Dividends,1856 
2004,Dividends,2370 
2005,Dividends,2615 
2006,Dividends,3061 
2007,Dividends,8395 
2008,Dividends,4001 
2009,Dividends,4347 
2010,Dividends,5028 
2011,Dividends,4752 
2012,Dividends,5166 
2013,Dividends,6700 
2000,Acquisitions,494 
2001,Acquisitions,5280 
2002,Acquisitions,3145 
2003,Acquisitions,5151 
2004,Acquisitions,3148 
2005,Acquisitions,9508 
2006,Acquisitions,5414 
2007,Acquisitions,6438 
2008,Acquisitions,7268 
2009,Acquisitions,4725 
2010,Acquisitions,2689 
2011,Acquisitions,5219 
2012,Acquisitions,2216 
2013,Acquisitions,2184 
2000,Capital Expenditures,2811 
2001,Capital Expenditures,2985 
2002,Capital Expenditures,3263 
2003,Capital Expenditures,3359 
2004,Capital Expenditures,3411 
2005,Capital Expenditures,3832 
2006,Capital Expenditures,4130 
2007,Capital Expenditures,5945 
2008,Capital Expenditures,6740 
2009,Capital Expenditures,5424 
2010,Capital Expenditures,5700 
2011,Capital Expenditures,5716 
2012,Capital Expenditures,5377 
2013,Capital Expenditures,5212 
2000,Interest,2372 
2001,Interest,2282 
2002,Interest,1819 
2003,Interest,2207 
2004,Interest,2125 
2005,Interest,2139 
2006,Interest,2513 
2007,Interest,2230 
2008,Interest,2295 
2009,Interest,2208 
2010,Interest,2371 
2011,Interest,2342 
2012,Interest,2536 
2013,Interest,2395 
2000,Debt Reduction,4918 
2001,Debt Reduction,5985 
2002,Debt Reduction,6102 
2003,Debt Reduction,9982 
2004,Debt Reduction,7104 
2005,Debt Reduction,4077 
2006,Debt Reduction,5986 
2007,Debt Reduction,4882 
2008,Debt Reduction,5798 
2009,Debt Reduction,8780 
2010,Debt Reduction,7869 
2011,Debt Reduction,11922 
2012,Debt Reduction,9411 
2013,Debt Reduction,7213 
2000,Share Buyback,290 
2001,Share Buyback,125 
2002,Share Buyback,255 
2003,Share Buyback,1322 
2004,Share Buyback,1721 
2005,Share Buyback,5100 
2006,Share Buyback,5750 
2007,Share Buyback,8401 
2008,Share Buyback,9943 
2009,Share Buyback,6019 
2010,Share Buyback,9014 
2011,Share Buyback,10859 
2012,Share Buyback,6685 
2013,Share Buyback,8044 
2000,Taxes,731 
2001,Taxes,1458 
2002,Taxes,769 
2003,Taxes,1406 
2004,Taxes,1600 
2005,Taxes,2094 
2006,Taxes,4584 
2007,Taxes,5003 
2008,Taxes,5582 
2009,Taxes,6154 
2010,Taxes,5877 
2011,Taxes,5185 
2012,Taxes,5922 
2013,Taxes,5151 
2000,R&D Expenditure,5631 
2001,R&D Expenditure,6274 
2002,R&D Expenditure,6068 
2003,R&D Expenditure,5687 
2004,R&D Expenditure,7413 
2005,R&D Expenditure,8841 
2006,R&D Expenditure,8945 
2007,R&D Expenditure,10074 
2008,R&D Expenditure,9647 
2009,R&D Expenditure,9690 
2010,R&D Expenditure,9901 
2011,R&D Expenditure,9924 
2012,R&D Expenditure,10078 
2013,R&D Expenditure,8183 
