"","CSIScontractID","IsOriginal","IsComplete","Action.Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","StartFiscal_Year","WhyMissing"
"4163",62946024,NA,1,0,1,1,NA,2014-12-09,2014-12-09,2014-12-03,2015,"Close/Term LastCurrent Out of Range"
"4164",25921746,NA,1,4644.8,0,0,2013-09-13,2013-09-16,2013-09-16,2013-09-16,2013,"Unknown Other"
"4165",27180349,NA,1,0,1,1,NA,2013-11-19,2014-03-27,2013-11-19,2014,"Close/Term LastCurrent Out of Range"
"4166",26395654,NA,1,83410.69,1,0,2018-12-30,2013-09-25,2013-09-25,2013-09-25,2013,"Close/Term LastCurrent Out of Range"
"4167",25861832,NA,1,55736.89,0,0,2014-02-03,2013-09-06,2013-11-07,2013-08-29,2013,"Unknown Other"
"4168",63080587,NA,1,20020,0,1,2018-10-01,2015-10-21,2015-10-21,2015-10-21,2016,"Close/Term LastCurrent Out of Range"
"4169",60338297,NA,1,23208.87,0,0,2016-12-30,2015-05-05,2016-08-14,2015-04-30,2015,"Unknown Other"
"4170",25245241,NA,1,0,0,0,2014-08-15,2013-08-15,2013-08-15,2013-08-15,2013,"Unknown Other"
"4171",4165369,NA,1,0,0,1,NA,2010-09-15,2010-10-13,2010-09-15,2010,"Close/Term LastCurrent Out of Range"
"4172",27379137,NA,1,55700.95,0,0,2015-09-28,2014-09-24,2016-09-19,2014-09-24,2014,"Unknown Other"
"4173",62431376,NA,1,0,0,0,2015-04-15,2015-04-15,NA,2015-04-15,2015,"Unknown Other"
"4174",26330095,NA,1,0,0,0,2015-12-31,2013-10-24,NA,2013-10-24,2014,"Unknown Other"
"4175",620152,NA,1,38431.8701,1,0,1999-09-30,2010-09-07,NA,1999-05-05,2010,"Unknown Close/Term"
"4176",18966967,NA,1,0,1,0,1999-06-30,2009-06-04,NA,2009-06-04,2009,"Unknown Close/Term"
"4177",27695137,NA,1,33536883,1,0,2017-04-30,2014-04-28,2014-04-28,2014-05-01,2014,"Close/Term LastCurrent Out of Range"
"4178",62935237,NA,1,0,0,1,NA,2015-01-22,2015-01-22,2015-01-22,2015,"Close/Term LastCurrent Out of Range"
"4179",25861371,NA,1,3956.73,0,0,2014-08-08,2014-05-08,2014-05-08,2014-05-02,2014,"Unknown Other"
"4180",62465666,NA,1,0,1,1,NA,2015-01-27,2015-01-27,2015-01-27,2015,"Close/Term LastCurrent Out of Range"
"4181",8198547,NA,1,0,0,1,NA,2011-07-14,2011-07-14,2011-07-12,2011,"Close/Term LastCurrent Out of Range"
"4182",4162503,NA,1,0,0,1,NA,2008-09-19,2008-09-19,2008-09-19,2008,"Close/Term LastCurrent Out of Range"
"4183",62217735,NA,1,0,0,0,2015-04-15,2015-04-15,NA,2015-04-15,2015,"Unknown Other"
"4184",28449595,NA,1,-52402.11,0,0,2000-06-30,2014-05-02,NA,2014-04-30,2014,"Unknown Other"
"4185",15636788,NA,1,961845.6797,1,1,2018-05-18,2012-01-16,2015-11-16,2012-01-16,2012,"Close/Term LastCurrent Out of Range"
"4186",27490491,NA,1,174582.045,1,0,2017-08-27,2014-08-28,2016-08-10,2014-08-27,2014,"Close/Term LastCurrent Out of Range"
"4187",26397219,NA,1,0,0,0,2014-03-24,2013-10-02,NA,2013-10-02,2014,"Unknown Other"
"4188",25566777,NA,1,0,1,0,NA,2013-08-26,2013-08-26,2013-08-26,2013,"Close/Term LastCurrent Out of Range"
"4189",25863329,NA,1,-1412.36,0,0,2013-06-30,2013-06-03,NA,2013-06-03,2013,"Unknown Other"
"4190",26182984,NA,1,1709,0,0,2013-07-17,2013-05-28,2013-05-28,2013-05-28,2013,"Unknown Other"
"4191",10097732,NA,1,5494837.97,1,0,2018-05-31,2012-03-26,2016-09-23,2012-03-26,2012,"Close/Term LastCurrent Out of Range"
"4192",25347516,NA,1,0,0,0,2015-02-27,2014-03-09,NA,2014-03-09,2014,"Unknown Other"
"4193",1215780,NA,1,0,1,1,NA,2012-08-11,2012-08-11,2012-08-11,2012,"Close/Term LastCurrent Out of Range"
"4194",27317140,NA,1,0,1,1,NA,2013-10-16,2013-10-16,2013-10-16,2014,"Close/Term LastCurrent Out of Range"
"4195",10072028,NA,1,-0.005,0,1,2014-09-30,2010-09-15,2010-09-15,2010-09-15,2010,"Unknown Close/Term"
"4196",26763908,NA,1,-1529137,0,1,2000-07-31,2015-02-11,NA,1998-12-09,2015,"Unknown Close/Term"
"4197",28389590,NA,1,0,0,1,NA,2013-09-24,2013-09-24,2013-09-24,2013,"Close/Term LastCurrent Out of Range"
"4198",24677288,NA,1,6094,1,0,2020-10-30,2010-07-27,2010-07-27,2010-07-27,2010,"Close/Term LastCurrent Out of Range"
"4199",60792581,NA,1,0,1,1,2027-05-01,2015-08-31,2015-08-31,2015-08-31,2015,"Close/Term LastCurrent Out of Range"
"4200",27289679,NA,1,0,0,1,NA,2014-05-15,2014-05-15,2014-07-01,2014,"Close/Term LastCurrent Out of Range"
"4201",62661300,NA,1,0,0,0,2015-07-27,2015-04-17,2015-04-17,2015-04-17,2015,"Unknown Other"
"4202",1433182,NA,1,0,0,1,NA,2008-11-25,2008-11-25,2008-11-25,2009,"Close/Term LastCurrent Out of Range"
"4203",26367255,NA,1,218778.17,1,0,2018-08-24,2013-09-12,2013-09-12,2013-09-12,2013,"Close/Term LastCurrent Out of Range"
