"","biobasedPSC","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Information Technology Software",576684.23297738,6343940.049611,3560673.63938053,36949817.3951913,323433506.814835,158782149.194959,354408683.005101,558203907.091521,512921959.212
"2","Other Products",59553701.2446894,88378079.9977449,83071621.6455752,93404287.0959563,299277030.918679,475807844.725484,893925550.23985,509137143.00153,209991272.3288
"3","Other R&D",3099426.00011482,43610009.6628707,71926879.2809734,114080284.034645,97750883.4830536,167789020.02308,105374562.607745,116929227.228038,136923115.1581
"4","Operation Of Miscellaneous Buildings",NA,92839.6211523283,NA,NA,NA,216944687.5,3720392813.73621,7231051090.60943,6900281889
"5","Construction Of Miscellaneous Buildings",4473559.53611207,45139409.7868982,270569602.809735,253057391.579563,236246695.882296,347704799.616252,577255293.987091,879341555.633405,671725064.361
"6","Construction Of Highways, Roads, Streets, Bridges, And Railways",2903224.85899644,12108654.2563987,38531967.4170354,128846047.985246,192710798.364158,185545227.026696,424595743.906933,982006900.32364,562707760.0156
"7","Construction Of Office Buildings",18383302.8302905,418437665.723306,106483236.118916,42971325.2515847,652502217.93124,51688613.8602425,45604632.5371643,462839744.052036,333309900.3616
"8","Other Facility-Related Services",252958556.950511,671255291.095727,1382301428.22511,1614923165.64678,2752021662.48457,3113163998.96182,3566235492.69248,3355986846.08764,3476400157.0621
"9","Other Construction",178658573.469399,393414782.388657,639332028.068473,554459484.079126,792223975.28641,1192562213.40768,1782682242.31761,1913751028.72584,2001856455.6289
"10","All Other Services",110368316.350672,217599042.014996,370356504.840487,504500992.585683,1264897923.71489,1660346434.79951,1762423166.85738,2148829378.24059,2364338105.7811
