fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2018	1	1	N	Y	0	1	0	0	1	S	7	0.0000
2020	0	1	NULL	N	0	0	0	1	1	S	5	2010734.8900
2009	0	1	X	W	0	1	0	0	1	S	37	24557135.1241
2023	0	0	Y	N	0	0	0	1	1	S	68	2816933.9028
2007	0	1	X	N	0	1	0	0	1	S	3884	1069069589.7424
2002	1	1		Y	0	0	0	0	0	S	1	0.0000
2004	0	1	X	Y	0	0	0	0	1	S	1880	1270069958.0150
2022	0	0		N	0	0	0	1	1	S	14685	1914640161.4204
2012	1	1	Y	Y	0	0	1	0	0	O	2	0.0000
2014	1	1	X		1	0	0	0	1	O	24	8178195.8600
2022	1	1	NULL	N	0	1	0	0	1	O	5	12630421.5700
2021	0	1	NULL	Y	0	0	0	0	1	S	2	544626.6000
2015	0	0	NULL	NULL	0	0	0	0	1	NULL	2	30000.0000
2011	0	1	Y		0	1	0	0	0	S	1	0.0000
2019	0	1	Y		0	0	0	0	0	S	1	0.0000
2013	0	1			0	1	1	0	1	O	10	23905050.2000
2011	0	1	X	NULL	0	1	0	0	1	S	291	0.0000
2014	0	1	N	NULL	0	1	0	0	1	O	18	0.0000
2016	1	1	Y	N	1	0	0	1	0	S	51	2110279.3598
2017	1	1		N	0	0	0	0	1	S	9775	5677458446.1610
2007	0	0	Y	N	0	1	0	0	0	O	85	8370529.4400
2014	1	1	X	NULL	0	0	0	0	1	S	148	0.0000
2020	1	1	X		0	0	0	0	1	O	228	59717873.2571
2014	1	1		W	0	0	0	0	1	S	24	-377530.5600
2005	0	1	Y	N	0	1	0	0	0	S	8	2957902.0000
2017	0	0		Y	0	0	0	0	1	O	137012	1764846551.0531
2015	0	1	X	Y	0	1	0	0	1	S	70	20968975.9900
2005	0	0	Y	N	1	0	0	0	1	O	13	5772288.0000
2021	0	1	X	N	1	0	0	1	1	O	192	117216925.9856
2008	0	0	Y	N	0	1	0	0	1	O	78	13161410.4336
2012	0	0	X	W	1	0	0	1	1	S	1	657725.0000
2001	1	1	X	Y	0	0	0	0	1	S	575	739233675.0000
2019	0	1		N	0	0	1	0	1	O	51	45368805.1484
2008	1	1	Y	N	1	0	0	0	1	S	41	7455863.0625
2009	1	1	Y	N	0	1	0	1	1	S	5	0.0000
2012	0	1	X	Y	0	1	0	0	1	S	131	34623038.8757
2023	0	1	NULL	Y	0	0	0	0	0	O	1679	203818992.7853
2020	1	1		Y	0	1	0	0	1	O	167	777685189.0475
2017	1	1	NULL	N	0	1	0	1	1	S	168	410477885.0300
2019	0	0		N	0	1	1	0	1	O	538	53052616.6039
2014	0	0	Y	N	0	0	1	0	0	O	7	230383.1600
2022	0	0	X	N	1	1	0	0	1	S	22	1210734.2900
2008	0	1	N	N	0	0	0	0	0	S	3	254000.0000
2012	1	1	Y		0	0	0	0	0	O	39	24433883.4767
2018	0	0	NULL	W	0	1	0	1	1	O	2	0.0000
2023	0	1	X	Y	0	1	0	0	1	S	142	80624589.1985
2013	0	0	X	Y	0	1	0	0	1	O	87	5319274.5101
2023	0	1			0	1	0	0	1	O	580	330018732.2503
2023	0	1	X	W	0	0	0	1	1	O	4	5044119.7500
2018	0	1		W	0	0	0	0	1	S	26	12729591.8234
2017	0	1	X	N	1	1	0	1	1	S	87	8400038.6492
2022	0	0	NULL	Y	0	1	0	0	1	S	1	0.0000
2008	1	1		Y	0	0	0	0	1	S	15	312009.9688
2017	0	1	NULL	Y	0	0	0	0	0	O	826	690551416.8200
2015	0	0	Y	Y	0	1	0	0	1	S	3	93873.6000
2011	0	1	Y	N	1	1	0	1	0	O	1	0.0000
2015	1	1	X	N	1	1	0	1	1	S	64	9997446.6400
2022	1	1	X	N	0	0	1	1	1	O	37	40208953.2100
2019	0	1	X	N	1	1	0	1	1	S	68	19398325.9802
2004	1	1	X	Y	0	0	0	0	0	O	1948	16783891814.0691
2017	1	1	N	N	0	0	1	1	1	O	7	0.0000
2010	0	1	Y	N	0	1	0	1	0	O	67	27553654.4553
2016	0	0		N	1	0	0	1	1	S	2162	162356426.6179
2013	0	1	NULL	NULL	0	0	0	0	0	O	8	3106921.8000
2022	0	0	N	N	0	1	0	1	1	O	66	1321935.4800
2002	0	0	X	N	0	0	1	1	1	O	11	5631375.0000
2010	0	0			0	0	NULL	0	1	O	2	1500.0000
2021	0	0	N	NULL	0	0	0	0	1	O	1	0.0000
2022	0	1	X	N	1	0	0	0	1	O	7	265629.8800
2006	0	1	Y	N	0	0	0	0	0	S	208	165421394.5247
2010	0	0	X	W	1	1	0	0	1	S	2	247861.0000
2013	0	0	N	W	0	0	0	0	1	O	9	426710.1100
2017	1	1	NULL	N	0	1	1	0	1	O	4	35361086.9600
2005	0	0	Y	N	0	1	0	0	0	O	21	6680407.1200
2019	0	0		N	0	1	0	1	1	S	28095	1383632212.2061
2021	1	1		N	0	0	1	1	1	O	5	30837831.2500
2013	1	1	Y	Y	0	0	0	0	0	O	15750	52264347476.5610
2014	0	1			0	0	0	0	0	S	44	12831968.4301
2023	0	0	X		1	0	0	0	1	O	2	102235.7031
2013	0	0	X	N	0	1	0	1	1	O	4948	212546003.9616
2006	0	0	X	W	0	0	0	1	1	O	80	7642049.7265
2004	0	1	X	W	0	0	0	1	1	O	10	6198993.0000
2012	0	0	Y	Y	0	0	0	0	0	S	707	93671565.0190
