fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2012	1	1	X	N	0	0	0	0	1	S	6897	2743278559.2313
2013	1	1	Y	N	1	0	0	0	1	S	1	-791.7100
2007	1	1	X	Y	0	0	0	0	0	O	3207	17960197406.3834
2015	0	0		N	0	1	0	1	1	O	246795	1797254953.2641
2015	0	0	X	N	0	0	NULL	0	1	O	7	981933.5100
2012	0	0	Y	N	0	0	0	1	1	S	133	152328.2043
2021	1	1	Y		0	1	1	0	0	O	1	0.0000
2005	1	1		Y	0	0	0	0	0	O	3	20087626.0000
2018	0	0	N	N	0	0	0	1	1	O	230	8542139.8322
2012	1	1	N		0	0	0	0	1	S	2	3282416.0000
2014	1	1	N	NULL	0	0	0	0	1	S	6	0.0000
2023	0	1	Y	W	0	0	0	1	0	S	3	0.0000
2022	1	1	X	N	0	1	0	0	1	O	4037	17438937132.8711
2022	0	1	NULL	N	0	0	0	1	1	S	1	-4000.0000
2006	0	0	X	N	1	1	0	1	1	O	526	16520523.9086
2023	0	0	X	Y	0	1	1	0	1	O	1	487095.5000
2014	0	0	N	N	1	0	0	1	1	O	6	563608.7400
2022	1	1		W	0	0	1	0	1	O	7	111459994.6875
2021	0	0			0	0	1	0	1	O	25	2074310.4336
2002	1	1	X	W	0	1	0	1	1	S	1	0.0000
2013	0	1	X	Y	0	1	0	0	1	O	30	2054792.3400
2017	0	0	NULL	N	1	1	0	0	1	S	31	327083.4900
2017	0	1	X		0	0	0	0	0	O	10	-1416732.7384
2019	0	0	NULL	NULL	0	1	0	0	1	O	50	2599252.2400
2012	1	1	N	W	0	1	0	1	1	O	4	0.0000
2009	0	1	X	W	0	0	1	1	1	O	1	0.0000
2024	0	0	X	N	0	0	1	0	1	O	74	4440080.2689
2014	0	0		N	1	1	0	0	1	S	166	7359308.4000
2005	0	1	X	N	0	0	0	0	0	O	980	505504248.0000
2023	1	1			0	1	0	0	1	S	762	719086388.5196
2001	0	1	X	N	1	0	0	1	1	O	1	0.0000
2022	0	1		N	0	0	0	0	1	S	5566	3016288171.0878
2020	0	1			0	0	0	0	0	S	1	0.0000
2003	0	0	N	N	0	1	0	1	1	O	1	0.0000
2005	0	1	X	N	1	1	0	0	1	S	11	7597029.0000
2016	0	1	X	N	0	1	0	1	1	S	2294	316932782.8519
2015	0	0	N	W	0	0	0	1	1	O	13	1434370.3400
2009	0	0	Y	W	0	0	0	1	0	S	1	155528.2344
2015	1	1	N	Y	0	0	0	0	0	O	28	17958874.7700
2016	0	0	N	N	0	0	0	0	1	S	1061	32028180.7128
2008	0	0		N	0	0	0	0	1	O	203	20569951.9163
2009	0	1	N	N	0	1	0	1	1	O	62	24648670.6036
2011	1	1	Y	N	1	0	0	0	0	O	11	3604852.8750
2010	1	1	Y	W	0	0	0	0	0	S	7	5493807.0313
2015	0	1		N	0	0	0	0	0	S	77	15184367.4574
2016	0	1		N	0	0	0	1	1	O	3043	1734266283.3413
2014	1	1	X	N	0	1	0	1	1	S	2551	910810764.7700
2018	1	1		N	0	1	0	1	1	S	1105	1396210688.6625
2022	1	1	X	N	1	0	0	0	1	S	85	60077754.9800
2024	0	1	Y	N	0	1	0	1	0	O	1	0.0000
2015	0	1	Y	NULL	0	0	0	0	0	O	26	822332.2500
2005	0	0			0	0	0	0	1	S	10	5268.6000
2008	0	0		N	0	1	0	1	1	S	5	1415361.0547
2023	1	1		Y	0	0	1	0	1	O	1	0.0000
2002	0	1	X	Y	0	0	0	0	0	S	5	1179585.0000
2015	0	0			0	0	1	0	1	O	14	1264597.3500
2016	0	0	Y	N	0	1	0	0	0	O	72	8870584.5428
2006	1	1	Y		0	0	0	0	0	O	6022	24152865726.0992
2003	0	0	X	N	0	0	NULL	0	1	O	4	99253.0000
2002	0	0	N	N	0	1	0	0	1	O	1	25070.5801
2010	1	1	Y		1	0	0	0	1	S	1	645090.0000
2008	1	1	Y	Y	0	0	0	0	0	O	4387	30238483583.3256
2022	0	0	N	N	0	1	0	1	1	S	128	783077.4500
2004	1	1	X	N	0	1	1	1	1	O	4	1386475.0000
2024	0	0	X	N	0	0	0	1	1	S	2700	215245691.3488
2024	0	0	X	Y	0	1	0	0	1	S	52	7246569.6286
2021	0	1	X	NULL	0	1	0	0	1	O	7	174286.4800
2016	0	0	NULL	N	1	0	0	1	1	O	9	2762876.5000
2001	0	0	X	Y	1	0	0	0	1	O	20	3228425.0000
2010	0	0	X	N	1	0	0	1	1	O	2600	183886469.8107
2020	0	0	N	NULL	0	0	0	0	1	S	3	0.0000
2004	0	0		Y	0	0	0	0	1	S	2	25520.9502
2011	1	1	Y	N	0	0	1	0	1	O	8	8130331.8398
2024	0	1	NULL	N	0	0	0	0	0	S	3	755714.0625
2005	0	0	Y	N	0	1	0	0	0	S	12	2274784.0000
2020	1	1	X	N	0	0	0	0	0	S	17	4066860.2566
2011	0	0		N	0	0	1	1	1	O	119	7603866.0637
2023	0	0	Y	N	0	0	0	1	1	O	29	442727.2504
2015	0	0	NULL	N	0	1	0	1	1	S	98728	2146147296.4900
2008	1	1	N		0	1	0	0	1	S	29	37210899.5775
2008	1	1	Y	N	0	0	0	0	0	O	13401	34798077559.4006
2010	0	0		N	1	1	0	0	1	S	1	11172.5000
2021	1	1	Y	Y	0	0	0	0	0	S	869	657253649.7952
2019	0	0	Y	N	0	0	0	0	1	O	66	-181938.9407
2019	0	1	NULL	N	0	0	0	0	0	O	5	-781023.1700
2006	1	1	X	W	1	1	0	0	1	O	2	0.0000
2021	1	1	X	N	1	1	0	1	1	S	70	77774752.0775
2008	0	1	X	N	1	1	0	1	1	O	30	20835097.6900
2022	0	1	X	Y	1	1	0	0	1	O	4	0.0000
2021	0	0		N	0	0	NULL	0	1	O	3	-51608.4903
2005	0	0		N	0	0	0	1	1	O	18	1625923.2802
2006	1	1	Y	N	0	0	0	0	0	O	2861	15087601329.3830
2005	0	0	X	W	1	0	0	1	1	S	2	21802.0000
2002	0	0			0	1	0	0	1	O	35	691046.8323
2019	0	0	X	N	0	0	1	0	1	O	59	10666970.2795
2008	0	1	N	N	0	0	0	1	1	O	81	76442953.8695
2003	0	1	X	N	1	0	0	1	1	O	10	43541934.4140
2017	0	0	Y	Y	0	1	0	0	0	S	6	2775066.4375
2008	0	1	X	N	1	0	0	1	1	S	482	329438627.4059
2014	0	1	X	W	0	0	1	0	1	O	7	4427630.9100
2005	1	1	X		0	0	0	0	1	O	5784	30072840003.1467
2019	0	0	NULL	Y	0	1	0	0	1	S	1	8617.0000
2011	0	1		Y	0	0	0	0	0	O	3352	3850212299.2130
2022	0	1	NULL	N	0	0	0	0	1	S	2	1150376.3800
2012	0	1	N	W	0	0	0	1	1	O	1	0.0000
2014	0	1			0	0	0	0	0	O	626	356086540.5867
2013	0	1	Y	N	0	0	0	0	1	S	113	-2870677.4798
2009	0	0	N		0	1	0	0	1	S	1914	57418640.8300
2010	0	0	Y	N	1	0	0	0	1	O	5	-86789.7969
2022	0	0		Y	0	1	0	0	1	S	495	67356376.5496
2011	0	0	N	W	0	0	0	0	1	S	13	875282.9568
2012	0	0			0	0	1	0	1	O	78	2037589.5272
2014	1	1	NULL	N	0	0	0	0	1	S	2	0.0000
2014	1	1	X	N	0	0	0	0	1	O	7437	5866946703.9946
2023	0	0		N	0	0	0	0	1	O	192087	2496900420.0982
2011	0	0	X	N	0	0	NULL	0	1	O	2	0.0000
2011	1	1	Y	N	0	0	0	1	1	S	258	20708334.8298
2007	0	0	Y	N	0	1	0	1	0	S	46	5276312.0000
2002	0	0	N	N	0	0	0	1	1	S	1	21767.5000
2005	0	0	X	N	1	1	0	1	1	S	79	10362336.0000
2018	0	1	N	N	0	1	1	1	1	O	1	0.0000
2012	0	1		W	0	0	0	0	0	S	2	2753000.0000
2011	1	1	X	Y	0	0	0	0	0	S	27	17380048.6250
2023	0	0	Y	Y	0	1	0	0	0	O	452	56792557.9795
2024	0	0	Y	N	1	1	0	0	0	S	1	21099.6602
2015	1	1	Y	N	0	1	0	0	0	O	205	186136844.3300
2019	0	1	X	W	0	0	1	0	1	O	3	91472.0000
2007	0	0	Y	W	0	0	0	0	1	S	24	953125.0000
2017	0	1	X	W	0	0	0	0	1	O	28	6338461.6671
2023	1	1	X	N	0	0	0	0	0	O	409	539590372.2091
2016	0	1	NULL	N	0	1	0	1	1	S	460	443662225.9600
2006	1	1	X		1	1	0	0	1	O	24	32688549.0000
2015	1	1	Y	N	0	0	0	1	0	S	1094	184058324.7452
2017	1	1	Y	W	0	1	0	0	0	O	2	0.0000
2022	0	1	N	Y	0	0	0	0	1	O	22	3510996.8400
2012	0	1	X	N	0	1	0	1	1	O	1560	186889908.9891
2014	0	0		Y	0	1	0	0	1	O	2118	135402187.9191
2008	0	1	X	N	0	0	1	0	1	O	26	26612089.7400
2016	1	1	N	NULL	0	0	0	0	1	O	3	0.0000
2008	0	1			0	0	0	0	1	S	1	0.0000
2021	0	1	N	N	0	0	1	0	1	O	2	0.0000
2021	0	0	X	N	0	1	1	0	1	O	31	2586120.9500
2019	1	1	N	W	0	1	0	1	1	S	3	1292026.7388
2015	0	0		N	1	1	0	0	1	S	57	1368171.6300
2008	1	1	N	Y	0	1	0	0	1	O	15	38244311.1058
2011	0	0	X	N	1	0	0	0	1	S	235	3532534.1732
2011	1	1	X	Y	1	1	0	0	1	S	6	0.0000
2012	1	1	N	W	0	0	0	1	1	S	1	59249.0000
2021	1	1	NULL	N	0	0	0	1	1	O	7	2421540.8700
2013	0	1			0	1	0	0	1	O	753	438383782.4849
2005	1	1	X	Y	0	0	0	0	1	S	1542	1800524786.4400
2017	0	1	X	N	0	0	0	0	0	O	31	-2368008.6170
2020	0	1			0	1	NULL	0	1	O	1	0.0000
2012	0	1		N	0	0	1	0	1	O	15	22214648.5000
2020	0	1	X	N	1	1	0	1	1	O	15	257940.6406
2009	0	0	N	N	0	1	0	0	1	O	340	8605324.1860
2013	0	1		N	0	1	0	1	1	S	1421	1244261077.9836
2012	0	1	X	N	1	1	0	1	1	S	102	4708816.2991
2005	1	1	X		1	1	0	0	1	O	1	20000000.0000
2006	0	1	N	W	0	1	0	0	1	S	1	0.0000
2021	1	1	X	N	0	0	1	1	1	O	40	29347804.2168
2009	1	1	N	N	0	0	0	1	1	O	108	235775518.9168
2018	0	1	Y	N	0	1	0	0	1	O	2	-5988.1502
2009	1	1	N	W	0	1	0	0	1	O	1	0.0000
2018	1	1		N	0	1	1	0	1	O	80	533988541.3829
2016	0	1	X	NULL	0	0	0	0	1	O	156	291011.7100
2006	1	1	Y		0	1	0	0	0	O	3	-37987.0000
2011	1	1		N	0	1	0	1	1	S	251	1344027955.7804
2018	0	0		N	0	0	0	0	1	O	694259	10085227123.5467
2018	0	1		W	0	1	0	1	1	O	25	22126716.0939
2009	1	1	Y	N	0	1	0	0	1	O	72	135181027.4347
2015	1	1	Y	N	0	0	1	0	0	O	21	28865253.6600
2013	0	0	NULL	N	0	0	1	1	1	O	1	315796.8000
2009	0	0	N		0	0	1	0	1	S	2	19504.1602
2024	0	1	NULL	N	1	0	0	0	1	S	7	-17027.0391
2020	0	1	X	N	0	0	0	0	0	O	9	-914997.5383
2017	0	0	X	N	0	0	NULL	1	1	O	2	544031.9234
2021	1	1	X	N	0	0	0	1	1	O	6804	9229767173.3682
2018	0	1		W	0	1	0	0	1	O	25	35211991.5840
2011	0	1		W	1	0	0	0	1	S	2	0.0000
2021	0	0	N	Y	0	0	0	0	1	O	16	489799.4388
2021	0	1	X	N	0	1	0	0	1	O	1830	308163884.2253
2017	0	1		W	0	0	1	0	1	O	16	4933803.5000
2015	1	1	X	Y	1	0	0	0	1	S	9	207869.4100
2022	1	1	X	Y	0	0	0	0	0	O	106	202152442.9050
2007	1	1	Y	W	0	0	0	0	1	S	10	18446057.0000
2012	0	0		N	0	1	0	0	1	O	64725	3026813505.3174
2019	0	0			0	0	1	0	1	O	32	3237920.8156
2020	0	0		Y	0	1	1	0	1	O	11	3475743.8347
2018	1	1	N	W	0	0	1	0	1	O	1	0.0000
2023	0	1	N	NULL	0	1	0	0	1	S	1	0.0000
2008	0	1		N	0	0	0	1	1	S	1	0.0000
2005	1	1	X	N	1	0	0	0	1	O	195	384292866.0000
2022	0	0	X	W	0	0	0	0	1	O	88	20496048.3100
2009	1	1	Y		0	1	0	0	1	O	4	251167.0200
2017	1	1	X	N	1	0	0	0	1	S	37	22398290.9225
2005	0	0	X	N	1	0	0	0	1	S	278	89350374.0000
2017	1	1	X	NULL	0	1	0	0	1	S	191	-190939.6300
2003	0	0	Y	Y	1	0	0	0	0	O	2	300000.0000
2005	1	1	X	N	1	0	0	1	1	S	5	151893.0000
2010	1	1	N	NULL	0	0	0	0	1	O	12	0.0000
2014	0	0	X	W	0	1	1	0	1	O	1	0.0000
2012	0	0		Y	0	0	1	0	1	O	10	1917844.9375
2009	0	0	X	W	0	0	NULL	0	1	O	4	97800.0000
2009	0	1		N	0	0	0	1	1	S	1	0.0000
2004	0	1	X	Y	0	0	0	0	1	O	3414	4227444407.8906
2008	1	1	Y	N	1	0	0	0	1	O	116	187601515.9000
2017	1	1		N	0	1	1	0	1	O	84	337625204.7069
2023	0	0			0	0	1	0	1	O	9	462425.0391
2024	1	1	X	Y	0	1	0	0	1	O	36	48157741.9595
2023	0	0			0	0	0	0	1	O	63628	805045835.4893
2010	0	0	X	NULL	1	1	0	0	1	S	1	0.0000
2006	0	0	Y	N	0	0	0	1	1	O	140	35357781.6572
2014	1	1		N	0	1	0	0	1	S	1038	2442109508.5808
2012	1	1	X	N	1	1	0	1	1	O	22	3488460.8610
2005	0	0	N		0	0	0	0	1	S	6	1182102.0303
2004	0	0	Y		0	0	0	0	0	O	20	8514948.0000
2018	1	1		N	0	0	0	1	1	S	2830	3367965513.0026
2004	0	0		N	0	1	0	0	1	O	10	295760.2000
2014	1	1		N	1	0	0	0	1	O	61	293421723.6900
2009	0	1	Y	Y	0	1	0	0	1	S	1	347963.8000
2011	0	0	Y	Y	1	0	0	0	1	O	1	0.0000
2017	1	1	N	W	0	0	0	0	1	O	3	-77774.2901
2019	0	0	NULL	N	0	0	0	0	1	O	332	2570265.2900
2017	0	1	X	W	0	1	0	1	1	O	9	-227361.7813
2015	1	1		N	0	0	0	0	1	S	3088	1746166804.8421
2005	0	1	N	Y	0	0	0	0	0	O	1	0.0000
2018	0	0		N	0	0	1	1	1	O	60	3760944.4521
2021	1	1	X	Y	0	1	0	0	1	O	111	48972286.7076
2012	0	0		N	0	1	1	0	1	O	70	13006739.5573
2012	1	1	N	NULL	0	0	0	0	1	S	1	0.0000
2019	0	1	N		0	0	0	0	1	S	2	0.0000
2015	0	1	Y	Y	0	0	0	0	0	O	1963	468163370.3792
2003	0	1	Y	N	0	1	0	0	0	S	1	0.0000
2008	0	1	X	Y	0	0	0	0	0	S	6	3423534.3750
2021	0	0		W	0	0	1	0	1	O	32	2295793.9095
2018	0	0	X	NULL	0	0	0	0	1	O	10	0.0000
2020	1	1	X	N	0	0	1	1	1	O	38	69431389.6797
2011	0	1	Y	Y	0	0	0	0	0	S	605	158005765.7706
2016	0	0	X	W	1	1	0	1	1	S	1	0.0000
2017	0	1	Y	N	0	1	0	1	0	O	16	4497306.0122
2011	0	1	X	W	0	0	1	0	1	O	6	2142048.0000
2023	0	1	Y	N	0	1	0	0	0	O	149	285541931.2844
2021	1	1	X	N	0	1	0	1	1	O	1938	1712581626.1143
2007	0	0		N	0	1	0	0	1	O	53	4783322.9467
2011	0	1	Y	N	0	0	0	1	0	S	1135	192679770.6812
2015	0	1		W	0	0	0	0	0	O	85	15417671.5150
2010	0	0		W	0	0	1	0	1	O	7	2192828.0234
2023	1	1	X		0	0	0	0	1	S	62	33272400.0547
2004	0	0	Y	N	0	1	0	1	0	S	45	3485046.0000
2015	0	0	X	N	0	0	NULL	1	1	O	27	5891163.8400
2016	0	0	X	W	0	1	0	1	1	O	7	624788.8000
2006	0	1	X	W	1	0	0	0	1	O	8	4972003.3750
2005	0	0	N	N	0	1	0	0	1	O	2	52502.8613
2013	0	0	Y	Y	1	0	0	0	1	O	3	0.0000
2013	0	0		Y	1	0	0	0	1	S	9	618945.8100
2010	0	0	N	N	0	0	1	0	1	O	19	8074872.5000
2015	0	0	X	N	1	1	0	1	1	S	257	8495866.0556
2012	0	0	N	N	0	1	0	0	1	O	168	12442380.4370
2015	1	1	Y	N	0	0	0	0	0	O	13289	48767651567.9975
2010	1	1		Y	0	1	0	0	1	O	29	375680688.5000
2014	1	1	Y	NULL	0	1	0	0	0	S	1	0.0000
2015	1	1	N		0	0	0	0	1	O	2	-27526.3900
2019	1	1	X	Y	1	0	0	0	1	S	6	3280725.0000
2021	0	0	NULL	Y	0	0	0	0	1	S	5	1147078.4900
2011	1	1	N	NULL	0	1	0	0	1	S	7	0.0000
2021	1	1		N	0	0	0	1	1	O	3704	7241936340.4520
2015	1	1		N	0	1	0	0	1	S	406	485305267.4090
2011	1	1	N	N	0	0	0	1	1	O	350	370035969.0374
2004	0	0	X	W	0	0	0	1	1	O	227	7666086.0000
2006	1	1	X	N	1	0	0	1	1	S	57	124881984.0000
2008	1	1	Y	Y	0	1	0	0	0	O	1	0.0000
2013	0	0	X		0	0	0	0	1	O	2738	-34279057.0316
2005	0	1	Y		0	0	0	0	1	S	1	0.0000
2009	0	0	N	N	0	0	1	0	1	O	2	118102.0000
2014	1	1	X	W	0	1	0	0	1	O	74	27370843.8000
2023	0	1	Y	W	0	0	0	0	0	S	11	3490953.3125
2007	0	1	N		0	0	0	0	1	S	2	1213171.1875
2023	1	1	X		1	0	0	0	1	O	1	-17931.2500
2014	0	0	X	N	0	1	1	1	1	O	2	0.0000
2019	1	1	NULL	Y	0	0	0	0	0	O	20	6794071.9200
2011	0	0	Y	N	1	1	0	1	0	O	1	1270.0100
2011	0	1	N	N	0	0	0	0	1	S	299	87492124.0503
2006	0	0	N	N	0	1	0	0	1	S	15	852205.0000
2016	1	1	X	N	0	1	0	0	1	O	3468	3018723106.7012
2023	1	1	Y	N	0	1	1	0	0	O	2	6852095.0000
2014	0	0	NULL	N	0	0	0	1	1	S	8	-217279.1000
2009	0	0	X	Y	0	0	1	0	1	O	2	395823.0625
2017	0	1	X	Y	0	0	0	0	0	O	24	-348574.8284
2021	0	0	Y	Y	1	0	0	0	0	S	2	0.0000
2014	0	1	X	W	0	1	0	1	1	O	3	1162050.0000
2022	0	0	NULL	N	0	1	1	0	1	O	16	-2618705.0900
2015	0	0	Y	N	0	1	0	1	1	O	1	-6000.0000
2006	0	0	Y	Y	0	0	0	0	0	O	305	100467356.2656
2017	0	0	Y	Y	0	0	0	0	1	S	1	-6854.1099
2017	0	0	NULL	N	1	0	0	0	1	S	484	63871905.1700
2009	1	1	Y	N	1	0	0	1	0	O	12	114637260.0000
2019	0	0	X	N	0	1	1	0	1	O	12	914273.4063
2015	1	1	Y	N	0	1	1	0	0	O	1	0.0000
2021	1	1	N	W	0	1	0	0	1	O	3	0.0000
2010	1	1		N	0	1	0	0	1	S	175	1395354762.1888
2022	0	0	X	Y	0	0	0	0	1	S	710	86441758.1319
2013	1	1	X	N	1	1	0	1	1	S	67	10043523.5800
2007	1	1	X		0	1	0	0	1	S	983	845597495.4196
2023	0	1	X	N	0	1	0	1	1	S	2629	2282366371.6965
2011	0	0		N	0	1	1	1	1	O	10	2082961.6602
2004	0	0	X	N	1	0	0	0	1	S	319	19356547.0000
2015	0	0	Y	Y	0	0	0	0	1	O	62	-1469140.7700
2016	0	1			0	1	0	0	1	S	1022	534881370.1009
2014	1	1	X	N	0	1	0	0	1	O	3677	2715714807.2591
2015	0	0		W	0	1	0	0	1	O	186	11726252.1235
2008	1	1			0	0	0	0	1	S	1	9985600.0000
2013	0	1	X	W	0	1	0	1	1	O	2	1162050.0000
2012	0	1	Y	NULL	0	1	0	0	0	O	10	0.0000
2009	0	0	N		0	0	0	0	1	S	1971	43532300.5759
2024	0	1	Y	N	0	0	0	1	0	O	35	27391899.9649
2003	0	0	Y		0	1	0	0	0	S	3	84361.0000
2010	0	0	N	N	0	0	0	0	1	O	2686	280551160.5188
2010	1	1	Y	NULL	0	1	0	0	1	O	9	0.0000
2015	0	1	N	W	0	1	0	0	1	O	2	0.0000
2018	0	1	Y	W	0	0	0	1	0	O	4	0.0000
2012	1	1	N	Y	0	1	0	0	1	O	15	3783259.9996
2008	1	1	Y	N	0	0	0	1	0	O	428	1379354276.5589
2019	0	0			0	0	0	0	1	O	141472	2317570990.2034
2024	0	1	Y	N	1	0	0	1	0	S	1	0.0000
2015	1	1	N	N	0	0	0	0	1	O	1005	89574274.7500
2015	0	1		N	0	0	1	1	1	O	7	8506719.9300
2018	0	1	N	N	0	0	0	0	1	O	75	16078608.5940
2022	0	1			0	1	0	0	1	O	1301	739328903.3860
2011	0	0	X		0	1	1	0	1	O	25	271284.8495
2021	0	0	X	N	0	0	1	0	1	O	41	2868360.1513
2009	1	1		N	0	1	0	0	1	S	2	13266092.0000
2008	0	0	Y	N	0	0	0	0	1	S	2674	371417165.8528
2022	1	1	Y	N	0	1	0	0	0	S	63	29424213.6000
2023	0	1	Y	N	1	0	0	1	0	S	29	5251356.0677
2023	1	1	X		0	1	0	0	1	O	121	383711247.5254
2011	0	0	X	N	1	1	0	0	1	S	165	541023.8297
2021	0	1	Y	Y	0	0	1	0	0	O	3	0.0000
2012	1	1	Y	Y	0	1	0	0	0	S	25	17268376.6131
2013	1	1		Y	0	0	0	0	0	O	6511	21107016422.0539
2012	1	1	Y	NULL	0	0	0	0	0	O	46	0.0000
2012	1	1	X	NULL	0	1	0	0	1	S	216	0.0000
2015	0	1	Y	N	0	0	0	0	1	S	43	-1140057.6800
2016	0	1	Y	Y	0	1	0	0	0	O	10	8868804.8500
2010	0	0	N		0	0	1	0	1	O	2	0.0000
2011	1	1	X	W	0	0	0	0	0	O	81	41850011.7926
2005	1	1	X		0	0	1	0	1	O	11	33289939.0000
2011	0	1		Y	0	0	1	0	1	O	8	4576153.6875
2006	1	1	X	Y	0	0	0	0	1	S	696	860893901.1213
2006	0	1	Y	N	1	0	0	0	1	O	2	1555850.0000
2011	1	1	X	N	0	0	0	0	0	O	7415	6920135765.5193
2008	0	1	Y	Y	0	0	0	0	1	S	114	58763344.7394
2010	0	1	X	N	0	0	0	0	0	S	25	4831955.9864
2011	1	1	N		0	0	0	0	1	O	17	2765405.0000
2014	0	1		N	1	1	0	1	1	O	19	6568341.3500
2009	1	1	X	W	0	0	1	1	1	O	9	20125435.0064
2018	0	1	Y		0	0	0	0	0	O	16	0.0000
2009	0	0	X	W	0	0	0	0	1	S	773	62008044.1257
2017	0	0		Y	1	0	0	0	1	O	1	0.0000
2007	0	1	X	N	1	1	0	1	1	S	67	18233608.8750
2017	1	1		N	0	0	0	1	1	S	2621	2704334650.5521
2022	0	1		N	1	0	0	1	1	O	1	4338487.0000
2004	0	1	X	W	0	0	0	0	1	O	257	169256862.0000
2002	0	1	X		0	0	0	0	0	O	25	15656938.0000
2015	0	0	X	Y	0	1	0	0	1	S	79	11396190.8399
2011	1	1	X		0	0	0	0	0	S	3	1236642.5000
2008	0	1		N	0	1	0	0	1	S	3	4833059.4063
2008	1	1	Y		1	0	0	0	1	O	17	8935516.0000
2009	1	1	Y	N	0	1	0	0	1	S	9	9655082.8200
2017	0	1	Y	Y	0	0	0	0	0	S	632	165165161.2547
2023	1	1	N	N	0	1	0	0	1	S	77	59353830.0521
2001	0	0		Y	0	0	0	0	1	S	2	5267.4702
2023	0	1	N	N	0	1	0	1	1	S	35	2681570.2609
2016	1	1			0	1	0	0	1	S	300	258619891.4794
2009	0	0	Y	Y	0	1	0	0	0	S	9	595384.6152
2004	0	1	X	N	0	1	0	0	1	:	3	2384793.0000
2003	0	0	Y	Y	0	0	0	0	1	S	57	15183138.0000
2010	1	1	Y	NULL	0	0	0	1	0	S	3	0.0000
2017	0	1		N	0	0	0	0	1	S	4355	1598541947.4828
2014	0	0	Y	NULL	0	1	0	0	0	S	8	0.0000
2014	0	0		Y	0	1	0	0	1	S	447	59810616.0574
2013	1	1	Y	N	0	0	0	0	1	S	653	233682900.8196
2014	0	1	Y	N	1	0	0	1	0	S	22	4256556.4800
2003	0	1	Y	N	0	0	0	0	0	S	65	33678812.0000
2022	0	1	X	N	0	0	0	0	1	S	3123	1050082160.8699
2008	1	1	X	N	1	1	0	1	1	O	24	16670370.0000
2018	0	0		W	0	1	0	1	1	O	426	23338289.6088
2013	0	1	Y	NULL	0	0	0	0	0	S	4	0.0000
2017	1	1		N	0	0	1	0	1	O	5	9758127.0391
2013	0	0		Y	0	0	0	0	1	O	19204	2558231575.1094
2002	0	0		N	0	0	0	0	1	O	110	5099106.0279
2017	0	0	NULL	N	0	0	0	1	1	O	30995	761599102.2700
2013	0	1		W	0	0	1	0	1	O	5	11138550.8000
2003	0	1	X		0	0	0	0	1	S	401	306718437.0000
2016	0	0		N	1	0	0	0	1	S	556	60289885.2829
2011	0	1			0	1	1	0	1	O	6	1655162.0225
2024	1	1	X	Y	0	0	0	0	1	O	470	1826525470.8257
2017	0	1	X	NULL	0	1	0	0	1	S	430	-78053.7100
2010	0	1	Y	N	0	1	0	0	0	O	78	49031030.0527
2018	0	1	X	N	1	1	0	0	1	O	10	6429160.0000
2013	0	1	Y	N	0	1	0	1	0	S	51	7084804.7766
2011	1	1		Y	0	1	0	0	1	O	43	254346264.8125
2023	0	0		N	0	1	0	1	1	O	4977	149374259.0515
2014	1	1			0	1	0	0	1	S	456	448251927.4054
2004	0	0	Y		0	1	0	0	1	O	5	243787.0000
2010	1	1	X	N	1	1	0	1	1	O	29	2018943.2950
2011	1	1	N	N	0	0	0	0	1	S	2046	64963988.1251
2015	0	0	NULL	N	1	1	0	0	1	S	91	3137547.5800
2021	0	1	N	N	0	1	0	1	1	S	87	1496065.3608
2012	1	1		W	0	0	0	0	0	O	168	394747212.3913
2015	0	1		Y	0	0	0	0	0	S	1	0.0000
2016	0	1	N	NULL	0	1	0	0	1	O	15	0.0000
2017	1	1	X		0	0	0	0	0	O	16	-2502750.8456
2019	0	0		N	0	1	0	0	1	S	1000401	5702397876.8015
2001	1	1	Y	N	0	0	0	1	0	S	2	6478516.0000
2016	1	1	Y	W	0	0	0	1	0	O	8	-1326861.9000
2004	0	0		N	0	0	0	1	1	O	9	135409.6499
2004	1	1			0	1	0	0	1	O	3	395657750.4500
2015	0	0	NULL	Y	1	0	0	0	1	O	2	313000.0000
2003	0	0	X	N	1	1	0	1	1	O	244	35446664.0000
2017	0	1	NULL	Y	1	0	0	0	1	O	1	28645.0000
2014	0	1		N	0	1	1	1	1	O	2	3372850.1200
2020	0	1	NULL	N	0	0	0	0	1	S	2	0.0000
2005	0	1	Y	N	0	0	0	0	1	S	84	55695874.0000
2015	0	1	Y	Y	1	0	0	0	0	O	4	1194024.0019
2011	1	1		N	0	0	0	0	0	O	8220	18756508038.1502
2014	0	0	Y	Y	1	0	0	0	1	O	3	0.0000
2019	0	1	N	Y	0	0	0	0	1	O	25	18820467.1628
2007	0	0	Y	Y	1	0	0	0	0	S	6	20875.0000
2011	0	0		W	0	1	0	0	1	S	65	6506759.9512
2021	0	0			0	0	0	0	1	O	111738	1482191309.1265
2011	0	0	Y	N	1	0	0	0	0	S	14	768744.1804
2021	0	1		Y	0	1	0	0	1	S	76	39976355.1487
2021	1	1			0	1	0	0	1	O	786	1356166913.0379
2002	1	1	X	N	1	1	0	1	1	O	4	1825651.0000
