"VendorSize_Intl","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Unlabeled",10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,114762818,129724411,459662031,157659372,164695199.43,111116994.02,114910920.661,55341903.8716,15986776.0092,31944056.1173,9839725.4227,8302088.0112,1746399.3989,2076455.56,1331832.6607,846824.7,-6076243.1973,1612280.5257,629297.2727,485757.0566,531644.7645,3249212.7869,1249213236.1317,650958075.228
"International",,,,,,,,,,,5855310,31431915,29038441,26821352,29615288,67210155.41,126075881.9742,232843613.4381,239859421.1006,264128505.6568,227535732.4385,222684769.3116,199923459.366,241544773.845,286614660.123,275409043.4212,399530890.625,392899698.4286,425808782.0839,361643253.9301,348105495.1396,388252193.3297,561150405.303,227577855.8431
"U.S. Big Five",,,,,,,,,,,2654621013,3383373264,8574875207.9004,7387264147,9136827757.2097,9533736308.9512,11143524994.3086,11354599419.2882,12303056075.9251,13550223853.1448,9188258067.7167,17382520706.1511,8264699082.7531,7667750058.4678,10412030520.2298,8329332990.1479,10006603097.6059,9357344813.3724,9935604312.6457,11016360056.6799,18128218801.5957,11332682136.1155,13072187102.3781,9039346085.5879
"U.S. Large",,,,,,,,,,,4117400511,1328976573,1430636539,2453155429.9302,3098714981.0581,1878714123.0481,2870318722.9455,2859905103.1858,4006888857.5444,3814924101.8393,3918499203.4774,5290523065.9834,10498800768.3896,10730404305.0233,8598609223.2795,8196003271.1657,9095037224.3658,12033204977.2514,12435178294.6897,12400564888.1813,13498080086.5069,12137633202.3902,11009595497.5751,8052349574.9997
"U.S. Medium",,,,,,,,,,,1440674389,6511568940,1083539590,1115494226.1204,1069106173.4699,1178565944.2326,918086383.7194,989408437.3814,1073379872.6281,1597943755.3463,1545989247.2496,2801963397.1981,2186754844.7497,2097777550.4247,2009091127.8761,2036148778.2378,2242220902.3843,2029789308.7148,3117851089.6738,3545968570.7325,2024708518.3787,2356858318.2138,1891105736.176,357566120.1316
"U.S. Small",,,,,,,,,,,1022507722,1019252185,1117799529.0298,1532244526,1343862316.0503,1271094706.4631,1646287014.447,1761377754.2436,1714519495.0782,2243197846.9047,2670317826.7697,2682649734.6379,2669286593.5505,2415931077.8601,2519458736.8104,2646302125.1975,2914883000.5918,3405676326.6605,5399711257.3916,5991254592.7253,6085011351.337,5777155185.1825,6610354304.0073,2386160643.0691
