"PricingUCA.sum","PricingUCA","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2022","2023","2024"
"Cost or Effort-Based","Other CB",,,,,,14603.73,-30.28,,,,,,,,
"Crosscutting",,,,0,,,,,,,,,,,,
"Fixed-Price","FFP",15200,483844.7852,476477.3887,7881.6602,4182368.7109,7521210.4003,8261262.1139,8629917.0256,3543358.4001,576332.88,45866.5117,84461,704.34,6755.36,-500.22
