Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Basic research,Total for selected values,"5,449","5,198","8,772","24,057","28,771","21,641","28,255","30,270","20,639","22,762","23,676","26,621","26,948","24,558","30,039","34,773","10,660","7,141","7,955","4,277","2,714"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Basic research,"Universities and colleges, excluding FFRDCs","5,301","5,082","8,120","12,148","11,706","7,470","21,015","23,583","15,750","18,927","19,282","17,262","14,904","11,668","18,545","17,827","3,152","2,308","2,172","2,766","1,599"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Basic research,Other than universities and colleges,147,116,652,"11,909","17,064","14,170","7,239","6,686","4,889","3,836","4,394","9,359","12,044","12,890","11,494","16,946","7,508","4,833","5,783","1,511","1,115"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Applied research,Total for selected values,-,-,"1,000","3,869","3,661","5,425","2,993","10,028","5,349","6,632","5,555","8,041","10,095","8,825","7,718","18,871","1,329","41,718","22,152","2,389","2,932"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,684,163,200,211,55,695,777,"1,552","1,047","1,191",905,"1,266","1,368",-,"9,102","5,270",773,208
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Army,Applied research,Other than universities and colleges,-,-,"1,000","3,185","3,498","5,225","2,782","9,973","4,654","5,856","4,003","6,994","8,904","7,920","6,452","17,503","1,329","32,616","16,882","1,616","2,724"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Total for selected values,Total for selected values,"18,050","19,143","12,610","14,287","33,022","73,873","66,381","55,448","40,461","28,768","16,513","16,338","15,691","14,736","15,333","14,407","13,839","13,543","12,662","11,636","11,305"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Basic research,Total for selected values,"14,185","14,371","9,495","11,900","21,504","60,714","55,212","46,118","32,994","22,514","10,720","10,358","9,909","9,088","9,730","9,435","8,273","7,971","8,058","7,248","7,619"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Basic research,"Universities and colleges, excluding FFRDCs","10,226","12,112","8,442","9,547","17,255","33,252","43,402","36,425","24,251","15,551","5,889","5,632","5,348","4,900","4,923","4,975","4,155","3,691","3,840","3,454","3,749"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Basic research,Other than universities and colleges,"3,958","2,258","1,053","2,353","4,249","27,463","11,810","9,693","8,743","6,963","4,830","4,726","4,561","4,188","4,807","4,460","4,118","4,280","4,218","3,794","3,870"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Applied research,Total for selected values,"3,865","4,773","3,115","2,387","11,517","13,158","11,169","9,330","7,467","6,254","5,793","5,980","5,782","5,648","5,603","4,972","5,566","5,572","4,604","4,388","3,686"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Applied research,"Universities and colleges, excluding FFRDCs","1,439","2,175","1,363","1,637","4,070","2,150","1,739","2,366","1,583","1,383",635,628,661,702,620,667,591,538,466,444,498
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Department of the Navy,Applied research,Other than universities and colleges,"2,426","2,597","1,752",750,"7,447","11,008","9,430","6,964","5,884","4,871","5,158","5,352","5,121","4,946","4,983","4,305","4,975","5,034","4,138","3,944","3,188"
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Total for selected values,Total for selected values,"69,970","70,327","73,028","102,252","70,659","70,738","59,578","51,957","48,653",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Basic research,Total for selected values,"28,664","29,254","33,984","30,514","12,001","11,026","10,348","13,567","6,584",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Basic research,"Universities and colleges, excluding FFRDCs","11,565","11,411","12,158","14,588","7,860","5,944","5,270","8,178","4,145",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Basic research,Other than universities and colleges,"17,100","17,843","21,826","15,926","4,141","5,082","5,078","5,389","2,438",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Applied research,Total for selected values,"41,306","41,072","39,044","71,738","58,658","59,712","49,230","38,390","42,070",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Applied research,"Universities and colleges, excluding FFRDCs","9,209","9,377","8,653","8,376","1,507","1,642","1,141","2,307","3,500",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Defense,Other defense agencies,Applied research,Other than universities and colleges,"32,097","31,695","30,391","63,362","57,150","58,071","48,089","36,084","38,570",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Total for selected values,Total for selected values,Total for selected values,"401,105","384,815","361,683","356,223","364,085","396,708","363,888","378,997","374,264","353,067","319,827","320,471","265,394","227,804","287,992","237,890","226,295","249,024","205,310","198,817","188,762"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Advanced Research Projects Agency-Energy,Total for selected values,Total for selected values,-,"2,307","1,993","2,945","1,101","19,666",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Advanced Research Projects Agency-Energy,Applied research,Total for selected values,-,"2,307","1,993","2,945","1,101","19,666",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Advanced Research Projects Agency-Energy,Applied research,"Universities and colleges, excluding FFRDCs",-,"2,026",-,"2,575",396,"11,447",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Advanced Research Projects Agency-Energy,Applied research,Other than universities and colleges,-,282,"1,993",369,706,"8,219",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Total for selected values,Total for selected values,-,-,-,100,70,72,-,-,-,-,-,-,-,-,"6,939","14,703","14,278","6,592",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Basic research,Total for selected values,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,"3,393","3,278","1,592",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,143,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,393","3,135","1,592",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Applied research,Total for selected values,-,-,-,-,70,72,-,-,-,-,-,-,-,-,"6,939","11,310","11,000","5,000",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,70,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Bonneville Power Administration,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,939","11,310","11,000","5,000",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Civilian Radioactive Waste Management,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"53,514",-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Civilian Radioactive Waste Management,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"53,514",-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Civilian Radioactive Waste Management,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"53,514",-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Energy Efficiency and Renewable Energy,Total for selected values,Total for selected values,-,-,-,-,-,-,-,"1,590",376,"4,872",540,"2,881",131,272,"5,339","5,316","7,193","14,126",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Energy Efficiency and Renewable Energy,Basic research,Total for selected values,-,-,-,-,-,-,-,"1,590",376,"4,872",540,"2,881",131,272,"5,339","5,316","7,193","14,126",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Energy Efficiency and Renewable Energy,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,163,39,501,55,296,13,28,549,546,739,"1,452",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Energy Efficiency and Renewable Energy,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,"1,426",338,"4,371",484,"2,585",118,244,"4,790","4,770","6,454","12,674",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Total for selected values,Total for selected values,284,-,435,-,-,-,-,312,485,-,-,"2,952",500,"1,250",400,"3,500","13,371","35,598",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Basic research,Total for selected values,213,-,435,-,-,-,-,156,243,-,-,"1,476",-,250,-,-,-,"10,583",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,"1,476",-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Basic research,Other than universities and colleges,213,-,435,-,-,-,-,156,243,-,-,-,-,250,-,-,-,"10,583",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Applied research,Total for selected values,71,-,-,-,-,-,-,156,243,-,-,"1,476",500,"1,000",400,"3,500","13,371","25,015",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,"1,476",-,-,-,"3,500",-,"1,157",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,National Nuclear Security Administration,Applied research,Other than universities and colleges,71,-,-,-,-,-,-,156,243,-,-,-,500,"1,000",400,-,"13,371","23,858",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Total for selected values,Total for selected values,"400,821","382,507","359,255","353,178","362,914","376,970","363,888","377,095","373,403","348,195","319,287","314,638","264,763","226,282","221,800","214,371","191,453","192,708",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Basic research,Total for selected values,"397,965","381,055","359,255","353,178","362,914","375,970","363,888","376,107","373,403","348,195","319,287","314,638","264,763","226,282","221,800","214,371","191,453","192,708",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Basic research,"Universities and colleges, excluding FFRDCs","116,572","120,202","106,408","106,064","106,348","111,477","104,701","108,540","111,432","99,374","85,403","99,395","80,623","66,883","72,624","66,426","56,069","61,695",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Basic research,Other than universities and colleges,"281,393","260,853","252,847","247,114","256,566","264,493","259,186","267,567","261,971","248,821","233,884","215,243","184,140","159,399","149,176","147,945","135,384","131,013",-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Applied research,Total for selected values,"2,856","1,452",-,-,-,"1,000",-,988,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Office of Science,Applied research,Other than universities and colleges,"2,856","1,452",-,-,-,"1,000",-,988,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"205,310","198,817","188,762"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"199,697","196,492","186,462"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"66,119","57,311","51,251"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"133,578","139,181","135,211"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,613","2,325","2,300"
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,438,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Energy,Department of Energy (Agency details not specified),Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,175","2,325","2,300"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Total for selected values,Total for selected values,Total for selected values,"17,203,734","16,114,930","14,763,427","14,089,828","13,032,597","13,463,311","12,833,111","13,533,397","13,401,971","15,445,896","15,521,590","12,827,441","12,724,648","11,965,359","11,631,756","11,340,442","17,104,948","12,979,387","11,072,397","9,543,108","5,358,276"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Healthcare Research and Quality,Total for selected values,Total for selected values,-,-,-,-,-,-,-,98,49,48,-,-,-,50,25,-,-,-,-,204,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Healthcare Research and Quality,Applied research,Total for selected values,-,-,-,-,-,-,-,98,49,48,-,-,-,50,25,-,-,-,-,204,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Healthcare Research and Quality,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,-,204,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Healthcare Research and Quality,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,49,48,-,-,-,50,25,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,170","9,700","10,214",-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,170","9,700","10,214",-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,382","2,029","2,130",-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,788","7,671","8,084",-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Total for selected values,Total for selected values,"53,492","68,712","92,460","155,650","101,407","92,526","74,046","67,299","79,008","85,458","91,125",-,728,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Basic research,Total for selected values,"11,659",-,-,-,-,-,-,-,-,-,-,-,364,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Basic research,"Universities and colleges, excluding FFRDCs",232,-,-,-,-,-,-,-,-,-,-,-,364,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Basic research,Other than universities and colleges,"11,427",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Applied research,Total for selected values,"41,833","68,712","92,460","155,650","101,407","92,526","74,046","67,299","79,008","85,458","91,125",-,364,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Applied research,"Universities and colleges, excluding FFRDCs",378,"28,329","16,781","24,785","5,798","3,917","5,270","2,058","3,600","5,638",-,-,364,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Centers for Disease Control and Prevention,Applied research,Other than universities and colleges,"41,454","40,383","75,679","130,865","95,610","88,610","68,776","65,241","75,408","79,820","91,125",-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Food and Drug Administration,Total for selected values,Total for selected values,"493,053","477,584","375,003","485,856","375,652","389,111","360,626","352,625","225,202","210,605","166,401","137,938","129,295","143,349","142,095","132,298","138,325","136,316","151,612","144,238","130,802"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Food and Drug Administration,Applied research,Total for selected values,"493,053","477,584","375,003","485,856","375,652","389,111","360,626","352,625","225,202","210,605","166,401","137,938","129,295","143,349","142,095","132,298","138,325","136,316","151,612","144,238","130,802"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Food and Drug Administration,Applied research,"Universities and colleges, excluding FFRDCs","72,300","58,718","61,661","71,489","65,067","52,827","46,524","50,010","5,413","9,030","9,706","16,078","16,017","14,504","15,226","17,241","18,874","21,449","18,322","17,287","14,590"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,Food and Drug Administration,Applied research,Other than universities and colleges,"420,753","418,866","313,342","414,367","310,585","336,284","314,102","302,615","219,789","201,576","156,696","121,860","113,278","128,845","126,869","115,057","119,451","114,867","133,290","126,951","116,212"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Total for selected values,Total for selected values,"16,657,189","15,568,634","14,295,963","13,448,322","12,555,538","12,981,674","12,398,439","13,113,375","13,097,711","15,149,784","15,264,064","12,689,503","12,594,625","11,821,960","11,489,636","11,208,144","16,955,453","12,833,371","10,910,571","9,398,666","5,227,474"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Basic research,Total for selected values,"8,579,158","8,020,433","7,331,207","6,815,720","6,512,098","7,035,099","6,691,690","6,979,280","7,041,242","8,219,450","8,257,692","7,105,910","6,994,506","6,663,296","6,594,376","6,153,958","9,503,434","7,454,918","7,108,050","6,053,754","3,504,351"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Basic research,"Universities and colleges, excluding FFRDCs","5,005,611","4,641,658","4,218,958","3,975,174","3,772,535","4,160,979","3,979,761","4,146,997","4,336,760","5,052,711","4,950,814","4,249,555","4,117,813","4,001,806","4,001,813","3,474,910","5,420,898","4,404,118","5,525,616","3,607,583","2,586,374"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Basic research,Other than universities and colleges,"3,573,547","3,378,775","3,112,249","2,840,547","2,739,563","2,874,120","2,711,930","2,832,283","2,704,482","3,166,738","3,306,878","2,856,355","2,876,693","2,661,490","2,592,563","2,679,048","4,082,536","3,050,800","1,582,434","2,446,171","917,977"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Applied research,Total for selected values,"8,078,031","7,548,201","6,964,757","6,632,601","6,043,439","5,946,575","5,706,748","6,134,096","6,056,470","6,930,335","7,006,372","5,583,593","5,600,119","5,158,664","4,895,260","5,054,186","7,452,019","5,378,453","3,802,521","3,344,912","1,723,123"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Applied research,"Universities and colleges, excluding FFRDCs","4,714,022","4,284,608","4,053,509","3,819,285","3,482,340","3,544,538","3,390,166","3,677,525","3,694,277","4,304,161","4,390,344","3,338,934","3,296,327","3,098,630","2,970,700","2,853,909","4,250,740","3,177,412","3,753,729","1,995,566","1,187,521"
Science,Life sciences,Biological sciences (excluding environmental),Department of Health and Human Services,National Institutes of Health,Applied research,Other than universities and colleges,"3,364,008","3,263,594","2,911,248","2,813,317","2,561,099","2,402,037","2,316,582","2,456,570","2,362,193","2,626,173","2,616,028","2,244,659","2,303,792","2,060,034","1,924,560","2,200,277","3,201,279","2,201,041","48,792","1,349,346","535,602"
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Total for selected values,Total for selected values,Total for selected values,"8,213",284,"2,773","40,361","25,378","30,171","24,417","64,785","47,136","65,833","65,387","98,869","167,737","186,650","128,818","146,548",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Total for selected values,Total for selected values,"8,213",284,"2,773","40,361","25,378","30,171","24,417","64,785","47,136","65,833","65,387","98,869","167,737","186,650","128,818","146,548",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Basic research,Total for selected values,-,284,-,-,-,-,-,"32,725","24,726","9,601","10,223","76,133","17,562","25,024","17,251","43,851",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,578,"2,219","2,064","1,010","22,866",-,354,511,370,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Basic research,Other than universities and colleges,-,284,-,-,-,-,-,"32,147","22,507","7,537","9,213","53,267","17,562","24,670","16,740","43,481",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Applied research,Total for selected values,"8,213",-,"2,773","40,361","25,378","30,171","24,417","32,060","22,410","56,232","55,164","22,736","150,175","161,626","111,567","102,697",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Applied research,"Universities and colleges, excluding FFRDCs",462,-,-,-,"9,993",376,"3,011","1,183","1,139","3,176","2,194","1,070","2,591","2,286","3,311",868,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Homeland Security,Science and Technology Directorate,Applied research,Other than universities and colleges,"7,751",-,"2,773","40,361","15,385","29,796","21,406","30,877","21,271","53,056","52,971","21,666","147,584","159,340","108,256","101,829",-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,Total for selected values,Total for selected values,Total for selected values,"83,913","84,036","106,363","106,666","104,824","101,209","102,744","108,234","106,052","108,711","100,139","93,729","93,227","93,021","87,077","90,036","86,009","89,651","80,472","72,477","82,032"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,National Park Service,Total for selected values,Total for selected values,"3,286","3,222","2,870","2,620","2,445","1,854","1,610",871,"1,820",646,"2,388","1,008",426,700,"1,380","3,301","1,672","7,236","1,299","4,977","2,037"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,National Park Service,Basic research,Total for selected values,232,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,219",805,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,National Park Service,Basic research,Other than universities and colleges,232,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,219",805,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,National Park Service,Applied research,Total for selected values,"3,054","2,994","2,870","2,620","2,445","1,854","1,610",871,"1,820",646,"2,388","1,008",426,700,"1,380","3,301","1,672","5,017",494,"4,977","2,037"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,National Park Service,Applied research,Other than universities and colleges,"3,054","2,994","2,870","2,620","2,445","1,854","1,610",871,"1,820",646,"2,388","1,008",426,700,"1,380","3,301","1,672","5,017",494,"4,977","2,037"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,U.S. Geological Survey,Total for selected values,Total for selected values,"80,626","80,814","103,493","104,046","102,380","99,355","101,133","107,363","104,232","108,065","97,751","92,721","92,801","92,321","85,697","86,735","84,337","82,415","79,173","67,500","79,995"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,U.S. Geological Survey,Basic research,Total for selected values,"5,820","5,852","8,218","8,298","8,180","7,911","7,785","8,264","8,378","8,532","6,061","5,725","5,725","5,819","2,700","2,734","2,693","2,672","6,808","5,804","6,901"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,U.S. Geological Survey,Basic research,Other than universities and colleges,"5,820","5,852","8,218","8,298","8,180","7,911","7,785","8,264","8,378","8,532","6,061","5,725","5,725","5,819","2,700","2,734","2,693","2,672","6,808","5,804","6,901"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,U.S. Geological Survey,Applied research,Total for selected values,"74,806","74,963","95,275","95,748","94,200","91,445","93,348","99,099","95,854","99,533","91,691","86,996","87,076","86,502","82,997","84,001","81,644","79,743","72,365","61,696","73,094"
Science,Life sciences,Biological sciences (excluding environmental),Department of the Interior,U.S. Geological Survey,Applied research,Other than universities and colleges,"74,806","74,963","95,275","95,748","94,200","91,445","93,348","99,099","95,854","99,533","91,691","86,996","87,076","86,502","82,997","84,001","81,644","79,743","72,365","61,696","73,094"
Science,Life sciences,Biological sciences (excluding environmental),Department of Justice,Total for selected values,Total for selected values,Total for selected values,"6,067","9,617",-,-,"2,273","17,985","6,798","7,956","9,623","20,747","5,512",100,-,-,-,-,-,-,-,-,-
Science,Life sciences,Biological sciences (excluding environmental),Department of Justice,Office of Justice Programs,Total for selected values,Total for selected values,"6,067","9,617",-,-,"2,273","17,985","6,798","7,956","9,623","20,747","5,512",100,-,-,-,-,-,-,-,-,-
