"Name","Column","Class","Label","Format","NAs","MaxChar"
"RecipientUEI","UEI","character",NA,NA,0,12
"RecipientUEI","Fiscal_Year","integer",NA,NA,0,4
"RecipientUEI","Action_Obligation_Then_Year","numeric",NA,NA,0,16
"RecipientUEI","MaxOfCAUobligatedAmount","numeric",NA,NA,3217659,0
"RecipientUEI","AnyIsSmall","logical",NA,NA,0,5
"RecipientUEI","AlwaysIsSmall","logical",NA,NA,0,5
"RecipientUEI","ObligatedAmountIsSmall","numeric",NA,NA,0,15
"RecipientUEI","IsOnePercentPlusSmall","logical",NA,NA,233,5
"RecipientUEI","AnyDefense","logical",NA,NA,2194,5
"RecipientUEI","DefenseObligated_Then_Year","numeric",NA,NA,0,16
"RecipientUEI","IsEntityAbove1990constantMTAthreshold","logical",NA,NA,228,5
"RecipientUEI","IsEntityAbove2016constantMTAthreshold","logical",NA,NA,228,5
"RecipientUEI","IsEntityAbove2018constantMTAthreshold","logical",NA,NA,228,5
"RecipientUEI","IsEntityAbove2016constantArbitrary1000k","logical",NA,NA,228,5
"RecipientUEI","IsEntityAbove2018constantSimplifedAcquisition250kThreshold","logical",NA,NA,2190,5
"RecipientUEI","IsEntityAbove2018constantCommercialItem7500k","logical",NA,NA,2190,5
"RecipientUEI","IsEntityAbove2018constantCostAccounting2000kThreshold","logical",NA,NA,2190,5
"RecipientUEI","AnyEntityUSplaceOfPerformance","logical",NA,NA,34911,4
"RecipientUEI","AnyEntityForeignPlaceOfPerformance","logical",NA,NA,34911,5
"RecipientUEI","IsEntityTraditional","logical",NA,NA,23990,5
"RecipientUEI","topISO3countrycode","character",NA,NA,3217659,0
"RecipientUEI","ParentID","character",NA,NA,3060539,135
"RecipientUEI","StandardizedTopContractor","character",NA,NA,37757,123
"RecipientUEI","Parent_UEI","character",NA,NA,57371,12
"RecipientUEI","Parent_UEIFirstDate","character",NA,NA,3217659,0
"RecipientUEI","EntitySizeCode","character",NA,NA,0,1
"RecipientUEI","dFYear","Date",NA,NA,0,10
"RecipientUEI","EntitySizeText","factor",NA,NA,0,22
"RecipientUEI","EntitySmall","factor",NA,NA,0,22
"RecipientUEI","EntitySizeText.sum","factor",NA,NA,0,22
"RecipientUEI","Action_Obligation_OMB25_GDP23","numeric",NA,NA,6,21
"RecipientUEI","YTD","factor",NA,NA,0,9
"RecipientUEI","DefenseObligated_OMB25_GDP23","numeric",NA,NA,6,21
