"PlatformPortfolio","2021","2022","2023","2024","2025"
"Electronics, Comms, & Sensors",7223349.72,7194483.38,9615257.71,10790354.41,5155967.93
"Facilities and Construction",14434755.51,25517042.99,14332574.03,28574884.68,8954417.85
"Land Vehicles",,,227230,11655,6600
"Ordnance and Missiles",3508.84,,62088.8,61035,59426.16
"Other Products",69140,358537.03,-79185.96,158361,183840.08
"Other R&D and Knowledge Based",9292849.83,5862960.01,11639396.33,21693353.57,6556063.45
"Other Services",178272.54,1488496.79,967778.88,1218400.54,412626.46
"Unlabeled",,,,,158720
