"SimpleArea","2021","2022","2023","2024","2025"
"Products (All)",7150362.02,6333930.63,7549987.1,10821462.59,3925677.69
"R&D",,510393.54,634018.23,316697.66,337175
"Services (Non-R&D)",24051514.42,33577196.03,28581134.46,51369883.95,17066089.24
"Unlabeled",,,,,158720
