"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",141238000,140737000,145944037,161247134,175168720,159019352,149251598,289158681,262445035,191385393,488027620,528629064,667782816,520121466,572378288.625,650053253.0508,1228277887.1546,910999924.9186,1718034839.626,1868721323.2267,1817517214.963,2232596954.2284,2170201652.9172,2067674176.1919,1671669136.7268,1747254906.5523,1902654331.0077,2079960467.9205,2127662567.5348,2082688518.1414,1783401232.3342,1370200453.579,1411710788.3345,1652216724.4535,1538980014.12,633512159.15
"Large",1583719000,1418982823,1029689886,900565175,1436399778,2281820057,2247773594,2616618312,3042229306,3478834581,2769669770,3293313480,4655044781.4103,8962068758.7393,12505166964.798,14070657271.8933,15322478028.7259,15276635929.6843,17015413714.808,18948892587.3926,20173880201.6103,22086154199.7182,18288103587.4076,17883814840.2079,16193522369.9047,14019946849.584,14090479419.753,15116738450.2825,16614329003.4146,17222065181.609,17138298731.8928,16847733098.3921,18180570628.4144,17264954652.3146,17512693892.95,6485983810.39
"Medium",2048125000,3412120633,2325798887,1495797884,1713814779,1883129221,2026114699,2194913093,2290483776,3423765832,2231004611.319,2697029374.3494,3953057678.69,5378672408.0158,5575321499.3789,5445493920.5836,5693973133.4702,6052369484.9204,6218328308.2088,7141897847.0189,7885171885.8103,8466301221.4496,9236193375.8185,7256987721.8581,4154703783.3982,3788764520.1497,4290892943.7851,4856795440.3712,4924254454.3988,5135596338.0522,5308518940.1419,5771560126.6207,5433780158.1257,7259306740.3586,7785044126.3208,4366025310.49
"Small",544963184,646779776,681033151,479578384,650097894,917363180,620270426,796936623,640128772,736014016,970210327.8008,850802610,1142493761.8438,1210387732.0336,1397259747.5714,1987944725.9701,1858813834.3313,2037887353.4337,2301516376.5787,2432100577.8484,2624080350.0801,3365401867.1277,3347509662.8918,3052495127.033,3244945051.1276,3036911932.0992,3124579534.1524,3792424381.1058,4167531934.9851,4672260521.7208,4645763909.4309,4115854013.9173,4436836880.5749,4585707891.9231,4291530679.1104,2403710625.87
"To Be Labeled",,,,,,,,0,,34152,46863173,49447953,124002073,33619399,67219740.75,42394295.0785,45520729.7886,79947255.1553,107514996.0865,132797370.573,177818589.1926,189397705.0607,372613826.6944,198275498.3024,206058215.4787,304454799.2853,201780897.5982,334377668.9661,458696627.0333,490447044.3275,506995758.1022,524962968.6719,923975908.4724,971412902.5621,1257425389.03,1145127540.13
"Unlabeled",67883000,23881753,30055313,39242983,40603242,36853623,50944635,39056206,24808306,5988384,1120769,1196118,2734831.04,477984,4975933.4821,16493514.9049,89767054.9478,140044810.6056,107220042.4617,199248248.1034,345689276.9149,452692634.5428,449529983.6898,260946331.159,208343026.7787,132664068.7793,248248961.2943,165879739.6803,75245575.3598,24275592.6396,-14669582.3469,33706041.129,-13667139.1175,46908133.2869,20957493.01,18254877.09
