"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"466",2044,,,,,,,,,,,,,,,,,40567237,41772601.7187,76538932.0152,-2255891.25,2831222,692752.25,-904173.8437,0
"ACC",1885,,,6899572,5897656,1708250,5140517,524400,280000,175000,-44849.8691,-73214.999,-19697.6697,-8613.4302,-28979.28,-28920.21,,,,,0,,0,,
"AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,,,,,,2865479.5
"ATS",2058,,,,,,,,,,,,,,,,-849536.61,,,,,,,,
"CBDP",1344,,,,,6952572,28447718,29186348,1365970.9121,2452091,-429769.25,-580102.9219,-2501078.46,-2461037,-349128.72,-296336.21,-174236.1172,,,,,,,,
"DCD/DCW",1977,,,,,,270164,,,,0,,,,,,,,,,,,,,
"DIMHRS",1967,,,,,,,,,,,,1678.13,,,,,,,,,,,,
"DJN",1931,,,,9850832,11780394,10471486,9190819,1845838.75,0,,0,0,,,,,,,,,,,,
"DLS",1968,,,,,,,,,,,7500,,,,,,,,,,,,,
"DMLSS",1959,,,,,,,86112,,,,,,,,,,,,,,,,,
"DTS",1970,,,180379.4063,,56425979.9492,59969544.0137,43835163.8953,13703862.25,6295791.0625,0,,,-76626.6875,,,,,,,,,,,
"Department of Defense Healthcare Management System Modernization (DHMSM)",2237,,,,,,,,,,,,,,,,,,,,,11184238.9922,3482942.876,67001.7405,82391.6504
"ECSS",632,,,,,,,,,0,,,,,,,,,,,,,,,
"JMPS",1988,,,,,,,,,,,7110,,,,,,,,,,,,,
"MQ-1C Gray Eagle",2036,,,,,,,,,,,,,,,,,,,,,,,,47011433
"MQ-9 Reaper",1805,,,,,,,,11580875,36728737,33202997,0,,-21482.8008,6578514.3,21325026.55,,12326321,50934277,35178955,111147008,22883588,88159457.207,0,-198097.9063
"MSE",662,,,,,,,,,,,,,334,,,,,,,,,,,
"NAVY ERP",1987,,,,,,,668402,1850627.5,1960094.4316,1846129.0078,986197.0156,273375.4492,21410,-127545.6016,-99806.5703,,,,,,,,,6104
"NCES",664,,,,,,,,,,68098,0,,,,,,,,,,,,,
"NEMAIS",2004,,,,,,,,,,41964.1797,26227.7637,,,,,,,,,,,,,
"NSIPS",1965,,,,,1291572,,5698,,,,,,,,,,,,,,,,,
"Other UAS",2258,,,,,,,,,,,,,219768216,,,13405694,42647300,34934469,119732986,43185330,15835046,,,
"PKI",1979,,,,,,,,,,,,,,,11400,,,,,,,,,
"PRV",1328,,,,,,,,,165,,,,,,,,,,,,,,,
"REMOTE SENSING CHEM AGENT",583,,25618,,,,,,,,,,,,,,,,,,,,,,
"RQ-7 Shadow",2259,,,,,,,,,,37209640,,,,,,,,,,,,,,
"RV-1",120,31473,3669600,270591,22849,,,,,,,,,,,,,,,,,,,,
"SPS",1961,,,,,,0,123443.9873,,3661.3999,,,,,,,,,,,,,,,
"STATUS OF FORCES AGREEMENT",2202,,,,,,,,,,,,,,,,,,,281563.6562,843436.6438,315619.6053,-52484.4297,507467.4062,381629.0391
"TMIP",1952,,,,,,,,,,6103.9399,,17480.5,,,,,,81061,,,,,,
"ZBL",2015,,,,,,,,,70656554,86918750,70744441,63313657,40970078.3125,46536594.25,25962949.51,-6583084.5075,67240899.1328,66622042.875,78542913.1563,-2399218.25,7402665.0966,1857359.8789,-4344765.9707,-1297465.25
,,6506864798.1198,7416723406.8457,10537765390.0724,16089576403.6387,20031622020.085,22108737508.3491,24155210279.3871,24467257589.8133,27349689532.5768,30564830166.7121,32956706433.4392,36731584926.8917,33605960716.49,30602338392.6875,25610686507.261,22958225595.9535,23666336140.6707,26023425249.5567,28292395569.0449,29466315306.5376,29534488459.7603,28718819735.5635,30747297973.7056,21457353721.8733
