"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",10939663898.6529,7936611309.879,8029725285.1224,6899802198.7255,8502402674.2369,12156134278.9075,13387655795.0937,14497844370.3033,15827084496.1218,17097199706.6957,38185519327.9766,18568951011.4903,17358894772.2601,12966249205.7549,12042256810.4334,11455746873.3886,12675293688.1018,11040740233.6711,10748285702.4098,11812283151.8477,18585151907.8584,18801758379.2137,16761045880.4417,17998208898.9039,16580488778.45,5481829482.35
"R&D",513666112.669,647028910.862,1232468579.1882,851355014.9178,1289704949.5843,1707733913.249,2117470238.0787,2274157550.66,2731802801.4462,2951591274.2766,3171823687.3914,2623897517.7045,2485293572.0495,2142981043.7173,2144997808.8825,2143378792.3219,2129027589.5467,1771968610.7762,1736096887.7148,1642601685.4524,1547960682.5413,1352668902.06,1375668593.1178,1336909351.8061,1420102893.96,474497794.84
"Services (Non-R&D)",15105713723.5246,15665112101.2943,18450707011.3095,19103019123.0685,20610872108.2182,20391135025.5547,21843529522.4361,25151536007.1763,25186785744.5451,28902599320.0081,33479882299.674,30783446731.0392,30243793947.5636,30600431262.3449,32126880186.8783,32663377447.2191,32630457732.6977,34152674657.7464,35230759860.4687,37441555443.0223,40990845459.6604,40788266055.4742,43588072638.0806,49769642804.9401,51032116919.8,14332110103.37
"Unlabeled",65063092.5299,22069249.6665,58294626.0866,53924169.0143,110404394.3191,113202883.5788,139221111.6123,89200313.8352,53670602.09,38693368.8437,10119595.8981,501948.6802,-475190.0783,-1405245.65,-338106.04,786414.7544,14353942.2024,571310.8273,-31524.75,-569,3033.91,-70148.45,-42739.27,-4939.62,95324.97,150312.13
