"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",305557215.9141,335133076.5177,296196452.03,156894742.2297,95372624.5043,90539896.1292,136398908.7143,151564805.8527,203166520.1777,287609097.7797,222648132.5153,199685144.1926,199210599.4656,187954503.8097,96721644.1476,187483561.7525,162301872.5226,167252597.6553,337826788.664,320651239.4216,409452248.571,738558278.1598,934826542.474,969404594.4705,1385459183.78,467226533.66
"Electronics, Comms, & Sensors",6389987212.9143,6968191996.9214,8191168189.4224,6946148578.3335,7918307307.3209,7779114315.8295,7786165886.6014,8898501006.5385,9121078158.7925,10492760800.6141,10919522274.4246,10285513629.5605,10328195874.0501,9932925512.8086,11677343191.4047,12091499082.662,13087858284.0422,12450975999.4487,13060471250.5071,14253887182.8278,15539220223.8742,15891189422.1248,16005984676.6025,18217866894.38,19054970687.06,7005868846.63
"Facilities and Construction",6518768620.2908,6581998298.0477,8111804563.2022,7200949444.2202,7201632689.5225,7952435760.8145,7895189906.9005,8744483514.8203,8698634825.3492,9935770533.9214,12442079659.3728,9952495084.6705,10168223856.9167,9202575701.0852,9560448086.8775,9083714988.1297,9417325021.0685,10378961875.6357,10557181152.8756,10997289117.3392,11153639168.9224,11710598221.7045,13624685987.3997,16330381157.6343,16100950031.17,4754910639.86
"Land Vehicles",342966900.5601,59252138.12,143743183.87,62337226.3377,81068627.4417,100691901.8008,95535461.7349,112129106.608,107783582.2617,178720958.1412,211392840.493,164903545.9576,139831925.6014,141178744.2011,142627508.7577,187321515.8758,184435074.3797,196662028.7495,321756317.9312,175985050.9954,246409598.3621,213319620.9663,154492923.221,208241885.0335,211211537.94,43373688.5
"Ordnance and Missiles",33284260,53277518.3401,43392420,25767734.09,17310071.7941,26051757.8694,17426174.9223,23531646.6987,23430295.8757,23389801.4678,26543244.3142,31884411.9662,36823766.278,32095974.0912,39398071.2406,40847380.158,47897806.455,51439490.5966,59769398.566,62557224.6718,77216233.9127,56434299.7651,54106811.6406,61258817.4862,60633795.07,8872076.13
"Other Products",6184438261.0199,4261158943.9569,3832955703.6156,4033270453.9574,5004460256.5614,8518827554.5794,9601929077.803,10093669197.4951,11414543465.4092,11872277504.5314,32671339214.1397,13247775431.7842,11843821508.3845,8581391282.1485,6868982620.6169,6335779340.3185,6669914931.2711,5675652146.4476,4934309932.7015,5982284449.2141,12136598827.8631,11353373196.4313,9897103090.3952,10054015225.7645,8495395548.26,3396683740.44
"Other R&D and Knowledge Based",5153920263.786,4951856290.3782,6259878239.3175,7550692970.4623,9102097144.5321,8784745071.9607,10258644023.3721,11443993267.648,12669809941.6499,13985299626.8753,15569959993.1699,15029466525.0426,15355897993.9607,14841943939.9813,15818689292.648,15381300321.7752,15477991262.9179,15422061970.882,16014842281.9517,17007396818.8425,19335904642.9276,17949440277.3972,17973893206.1958,20171080771.5979,21035627270.02,3653971228.8
"Other Services",701396753.2413,733733334.7533,613332739.2405,732109026.714,886181109.1084,900181870.4145,1430537316.1439,2353690218.1292,1405585422.2674,2071035268.2387,2579881371.5485,2942454431.2953,1923836267.5642,2687973230.1905,2007072705.0665,2865819091.6343,2293887900.4824,2517983009.719,2291875781.9627,1965344748.9258,2074379664.4084,2310658002.1801,2454647099.4002,2265485451.5557,2185488328.59,860554049.58
"Ships & Submarines",922534247.12,297678725,214872384.9219,144045451.367,92216819.254,95508992.5733,120814088.5142,99039632.4313,99827858.1783,101933937.6608,184674232.5756,114430358.3455,81062412.5722,91848759.521,100026412.9547,86899093.6737,90823434.3568,102509271.6537,117944056.1035,117625796.1158,148324622.7186,713960080.2788,614952756.5152,818343746.2075,491464644.75,92503650.98
"Space Systems",6190000,6472000,5557000,1960709,4333082,6906095.7399,6014710.9019,2935531.9178,1812972.1515,2592771.75,9184352.4884,7686697.419,11078087.0798,9773863.98,2825272.48,1838736.9499,2343422.85,1885111.4056,19165489.33,13418651.9684,2812818.5,5161937.74,9205377.1356,7419034.85,9669346.1,3753083.5
"Unlabeled",65063092.5299,22069249.6665,58294626.0866,53924169.0143,110404394.3191,113202883.5788,139221111.6123,89200313.8352,53670602.09,38693368.8437,10119595.8981,501948.6802,-475190.0783,-1405245.65,-338106.04,786414.7544,14353942.2024,571310.8273,-31524.75,-569,3033.91,-70148.45,845901.3903,1258537.05,1933544.44,870154.61
