"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",11146754217.0423,9132328797.26,10458609390.77,10141346315.88,11199438931.43,10922434926.58,10787347193.38,13692369794.89,13904118557.76,15138165943.6,17305804362.0528,14279123284.2226,13390996802.721,13258671811.7744,12455706127.1995,13094665188.5119,13428980804.1502,13224271421.9301,12120637684.11,14423206400.96,18081750299.24,15051564234.12,16049125134.33,17397086613.12,17430653833.56,3051534896.08
"Award","Pur. Order",2938778040.9793,2843128737.7,2556881850.99,3179503983.75,2140852108.79,2894691852.43,2899415299.14,3038613902.21,3118800831.64,3386226735.56,3856655318.0672,4445294683.272,3569755938.2546,3525102899.2074,3581460803.799,3598183637.4152,3650733468.974,3713125797.1227,3155545009.44,3253589555.19,3880553911.06,3763836736.27,3101111047.3499,3264040992.65,3030819117.18,755574917.84
"Task Order","BOA or BPA",389134972.5362,528811175.2749,957528544.2444,676847632.9918,1043106260.5933,1499290427.8866,1839197558.4341,2120247117.06,2512163331.2259,3572683357.7656,4425610341.7453,3927285075.4856,4791572185.3336,3206150531.8948,3717159007.9653,4306388678.1179,4405207741.235,4876508885.5364,5338075189.0446,5740790224.2641,7634241075.4872,8769119607.5589,7259253520.6133,8272329042.7707,8627775638.24,2388240416.89
"Task Order","FSS or GWAC",2560589771.4248,3069995311.6136,4237415767.7146,4251185874.2982,5169833741.5164,5099311029.5974,5561095098.3392,5658912508.7028,5663378015.4945,6580565825.9289,7229106956.3672,6827523834.0835,6578516293.6384,6916188549.865,8012810246.6997,7443268594.2154,7280474687.7335,7472013595.1795,7821191210.743,8830223891.5294,9477124173.6441,10240872990.1681,10275587383.6893,11898847931.7386,11660961902.49,4155061110.56
"Task Order","Multi-Awd.",1116790383.5321,829846547.5412,1039457416.4295,1278938600.3288,2102986461.702,2501435801.6033,3423776849.0875,3828894425.1387,4085870905.2835,4451813654.5215,26045244847.1731,7706761141.9824,7198780450.9216,7434544015.5931,6764065160.32,7522897186.4892,7759740595.6268,6972036388.9315,8310613140.3811,7376562719.7233,8912179090.1163,9088754224.5986,10069405834.3312,12992704786.1596,12657822067.03,4011332356.13
"Task Order","Single-Awd.",4058101725.7921,4618321362.3342,5300710558.0825,5069719926.6028,6877033541.7395,10449934925.2156,12457860550.7401,13482613792.9394,14466234663.4624,15851678363.3146,15969672239.215,14798546256.0432,14548413756.1485,11363437404.896,11772985382.6493,10293189635.5983,10920161232.7691,10707856577.8418,10966279225.5914,11265327412.0985,13099501791.9019,13947615949.6122,14866409359.6619,15151151626.1078,15447108871.1,5888155596.9
"Task Order","Unlbd. IDV",4395951354.0696,3248389639.9779,3220526853.4757,2310118571.8745,1979307812.4873,1001070645.7769,519184118.0999,190171852.2939,47481613.3337,7308238.8536,13636900.7195,-9196464.4551,7709671.1172,1935362.3964,7147646.2914,1220768.5659,124253.16,-4406475.9267,174436.9902,326422.2308,-50596.5998,26772.8105,,0,0,0
,,18006362,0,65120,439600,825268.1,36492.2002,0,0,,0,0,0,,0,0,,0,1810263.7657,0,0,0,-500,0,0,282264,292828.22
