awarding_agency_name,federal_action_obligation,non_federal_funding_amount,face_value_of_loan,n
 Department of Commerce ," 2,178,513 ", -   ," 624,488,577 ", 254 
 Department of Defense , -   , -   , -   , -   
 Department of Energy ," 166,259 ", -   ," 26,292,164,923 ", 46 
 Export-Import Bank of the United States ," 39,900,404,292 ", -   ," 40,955,444,352 "," 19,659 "
 Small Business Administration ," 6,922,365,132 "," 1,637,036,878 "," 387,574,765,914 "," 6,094,804 "
