Defense Agency Prodserv

"Fiscal Year","Date Signed","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value","Dollars Obligated","Number of Actions","Number of Records"
"2021","10/1/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$7,694,299,622.60","$6,369,658,593.87","$189,685,829.07","2,298","984"
"2021","10/1/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$80,950,766.33","$59,260,897.67","$45,779,528.74","2,514","410"
"2021","10/1/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$13,224,793,219.29","$3,122,931,300.52","$2,711,056,181.24","8,358","4,663"
"2021","10/1/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$148,863.34","$148,774.29","3","3"
"2021","10/1/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$2,734,299.33","$2,734,299.33","$2,734,299.33","73","73"
"2021","10/1/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$759,140,966.98","$753,871,550.42","$800,075,679.18","180","180"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$0.00","2","2"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$41,170.39","$26,318.12","$906,039.75","402","100"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$467,114,021.42","$110,240,405.08","$109,929,637.04","12,249","12,249"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$36,516.00","$36,516.00","$36,516.00","1","1"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$110,190.70","$110,190.70","($63,382.37)","6","6"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$1,112,141.23","$1,112,141.23","$1,112,141.23","4","4"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$329,517,256.43","$276,227,315.41","$1,385,023,943.96","18","18"
