Unique Vendors,,
,,
Contracting Officer's Business Size Determination,Fiscal Year,Number of Unique Vendors
OTHER THAN SMALL BUSINESS,2012,"58,371"
OTHER THAN SMALL BUSINESS,2013,"54,349"
OTHER THAN SMALL BUSINESS,2014,"50,982"
OTHER THAN SMALL BUSINESS,2015,"52,522"
OTHER THAN SMALL BUSINESS,2016,"52,418"
OTHER THAN SMALL BUSINESS,2017,"52,772"
OTHER THAN SMALL BUSINESS,2018,"49,301"
OTHER THAN SMALL BUSINESS,2019,"44,810"
OTHER THAN SMALL BUSINESS,2020,"43,809"
OTHER THAN SMALL BUSINESS,2021,"41,758"
SMALL BUSINESS,2012,"120,100"
SMALL BUSINESS,2013,"111,400"
SMALL BUSINESS,2014,"109,107"
SMALL BUSINESS,2015,"106,128"
SMALL BUSINESS,2016,"103,263"
SMALL BUSINESS,2017,"106,663"
SMALL BUSINESS,2018,"92,659"
SMALL BUSINESS,2019,"84,719"
SMALL BUSINESS,2020,"83,246"
SMALL BUSINESS,2021,"78,426"
Total,,"1,496,803"
