contract_award_unique_key	n
CONT_IDV_GS35F0511T_4730	" 3,633 "
CONT_AWD_N0002413C2108_9700_-NONE-_-NONE-	" 2,528 "
CONT_AWD_N0002417C2105_9700_-NONE-_-NONE-	" 2,179 "
CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-	" 2,177 "
CONT_IDV_GS00Q17NSD3000_4732	" 2,036 "
CONT_AWD_VA101CFMC0064_3600_-NONE-_-NONE-	" 1,985 "
CONT_IDV_GS35F0119Y_4732	" 1,897 "
CONT_IDV_GS35F0265X_4732	" 1,701 "
CONT_AWD_FA300216C0004_9700_-NONE-_-NONE-	" 1,665 "
CONT_IDV_GS00Q17NSD3009_4732	" 1,556 "
CONT_AWD_N0002408C2110_9700_-NONE-_-NONE-	" 1,514 "
CONT_AWD_FA251706C8001_9700_-NONE-_-NONE-	" 1,502 "
CONT_IDV_GS00T07NSD0008_4735	" 1,418 "
CONT_AWD_N0002409C2107_9700_-NONE-_-NONE-	" 1,246 "
CONT_AWD_N0002421C2106_9700_-NONE-_-NONE-	" 1,187 "
CONT_IDV_GS11T08BJD6001_4735	" 1,176 "
CONT_AWD_W9128F12C0023_9700_-NONE-_-NONE-	" 1,164 "
CONT_AWD_N0002411C4408_9700_-NONE-_-NONE-	" 1,153 "
CONT_AWD_FA300208C0007_9700_-NONE-_-NONE-	" 1,141 "
CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-	" 1,134 "
CONT_AWD_NAS1510000_8000_-NONE-_-NONE-	" 1,110 "
CONT_IDV_GS00T07NSD0002_4735	" 1,088 "
CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-	" 1,050 "
CONT_IDV_GS00T07NSD0038_4735	" 1,049 "
CONT_IDV_GS35F0563U_4730	" 1,047 "
CONT_AWD_FA862511C6597_9700_-NONE-_-NONE-	" 1,034 "
CONT_AWD_N0002411C4400_9700_-NONE-_-NONE-	" 1,019 "
CONT_IDV_GS35F303DA_4732	" 1,012 "
CONT_IDV_GS35F267DA_4732	" 1,011 "
CONT_AWD_HT940211C0003_9700_-NONE-_-NONE-	 969 
CONT_AWD_W56HZV15C0095_9700_-NONE-_-NONE-	 966 
CONT_AWD_N0002412C4311_9700_-NONE-_-NONE-	 965 
CONT_IDV_GS00T07NSD0007_4735	 964 
CONT_IDV_GS00Q17NSD3006_4732	 963 
CONT_IDV_GS07F0518T_4730	 931 
CONT_AWD_N0002413C4404_9700_-NONE-_-NONE-	 914 
CONT_IDV_GS35F0009U_4730	 882 
CONT_AWD_N0002415C4313_9700_-NONE-_-NONE-	 851 
CONT_AWD_FA825212C0002_9700_-NONE-_-NONE-	 840 
CONT_AWD_N0002410C4401_9700_-NONE-_-NONE-	 827 
CONT_IDV_GS00Q17NSD3001_4732	 818 
CONT_AWD_DEAC3608GO28308_8900_-NONE-_-NONE-	 816 
CONT_IDV_GS35F0279M_4730	 809 
CONT_AWD_DEAC0908SR22470_8900_-NONE-_-NONE-	 780 
CONT_AWD_DEAC0609RL14728_8900_-NONE-_-NONE-	 777 
