"DISAprodserv","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Telecomm Network Mgmt.","Commercial",0.0204668771234428,0.0253901862922286,0.0415377559055118,0.127374560739921,0.0502278391155368,0.0727988365208152,0.0651774099566541,0.191494659833173,0.276991212061702,0.0979331987503218,0.0495965521244689,0.122166228772128,0.0935381314919248,0.035987423802623,0.08843440749464,0.147548452624123,0.260152751940974,0.25706851103969,0.1705314229887
"Telecomm Network Mgmt.","Non-Commercial",0.0939120696489241,0.102262723481162,0.0116595940809123,0.115684201910408,0.11130287735976,0.0237512878247794,0.0214644787329843,0,0.0133895348770736,0.444724806815725,0.180406082920427,0.147276692793438,0.654258695957301,0.495010738408962,0.585808454059556,0.524025173812912,0.532813774629398,0.658777536205591,0.5408272354797
"Telecomm Network Mgmt.","Not IT",,,,,,,,,0.000458205446712018,,,,,,,,,,
"Telecomm Network Mgmt.","Unlabeled",,0.000294404281940776,0.000186600597339126,0.040228092226614,0.0405655339041236,0.0174677850441158,-0.00288601992426641,0.0112823105745065,0.0173753616740661,0.00414434950696151,0,0,0,0,0,0.000879167669006594,-0.00156923306204456,0.0369142717288032,0.001222783039
"Annual Software Maint.","Commercial",,,,,,,,,,,0.000538415249741647,0.00220339996617432,0.110088859037611,0.120097057483279,0.043796343258798,0.0659467045012763,0.10148633568884,0.478499830664932,0.9942658118788
"Annual Software Maint.","Non-Commercial",,,,,,,,,,,,3.75423948584959e-05,4.70824115044248e-06,,,0.00172910387024037,0.00517667249604414,0.0112627502897663,0.0858150820705
"Annual Software Maint.","Non-Developmental",,,,,,,,,,,,,,,,1.42308547117635e-05,1.10946283572767e-05,,
"Annual Software Maint.","Unlabeled",,,,,,,,,,,,,,,,,,0.000423681862871136,0.0026838880625
"Other IT and Telecomm","Commercial",1.26702265571914,1.49138600861949,1.84162117367404,2.15020194987773,2.26425947488485,2.45037456753772,2.30407722165177,2.51869391231644,2.86337490613808,2.3114436875306,2.26207360873097,1.96696922029924,1.50330111302467,1.31312385204262,1.76388108544548,1.68281402231727,2.23937664907589,1.907103659427,1.8698926887222
"Other IT and Telecomm","Non-Commercial",0.978244435164213,1.48256217989712,1.49652378213671,1.89885816625494,0.619566679225967,1.14033982245035,0.953166092466943,1.02616962968223,0.981640148366034,2.17069528094326,2.31457225323757,1.47311901442947,1.61158043195354,1.2786824904812,1.39378277025912,1.77750477156796,1.31525066228316,1.33085025677308,1.9506451149035
