"DISAprodserv.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Professional, Administrative,
and Managerial Services",93491126.1592816,131346093.772472,193711632.219706,267902856.727096,610300556.802335,152975411.58195,234130416.155624,372387207.785634,508290773.182394,534701597.278767,586260185.953813,533482323.939628,549541105.236078,487180488.513248,558569306.653097,582355269.509617,649750756.66248,624044012.250585,648996747.187903,629459695.677176,789223702.8313
"Information & Communication
Technology Services",2138008708.41307,2901462767.15087,2666523652.32163,3376673860.6979,3552148718.70785,4457402215.97628,4141101735.73612,3901632207.41295,3533240346.47851,4127314726.77118,5083867486.43347,5184064727.14531,4861978907.91583,3784721252.59375,4043826219.9594,3615437740.13781,4025685466.35853,4415228539.99745,4600802136.46502,4904520349.56219,5842244019.6356
"Other Services and R&D",77734266.1563374,64737744.8583345,82269779.1619479,103272281.38468,89805605.4846592,14842741.7654809,20463650.2980978,101849279.590779,93387688.9273103,90258057.1959557,84445816.9647929,87446000.3876214,71863965.8775979,93306307.6897057,69561926.8245575,88405985.4819672,83107809.6031402,50525079.9242714,73790667.6886321,83653281.3069075,105165408.5161
"Software as a Product",88956864.4192551,108888164.820941,88303404.5866365,82553539.5523425,97876337.7341841,56120036.8906456,179720061.90923,191271706.101529,239074394.536101,346216595.004333,286536928.082349,379259798.785539,345113152.635549,446577238.078701,597085309.081637,684970452.557158,660406960.086194,831860893.601042,511100682.046846,453252998.187328,231608884.391
"Other Products",417184049.757103,307510471.738818,557649961.778029,489387037.39747,802548244.637524,577013537.549407,345404860.669348,336913491.964707,365734085.587605,286749572.205946,473373473.599594,266314335.180063,283434042.83718,388556033.624422,506756869.446571,433693541.998033,427403021.601516,346157522.327483,500223259.205809,761399192.232425,706949240.4151
"Unlabeled",NA,NA,23284.117214043,NA,NA,NA,2138423.33716328,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15863562533839,NA,NA,NA,NA
