"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Not Classified
as Commercial",33153859248.0627,33082027272.5605,35031073868.6126,44620789388.316,42313700933.3732,41794246707.3352,49324006332.5007,55636079543.3189,62126703319.035,61879395742.061,59781632734.3035,66598252708.8205,75504738084.7967,70524656667.7469,56125470270.8863,60040178964.9326,73081173099.9508,83551640023.0531,80339596966.5922,85310497756.6023,100518189317.884,68385089679.3706,70824516258.9776,93538111354.4129,68115818126.44,43147928978.75
"Aircraft","Non-Development
or Commercial Similar",,,47594188,83865773,102144787,110411164.86,1370580.36,-544791.11,20434478,2477511.8202,9164681.6855,15058854.4584,1229351.4,11810812.29,356478.04,50430.2,225502.9502,258641.5,58597.5,-34229,,237894.22,0,76524.9492,119460.99,62178.7
"Aircraft","Any Commercial
Classification",2659593865,3574035922.32,4360079795.38,5050872749.47,5954416936.4132,5991140186.114,5611225222.3991,5850550932.5564,5930240547.7103,5389869211.1466,5856226476.8574,5646622979.4092,4279324322.2166,4346858035.694,3006017590.5556,2956380255.6181,3540147510.5688,4061103037.9711,5310917796.1923,6321374028.6165,6607661228.858,6368496893.0418,6517715973.1321,5774033886.0809,5741348146.9,4002968187.38
"Aircraft",,,,20800,,,,,,,,-70942.1797,,,,,,,,,,11651.01,,,,,
"Electronics, Comms, & Sensors","Not Classified
as Commercial",24596941349.9387,27229496073.9282,25932761208.81,29876312466.9344,40878311335.2926,46406390301.1226,47868084546.2102,52761719550.6957,55361745542.8283,54815785430.8518,53973471209.3779,51899365668.6849,50836420630.5833,44157412904.6622,44493923632.9637,43800990003.0209,47417597029.3502,49214623822.6391,53794764661.8279,56415496989.6475,55876366646.1181,50974826001.2427,53671219849.1851,56385969638.1792,57275054607.1425,30129556406.49
"Electronics, Comms, & Sensors","Non-Development
or Commercial Similar",5500,66500,151869769.9298,285870546.1172,593389504.7498,409175525.0443,484657597.3499,680337966.5073,825683434.4174,578122701.3827,200379143.0556,496040675.7228,141391663.6859,169158936.0299,239776747.4696,177922969.4665,92461211.1801,63974266.9193,38366534.4488,31447258.9808,17364013.8927,24159508.7774,28223478.0448,22800933.4293,11361792.11,-943877.32
"Electronics, Comms, & Sensors","Any Commercial
Classification",9255050868.8651,10187153455.7437,17747590419.7477,21523480744.4968,18411993376.9559,16087122758.9051,16790201510.868,20766047119.546,23138110900.8724,24393372021.327,28216767243.9547,26017353875.2618,24237391521.4295,22553930044.7872,25042892940.1848,25809087959.4974,27985237192.383,30237312485.4776,33262774231.3464,36952786897.8187,42110968180.7826,43250751052.9537,47394335185.2032,50782081057.9747,54972374092.4644,31062934965.09
"Electronics, Comms, & Sensors",,,1165244.1598,52582446.468,515088.5,-1661335,,111520,0,-85381,-66712.44,-12994.4687,-194970,1111220.9976,2318776.41,7881608.28,7904645.7814,2644051.8807,10455455.1987,11639015,62653946.8169,32382391.1809,13962050.3961,14909219.2002,6198067.0386,-541139.47,-1878.87000000002
"Facilities and Construction","Not Classified
as Commercial",50642458638.5681,54279695053.5009,61418946181.1378,75826049487.0219,68410477721.4967,79964283464.2435,85436911677.4317,85770859326.0532,94713968995.4835,111186759613.241,106773742816.523,90581664114.0532,83113458290.4681,70839815353.3184,75382006839.1608,69918561106.962,73803870660.7669,75048172662.4977,84893952078.5379,91313823953.7111,98843587695.9782,90012569880.7542,104958480309.658,115923758491.702,114115759457.377,69702076253.54
"Facilities and Construction","Non-Development
or Commercial Similar",26260158,-351713.56,6880592.1,19567453,3406714.1797,41811186.47,44570977.311,57351441.3661,91099730.8927,208039495.377,271750013.6906,361528819.42,595319738.0983,423622810.2905,403686639.6782,256218807.2067,169708068.0269,113842791.6938,111895423.9866,115794378.1625,94792348.1423,225141965.9146,134501994.8069,100391600.4882,96780763.89,40037990.54
"Facilities and Construction","Any Commercial
Classification",3285418924.4088,4442053023.2961,8442967791.8622,8194638015.3612,7826062071.3141,6739967141.6204,10102475838.6673,10577399368.6493,10922533324.1254,14568151146.0171,15641366678.823,15638806845.5749,14533001299.9824,13931367247.0814,14960961782.7964,15301820745.3303,15904806731.2708,19116146047.2813,20357072278.5451,21258585878.8854,24366072685.1861,27052348923.5924,27949013692.8877,31771060365.5953,32843924437.9208,18273912065.06
"Facilities and Construction",,687803.4101,7663386.0466,6638630.5029,100689661.7797,11517297.58,8276785.1725,10756445.6398,5784268.38,1892904.0415,37822476.1725,-4842951.9662,1397772.54,13464203.4739,14667457.96,1108143.82,6846540.87,6185482.86,3180173.5422,42081713.952,9104980.2149,14765795.9271,37505183.3423,16582923.9475,18333341.6751,14416251.45,25648513.38
"Land Vehicles","Not Classified
as Commercial",3716768555.699,2922048113.33,4582581420.8561,8736392608.9691,7442345241.7264,15969855009.196,14820858382.5675,23568335985.3696,33109541123.8595,26087330884.0206,22542366693.3122,17527527315.3283,9709601488.9143,6687796935.0134,5165248917.1882,5868784694.6294,6618155126.2842,7303444778.4616,11422051797.4555,11368010356.0877,10426735803.3617,8318123385.5549,9703553906.4559,12017942136.4173,11095191275.81,6739363632.36
"Land Vehicles","Non-Development
or Commercial Similar",,,31808,8528935,2904836,286832,158183,133840,374684.9902,11286054.3674,10376064.0432,9809174.8888,5017415.9444,7694177.8999,1104696.64,1716794.5297,-735278.8622,-1080336.1045,-318889.4045,12459.8199,563371.5299,630625.11,238893.69,1330501.67,821572.7,-187315
"Land Vehicles","Any Commercial
Classification",992957493.5601,1334233594.1809,1385542676.6501,2147850832.7779,2786756776.0238,2214313720.2338,3502159360.3377,6313631932.8088,8266335558.7064,4952753984.2102,4626850223.2281,3869311386.7792,2925199762.0727,2250549366.7399,2624076213.9795,3458691906.5396,2927173341.144,3121155115.9518,3703521161.8649,3776500413.0911,3616554704.139,3701438273.4656,3570660643.051,5398378711.3449,5668620924.4033,3898981285.88
"Land Vehicles",,,,,295,,,,,,,,,,,,,,14080426,,4088.91,11922868.831,12933595.7523,-1386.37,,,
