"Shiny.VendorSize","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","Cost or Effort-Based",16585860497.9578,17174727006.8093,22865579317.3614,30771537876.4679,33250465590.869,37230970960.9941,40519048277.1825,40981597235.6803,38937663669.244,41169973758.0411,42282475590.3527,39930819412.0753,36484714125.9389,32751313598.621,33237957664.8051,32796411637.9226,32317334945.1516,30758415553.8421,29388574068.2798,31878762080.5301,29136654069.4744,28766361460.7722,30770142075.1088,29811864203.6897,31987296649.5,14565200920.29
"Big Five","Crosscutting",10435316391.5917,9318041580.8703,8288343385.7813,9342657148.2291,11167423209.5485,9625872914.3267,14319696404.2379,22844395717.9609,27284949802.6265,27765488960.8266,13787373248.6395,8807834186.0028,20838979959.8963,13532262526.6341,5858443200.8208,7670444401.0655,19203323487.5691,32856080190.1351,24346353690.7215,20377615140.7528,41060482803.0347,15896464970.0697,22737301377.809,24918498597.4257,29651140639.48,20033815592.46
"Big Five","Fixed-Price",17684432330.2872,21015450431.1776,28865491337.4213,30882492195.0557,29125117014.4152,30218581778.7396,34403567401.4486,37861664141.0356,39635748954.9735,38830392758.796,37354616029.3202,38906647405.3314,35844686672.873,32124017909.9242,27743258137.3627,27639940459.0838,38734704056.2086,34310396470.0461,32918751132.6847,41050380147.82,50548330361.8698,38157947526.5148,35582850879.0974,51790713557.2317,38461968036.0633,16179293576.15
"Big Five","Incentive",2954315062,4670097901.5,7786353839.9863,8082640837.0442,10504205749.7673,9134326801.7379,10982089209.952,10724928079.3794,14055669906.6828,14222107975.5687,18411691234.0283,36566564092.6361,25751255853.4869,31789646091.1226,30015470300.988,30013219370.6499,30371558716.1249,27561463646.7342,38726405892.7031,42353022815.0904,44801462346.4412,43281574982.923,45879619038.2389,65392130180.2329,47604830800.13,21556840587.28
"Large","Cost or Effort-Based",29194797667.296,29739571915.507,33702301455.6092,45316761479.4169,46769075434.1577,48147484287.5066,55809050475.5423,52554126932.2382,57459969876.4456,62945934923.7982,63729947176.2112,64327860384.9608,62951779771.3449,60373711012.1848,57050297208.6377,55532730556.4454,59160471321.3195,65126262945.4608,69097663715.2481,71988700767.0423,76740781822.5379,80394378344.3702,86073510683.7895,94165175697.872,97220154524.33,42733741068.6
"Large","Crosscutting",6528587560.796,3633590757.2784,4728589397.3174,5538544039.8292,5786741921.7637,6817819686.9073,7727347309.2993,11662913708.2359,18406649595.3609,17442878788.0831,10417851176.6053,6383881136.0682,5431992066.5215,2582735094.9125,2980859826.2291,1513740354.1669,5402547423.7237,3976512305.3391,12235575958.7091,8399015239.088,10468680030.3969,6345516075.1417,3800684629.0569,4487308911.2471,4495464363.96,2114668100.21
"Large","Fixed-Price",26149404649.0449,31723273965.8427,34874465529.8945,48026701347.4156,53175697543.1558,60492756968.5737,67407905377.1052,79437870805.5298,95074664425.8088,100472700300.591,118725179275.089,94617555327.4027,93537849042.8968,78071742093.2458,74216284195.1579,75058921267.0614,71590513629.7793,76770481919.4769,87156783213.2549,87196744911.4535,98725885623.4332,124001612428.992,137137463886.004,116955103192.386,122994779719.372,49653109478.94
"Large","Incentive",3615939141.043,3360662407.4725,4152919341.45,5841950923.0724,6472159749.0455,10067655371.0762,11091817657.6358,11243251531.2809,11911971639.5381,13274944739.6642,13486318178.3856,13579542632.0277,15050115449.378,13785677281.7861,13089860959.3265,12733905917.3772,11010249496.7032,13246941662.3979,11923519642.6395,18019734300.3236,16677918323.2327,12690874313.4875,11738295103.0136,15427212643.2183,11766651737.62,6120262766.12
"Medium","Cost or Effort-Based",15015428626.8576,19481504785.9581,17752340855.1517,21578676973.8391,23440616642.3505,24455264168.4934,24530928680.7399,25353494972.6722,26976213887.6658,31086497124.534,31349773388.4331,32075429364.6078,30732627505.6999,27539998986.8107,28043594062.5639,28555575253.0548,30215992045.5764,32914645403.6135,36034386599.3734,38370818158.1427,42275807472.3995,41866195678.6524,38920592928.9575,47763058561.7301,51171854433.44,18626059745.34
"Medium","Crosscutting",4249608014.524,2930642402.825,3410951369.0409,3523655805.3119,4711652092.888,5172819037.5779,6076155128.4779,10718020442.5729,10359499323.4679,14772776618.9788,5533212474.4844,3502070769.6151,2864291765.0396,1688269725.9915,1579042343.895,1037378463.5427,1592383494.8699,1754063425.3996,2050743917.9496,2720966035.5793,2304223421.2864,2073651113.8184,2109325044.8965,2497066114.3463,2720894250.0243,1132473043.19
