"PlatformPortfolio","fiscal_quarter_YTD","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Facilities and Construction",,53954825524.387,58729059749.2836,69875433195.6029,84140944617.1628,76251463804.5705,86754338577.5064,95594714939.0498,96411394404.4486,105729494954.543,126000772730.808,122682016557.07,106583397551.588,98255243532.0227,85209472868.6503,90747763405.4554,85483447200.369,89884570942.9246,94281341675.015,105405001495.022,112697309190.974,123319218525.234,117327565953.604,,,,
"Land Vehicles",1,,,,,,,,,,,,,,,,,,,,,,,2101927570.6423,3209338608.9063,3912160790.3333,3191274799.62
"Land Vehicles",2,,,,,,,,,,,,,,,,,,,,,,,3008370618.6978,4418240813.5836,3741104807.6,4983878522.41
"Land Vehicles",3,,,,,,,,,,,,,,,,,,,,,,,4735544615.3297,4397146436.9148,4357702074.86,2232609926.84
"Land Vehicles",4,,,,,,,,,,,,,,,,,,,,,,,3428609252.1571,5392925490.0275,4753666100.12,230394354.37
"Land Vehicles",,4709726049.2591,4256281707.5109,5968155905.5062,10892772671.747,10232006853.7502,18184455561.4298,18323175925.9052,29882101758.1784,41376251367.5561,31051370922.5982,27179592980.5835,21406647876.9963,12639818666.9314,8946040479.6532,7790429827.8077,9329193395.6987,9544593188.566,10437599984.3089,15125254069.9159,15144527317.9087,14055776747.8616,12033125879.8828,,,,
"Missile Defense",1,,,,,,,,,,,,,,,,,,,,,,,2752511560.4528,2427117922.9851,2486717355.29,3135388587.29
"Missile Defense",2,,,,,,,,,,,,,,,,,,,,,,,3917046398.4277,4058249584.2134,1599500418.4,2852729980.66
"Missile Defense",3,,,,,,,,,,,,,,,,,,,,,,,4689066798.777,5402791075.2716,4667191564.07,518168625.53
"Missile Defense",4,,,,,,,,,,,,,,,,,,,,,,,3677264869.9026,2000603216.5406,5273570036.27,
"Missile Defense",,3712993149,4009935888.4,5642874340.825,5825750978.0938,6850883253.5797,7241986679.0175,8137932950.5804,9598715469.5959,10357444324.0874,12248019705.5545,12410878346.5911,12082693116.9403,12676566647.6782,12099741738.1587,9293494133.5078,10675878028.3043,10975434323.1747,8833249237.5686,14755738244.1164,15081905808.139,20378112917.8654,13476285590.034,,,,
"Ordnance and Missiles",1,,,,,,,,,,,,,,,,,,,,,,,3846012761.5883,6201542564.6971,5389099854.05,5486017860.48
"Ordnance and Missiles",2,,,,,,,,,,,,,,,,,,,,,,,3892400548.6757,8871485344.3833,4954423144.19,8322538929.51
"Ordnance and Missiles",3,,,,,,,,,,,,,,,,,,,,,,,5883475095.8586,8234874005.0539,6893574621.34,1947312349.19
"Ordnance and Missiles",4,,,,,,,,,,,,,,,,,,,,,,,5703716971.6641,9522636959.385,18485260464.95,9745967.46
"Ordnance and Missiles",,8006101538.5768,8539347904.4396,11499090416.5034,12882416180.5377,13297820092.9327,14189786601.5846,13758069998.5359,16782234969.707,17785934454.9223,16298197926.1604,14940523770.9503,14453747750.0931,14544409183.6595,11978240433.389,11945278668.3066,12226930464.0563,15699088014.1002,18000842332.6613,20563924190.3244,23123083293.9744,23090786964.6634,20758845702.4343,,,,
"Other Products",1,,,,,,,,,,,,,,,,,,,,,,,22200033946.7293,14663134696.6378,14113353336.3618,12915394274.38
"Other Products",2,,,,,,,,,,,,,,,,,,,,,,,23778075125.3457,14787539168.084,15147388933.08,14308589255.23
"Other Products",3,,,,,,,,,,,,,,,,,,,,,,,19346718773.1958,16242112352.828,14591424879.1,10528932484.41
"Other Products",4,,,,,,,,,,,,,,,,,,,,,,,22459725653.3686,19665307739.6436,20124188191.47,1169460725.83
"Other Products",,17212160152.4391,17416728688.8403,19919001895.7711,23648016806.3688,28199494523.7516,47399136039.5509,53572006143.423,55928142578.5757,62052099103.8197,62458483252.0473,73943590746.3383,56179702217.622,60040656537.7466,48135993925.7807,44379519557.9363,42135562173.7611,41220105686.5138,43286415896.2012,46421418438.3294,45427038033.9256,62902050454.6273,83200185704.4071,,,,
"Other R&D and Knowledge Based",1,,,,,,,,,,,,,,,,,,,,,,,20205521133.1424,21049203839.5404,26611511005.6291,26074817884.93
"Other R&D and Knowledge Based",2,,,,,,,,,,,,,,,,,,,,,,,25524808328.452,38431441703.8849,31645763629.5,30173030879.93
"Other R&D and Knowledge Based",3,,,,,,,,,,,,,,,,,,,,,,,32597929207.5928,33277816542.1631,41165644600.8,17585211943.52
"Other R&D and Knowledge Based",4,,,,,,,,,,,,,,,,,,,,,,,45350337974.4374,51495405106.5933,54363857457,6020283202.1
"Other R&D and Knowledge Based",,23628758998.6541,25868879271.3097,34110734651.2882,39806338188.1027,44061821401.9525,53259852829.4081,60220692770.1551,63508226873.8125,72870639063.6575,80811421872.3991,85046146649.0591,82956728979.0144,81129190988.5995,74889134209.6208,75375586136.9786,76402482709.5013,78766261986.7441,82388420006.076,88868910576.8251,95524598764.2193,108252949323.419,117786347161.496,,,,
"Other Services",1,,,,,,,,,,,,,,,,,,,,,,,13662282107.0304,15429856358.9177,18793070378.8812,20933336660.56
"Other Services",2,,,,,,,,,,,,,,,,,,,,,,,11311927049.0738,18092101450.3984,10470733830.64,15327663813.18
"Other Services",3,,,,,,,,,,,,,,,,,,,,,,,14963156402.0664,13440805076.1679,26512034634.39,11890430350.09
"Other Services",4,,,,,,,,,,,,,,,,,,,,,,,30771917876.0021,25198102695.1523,22533746296.6,8169934746.31
"Other Services",,8627257138.708,9557603147.0913,12743523439.7045,18921721938.5695,23482871327.2209,25753643408.349,29268061524.8461,29890758581.7761,33450624836.9205,38071962376.4187,40993927353.7149,46202584884.266,42564310877.6357,39487213256.1211,35213489622.3402,33033839428.0327,35035025683.864,41348182526.5821,42267955843.1585,44490003396.5445,53710391173.2608,62729646505.4829,,,,
"Ships & Submarines",1,,,,,,,,,,,,,,,,,,,,,,,8454845605.0176,7053097473.0136,8986782728.2909,12740526871.7
"Ships & Submarines",2,,,,,,,,,,,,,,,,,,,,,,,11488126136.1569,14619847859.9872,8027271075.05,9356219466.8
"Ships & Submarines",3,,,,,,,,,,,,,,,,,,,,,,,8114870482.9519,7777327872.0319,10984242676.39,11426439873.01
"Ships & Submarines",4,,,,,,,,,,,,,,,,,,,,,,,8121171065.3662,12693072964.2159,13192382690.7,371697465.18
"Ships & Submarines",,10701622330.4638,12900929974.39,13339941029.8517,13703339418.4184,15823345884.9556,14947012438.9044,17551115676.3557,17908547161.6354,20416509405.6822,22725210397.5363,18771997825.7313,30790005975.9622,25345551411.207,25001965693.6028,25550895472.9359,22513278171.9604,25743580992.8802,28683400517.2441,32812757674.6605,35092217877.3936,41688556338.9489,34047947585.0132,,,,
"Space Systems",1,,,,,,,,,,,,,,,,,,,,,,,3355746560.2138,3468750414.5281,3844268814.61,3383721959.75
"Space Systems",2,,,,,,,,,,,,,,,,,,,,,,,2724438519.3634,5972692596.5935,3699664729.15,3749801240.66
"Space Systems",3,,,,,,,,,,,,,,,,,,,,,,,6457805245.0957,4977543774.7604,4730898071.3,2966332950.76
"Space Systems",4,,,,,,,,,,,,,,,,,,,,,,,4716504127.8956,4272512663.5846,6599776202.68,1652115866.94
"Space Systems",,5252105836.8517,7361778336.71,7091393334.37,7597281607.2774,12576144024.0527,12456143319.2559,14118510298.3973,13916218618.814,16674898053.7723,18387253444.2346,17421936709.5261,18951065388.7405,19009024931.6974,16495678414.3019,17286737869.0235,15646124918.1443,16826970209.372,16712295147.5456,17371344713.1969,18379781107.4103,19202083567.048,15415684453.5765,,,,
"Unlabeled",1,,,,,,,,,,,,,,,,,,,,,,,183880,5620896.3444,1946088.91,5738070.68
"Unlabeled",2,,,,,,,,,,,,,,,,,,,,,,,996300.5652,2150128.1618,1567445.07,6030541.53
"Unlabeled",3,,,,,,,,,,,,,,,,,,,,,,,378992.55,2095007.0716,2681007.22,12244666.48
"Unlabeled",4,,,,,,,,,,,,,,,,,,,,,,,4673209.2405,4725594.9476,8389142.07,879191.54
"Unlabeled",,151009405.9452,407625834.776,665820860.5375,674344393.1326,346216180.0659,436880076.3231,526756190.8234,311919649.0391,208084011.4077,107979879.8621,33511986.7222,2385164.9461,-3571592.0831,-7339629.7706,-176374.15,-771054.7156,4772115.7133,232336.3083,-244515.52,37111.09,13033.91,316167.55,,,,
