"ContractingCustomer","Customer.COVID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense","COVID19 Related",-3484402.97,-4121394.98,-12510599.58,-19886165.81,8399983.14,276559385.39,319283601.26,334249138.23,401384984.89,558655797.97,564012710.19,114202491.3,298528089.76,192185371.46,1503569580.27,3674857874.26,6733449087.44,19530062814.04,36753854539.04,31487870351.95,57975990244.9135,97706778773.0546,67711872711.4996,54949220442.064,42872019028.4389,6192927807.11
"Defense","Defense",132181454142.357,143997659967.207,169823031735.082,211552973465.595,229766723849.529,265387918373.624,294816263788.115,327804194681.982,377584147559.43,380987506641.974,362131486487.09,368496298693.846,357491357453.046,308008492118.181,281892675596.298,270549232599.972,291618408329.574,302344352394.445,322607748969.832,352120506088.026,364558754776.207,289267196567.797,346640571731.549,402172436214.661,402417582884.028,192440499724.18
"DHS","COVID19 Related",0,0,0,0,0,-83831.23,-671040.44,-3,0,0,0,-59901.49,-73125.26,1178770.43,-5987647.14,-10602869.17,-18934530.47,-130775247.44,34275945.57,164503406.4,793958270.0179,8190600227.8524,14904823389.1976,12547167309.2294,3372179057.139,1348871011.53
"DHS","DHS",239679197.5894,324962674.3824,1016739690.5347,4112525853.134,7868547285.8106,12818227825.2139,16496260913.9807,12468819313.9643,14032111435.8313,14300423415.3792,13587280596.3903,14259247421.3195,12418392778.0696,12290002013.8789,12825902210.5396,13452472364.5839,13569114035.6302,16432775132.157,18189475317.9658,17480831500.7554,18865051755.1629,11616183219.0149,6277715281.7578,11528279545.1393,20252780572.361,7204486424.5
"Energy","COVID19 Related",158102670.88,229967521.28,237247141.68,222153752.77,333995004.85,628522481.07,908883399.83,1119551431.26,1606108415.17,6438189142.95,11470700606.85,9202955192.92,8298848877.04,4119245446.49,3904287383.85,3867331176.32,2828758347.34,3206687513.48,3097163829.64,3266482268.49,4154208478.7122,4244551808.7814,4076388197.1751,4601959929.7797,4127381520.8,2231793390.9
"Energy","Energy",20486437847.6773,22832325693.4983,23768378923.0382,30292981423.0492,21503918418.7238,22608375716.4793,22053655394.5644,22305557528.8276,22595503537.3295,25216711504.234,14278587624.223,15916438127.8962,16886153065.8777,19865019732.5426,21600145314.7224,21306228291.8783,25460059354.52,25759389408.6922,28865937947.0816,30045086566.2345,31824585372.769,34315436640.5737,38835978887.6726,41672203546.1238,43543808601.64,20386498272.35
"GSA","COVID19 Related",0,0,0,0,0,0,0,0,0,0,309615.74,0,309615.74,0,1131512.78,2360178.18,1206645.5,3100130.56,12217332.45,17000540.21,220895532.6458,433917697.2269,775974490.3873,458395020.1917,508819070.8409,278946741.64
"GSA","GSA",10797134038.06,12724914936.187,19252086241.7124,19292897584.8827,16549786422.2536,14961244193.2576,14047534675.2285,13166399557.2769,13384382566.1678,15651377950.683,18812790673.2166,14591934695.6506,10230506059.7284,8919033914.4749,9111151662.7028,9608443859.9416,10492128702.6788,11973180041.7495,13831216762.2258,16079085079.8104,17391851266.3981,17776027746.5775,20411288457.7456,23977368174.7784,26457852930.6591,10194448678.26
"HHS","COVID19 Related",0,0,0,0,0,0,0,0,0,141986381,141986381,425959143,283972762,454298788,654964854.16,413233291.24,360464590.08,4863921306.81,3465391041.35,4760447541.8,78222308087.1303,112778282261.182,83905394745.3824,67145127180.4718,57969189439.651,19055896109.83
"HHS","HHS",4352015166.1089,5375374130.6995,7072661816.757,7837446323.366,8561230154.3831,10242250167.9823,12751839162.1645,14362853670.7528,14161899367.3618,19686060889.5281,18975813809.5878,19301711019.3731,18997044093.6504,19859590002.8691,21386947437.4954,21739921607.28,23760618066.1478,20058854238.982,21199007724.2093,21738690472.4337,-37519227359.4282,-73951303497.1432,-45017345136.8844,-28644210586.8062,-21211990247.171,-9631336578.95
"NASA","COVID19 Related",0,0,0,0,0,0,0,0,9248617.77,26865032.57,42279395.52,104567407.71,224267226.35,292376432.81,263796332.99,296643509.15,720360082.66,955449595.57,1072039348.3,1157286880.32,1361355294.9197,1625059384.3674,1278113702.8219,1096616281.3017,764178933.1843,337354105.99
"NASA","NASA",5047166582.9881,6297845670.6381,5742609779.6008,6569758052.5163,10900050991.9502,12600788614.3208,12975895743.7153,13231275071.9063,15026463215.8498,15309728327.1797,16101193961.559,15288188361.4172,14929292016.1793,13926597269.1049,14749122255.0561,15577807765.0086,16550737919.8541,16424700093.047,16969216578.2984,16572720815.1208,17577700284.7018,17546627672.4631,18645419426.6484,19849495347.8776,19269221800.1757,8115194481
"Other Agencies","COVID19 Related",0,0,0,0,0,0,0,0,0,35500.28,0,0,14099319.99,26452354.86,131635759.85,293250086.77,553293694.74,530784793.58,755394999.87,1325381488.81,14431255450.0502,30177790717.6527,16504105000.0607,12821677003.5968,7796619965.6924,2394612868.61
"Other Agencies","Other Agencies",26624106827.3764,24270821571.7018,27771195501.7067,26908100505.7261,30513384126.3585,34368206101.29,37487876667.2208,42012738241.9748,43799343644.2031,48990048169.5441,74847344910.9401,51976797208.9142,50073407781.8049,45681803911.3071,46182160940.3042,45970039440.914,46895839257.8086,46435170019.441,46959715925.9733,49571058222.5124,46692705633.9199,30764832470.6452,45220639372.3094,56283079112.4333,61236183951.4876,17893974824.08
"State and IAP","COVID19 Related",0,0,0,0,0,0,0,0,0,0,0,135886051.2,288757858.8,288757858.8,201553904.84,777787163.12,603242589.2,1555878384.43,2657170917.74,4030419973.61,12679905435.4901,8954073268.1732,10597379849.2941,5939943229.8227,5518702594.0036,1600812611.3
