"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Land Vehicles","Any Commercial
Classification",1669333716.9414,2189994550.88991,2238988543.70319,3405483192.51229,4313165965.05612,3325966235.69603,5094846775.6553,8938819881.95856,11465419625.53,6799940147.40841,6297943873.13159,5163170543.13936,3833789296.68287,2897021629.27332,3317325843.48192,4327619116.69002,3633516879.25843,3809994050.77426,4422704246.47412,4427983917.15977,4185766878.4373,4141471769.39765,3734006208.36642,5398378711.3449,5521172556.36703,3716026277.2106
"Air & Missile
Defense","Any Commercial
Classification",17758989.3799655,13378555.2046269,74233958.5540903,149867383.843375,226471714.173771,145296622.62005,141631394.731289,229117015.975545,181642657.855255,213329381.066314,183169025.766967,137193489.327691,95303300.2341415,49683735.7868469,43649951.0806624,32882305.379436,35359017.6924812,46953607.8013726,61255310.0658965,90407172.4876643,96110443.4675439,92213014.2739729,84325069.0101773,76027799.4785,93072087.1669836,43800089.594119
"Ordnance &
Missiles","Any Commercial
Classification",163844430.179165,132477500.678714,224124177.645081,585488028.257231,623602867.404179,736063751.493574,514722145.856615,1046205152.16299,1310530032.18873,991269006.644495,867267191.404144,907112727.600136,649789087.568859,462146713.565181,416670110.462415,465186135.649379,628511274.16388,429259415.432746,472511595.040349,636588849.584496,635327273.781351,507810448.878937,507767928.728663,935169237.0809,1031448843.96057,417088999.540528
"Other
Products","Any Commercial
Classification",14743218207.2116,16359245814.0526,20373218265.2242,25608079822.462,22988168721.2011,15437738465.2692,24353717918.9138,43995626090.3262,57104263028.581,53813669893.6264,76770592636.3471,50709018248.7448,58296579920.0711,46833512202.3789,41948318481.7693,37913235885.1767,33705388591.5235,36125802666.2087,39513482647.9999,35402522472.7022,53926264063.9571,75183829350.8329,76374537891.2347,48266504214.7152,44740885942.0637,26807058615.5951
"Other Knowledge
Based","Any Commercial
Classification",2369055823.36313,3892059541.72998,7185149823.45679,8488726853.50274,7342126439.99178,6729187639.72667,8225849742.31286,9512605247.07616,12036198060.4411,16201446097.5313,19037724474.3997,19490410903.9687,18873978442.1972,19030064171.9683,20884746211.2417,21556458992.7952,23585206316.3976,24885223747.713,26579302262.0667,28217954146.1773,33416416302.4456,36404749422.8916,36169936484.1328,38139247135.2106,37981696490.1933,16367914502.4808
"Other
Services","Any Commercial
Classification",3002542247.83134,3529150697.27231,3498944016.64506,5349992026.56915,5440052175.01887,3496882068.18691,4824952770.79871,5191768012.79588,5671672400.30811,7960361939.71591,9926394153.3019,13998347793.7088,15026514212.3264,12518780795.7643,12401478656.0666,12508608123.6932,14087920783.3764,14816382098.461,18332051469.957,20026871214.3242,31220315411.5934,38786443619.9634,43385250309.0284,42990813918.4861,47069068574.3339,37060587877.8356
"Ships &
Submarines","Any Commercial
Classification",314997944.689876,483673445.909547,679900945.349898,978567775.476248,756830018.15616,601220543.449602,722393980.020992,1188598090.60589,1077256561.19523,907067842.33765,1166560195.94486,1091968681.42828,1144683012.14011,1027320826.11091,1784904529.5478,2467110262.908,2465046464.19615,3025725005.93867,5167106898.96613,5668751080.16655,5727037948.43457,6015013734.87299,6504374151.55076,8494755991.7042,8200709325.84256,3894573077.52097
"Space Systems","Any Commercial
Classification",331619257.294817,1160718630.70189,1028704814.46601,1339038236.98068,4022726954.89812,1025583114.64674,707614117.061624,741963710.027158,1059377677.04524,922774789.226292,819186285.703656,788815810.599284,569755779.809458,482016139.747708,576461728.278084,651782933.239524,787970788.373294,1038378636.85242,1486370695.18617,2127373241.54709,3471447551.2302,2520735322.1432,3075298937.54583,2619494727.1569,2995603044.62742,1773048121.172
"Unlabeled","Any Commercial
Classification",18860017.0276302,6700237.92028962,6541577.24239261,20410129.7768677,13369782.0830257,85461092.380293,152207953.64622,107906680.228226,120564850.871973,59937924.4737629,25456152.9155481,2151901.71929724,-498010.682456582,-157897.462690672,-101860.221771836,-82128.0478614899,6182842.51109773,-24512.0585915688,-4050.27113440351,-595.635001685594,9334.35621365327,-2830.44637671446,5880866.10893487,13985520.4654,12911868.3293391,21478089.4271515
"Aircraft","Unlabeled",,,33612.0730843335,,,,,,,,-96564.5837734715,,,,,,,,,,13484.7709347596,,,,,
"Electronics,
Comms & Sensors","Unlabeled",,1912617.37940643,84971395.8478592,816688.571960879,-2571309.28691256,,162236.281665461,0,-118423.573068762,-91593.6064124767,-17687.7207139563,-260166.024434085,1456374.78236,2984846.95003587,9963835.15698046,9890530.038125,3282076.60377357,12762974.1635049,13899183.7269145,73462369.5234121,37479079.2724594,15621883.5183266,15591265.2085228,6198067.0386,-527063.712810449,-1790.70628442036
"Facilities &
Construction","Unlabeled",1156316.79155832,12578587.2553471,10727794.8867,159646538.585286,17825745.095113,12431981.8697316,15648186.3749804,8189348.65826523,2625460.70051569,51928800.6268283,-6592095.74372605,1865173.74362688,17646288.5837317,18880698.0129168,1400902.1966652,8566597.41684115,7678074.97501668,3882037.84370928,50253520.0583819,10675678.9481285,17089795.2835291,41963865.5415935,17341536.2485762,18333341.6751,14041265.5799179,24444987.729649
"Land Vehicles","Unlabeled",,,,467.731523278931,,,,,,,,,,,,,,17187976.0215018,,4794.28723374457,13799417.8248255,14471164.376544,-1449.79170652007,,,
"Other
Products","Unlabeled",0,0,3204.70109313443,176352.385726867,,,,,,,-7383.68326000556,5967.92651046526,18.4009319374783,,-33392.9589743349,4815.9843172632,,1129231.4222433,658922.294054655,2288037.12615947,354336.588658331,-2704.99768946441,-36928.5338910492,-11280.9287,-59906.8484248482,
"Other Knowledge
Based","Unlabeled",2137172.86145746,13929383.7470779,19645033.8493291,22927074.0275273,7115638.74476355,3152884.7494697,2943876.13899995,3824809.91710385,815906.905908924,835963.91711852,-10912.987215001,1442467.47635799,37101.1272480367,-379672.906181453,-133733.765747177,1806664.24023138,4446674.71352173,5832857.99377049,33410459.8730617,89157264.1513769,64779888.1341817,24449158.7789307,11123492.2825073,10292839.5206,3375371.82066187,-62827.4504161486
"Other
Services","Unlabeled",218983.324748786,1651466.54556509,743527.092972726,1697666.17967887,18387.9337363242,648928.145791817,,,,,0,,-5763.98708080005,,,,,20442.354897927,344795.685868984,1903170.22954165,81094205.4574695,-3003674.96423114,-242756.424970869,-1171521.0867,-11906110.2427309,-583878.575362203
"Ships &
Submarines","Unlabeled",,,,,,,,,,,,,,,,,,,,292822.66389024,,,,,,
"Unlabeled","Unlabeled",10218856.4129695,121814523.35908,234707944.760316,42899275.5043238,7511795.17045886,7119284.20254804,421279.498722477,3826857.67604136,3524448.52106987,5618602.21859445,1110511.02586862,-162904.510096594,-541458.876971491,-4413.42971377067,4989.67445949908,37536.9003683804,-29477.0872487269,39062.4000075039,24128.2425049737,0,11573.9072704938,11188.817598517,0,-1117,9739.88670259903,0
