"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Not Classified
as Commercial",55737385989.2934,54300431180.326,56608991110.3122,70747626408.4928,65490471321.9328,62776223678.129,71755231207.2147,78769383338.8858,86169829236.2826,84958023100.9422,81373147917.0572,88868044527.4164,98957090203.3811,90782925619.4008,70953149918.1685,75124073863.5468,90716074884.3453,101991486995.733,95940663259.2986,100027398572.938,116338820216.314,76514829488.0708,74064496700.4202,93538111354.4129,66344035120.6367,41123264292.884
"Electronics,
Comms & Sensors","Not Classified
as Commercial",41351723306.7718,44694158718.1291,41906435818.7063,47369807254.6323,63268866044.3204,69703802966.8934,69637195545.4185,74699873661.5081,76786822811.9294,75259958651.5531,73467234925.4448,69253996187.4781,66626603701.4517,56841668158.059,56248687427.2985,54805113259.3274,58859732274.2365,60076291311.8362,64241116415.854,66147725678.1936,64670788617.4285,57034803024.4049,56126495391.6804,56385969638.1792,55785254275.8741,28715763200.1678
"Facilities &
Construction","Not Classified
as Commercial",85138753937.059,89094021398.9365,99250870567.4592,120224520782.333,105881412651.518,120108774304.853,124291309787.724,121434108100.646,131368414846.033,152655131461.147,145337542159.185,120871269627.003,108929137399.668,91188613911.445,95297033709.9488,87484202072.4183,91613163467.6944,91611304386.7095,101379424052.935,107066357646.824,114400651827.618,100713422596.953,109759973370.667,115923758491.702,111147456809.59,66431390135.7524
"Land Vehicles","Not Classified
as Commercial",6248532397.747,4796213701.66401,7405291424.65021,13851817704.9353,11518791475.8075,23987205635.8567,21560984173.9431,33367974651.1573,45922982426.4715,35816898877.3763,30684062235.103,23388557725.7465,12725478357.3754,8608872419.88717,6529846057.71793,7343199545.52598,8215153514.45029,8915315042.78071,13640088656.228,13329104070.0987,12067807332.2046,9306996532.29329,10147458454.3449,12017942136.4173,10806590597.0055,6423127097.38357
"Air & Missile
Defense","Not Classified
as Commercial",6224426295.08305,6568480710.90469,9043971502.79404,9086117919.99062,10368861322.6416,10732386586.2567,11697135300.2148,13360713622.5546,14184147912.8712,16532058931.026,16707043264.4417,15985835644.2048,16518702403.8139,15525719337.8388,11705074457.5671,13325066579.5927,13588483515.2804,10735793738.57,17559885042.5526,17593275881.5534,23489329649.0618,14986157122.9674,15639405307.576,13812733999.5322,13569046901.1076,6157187400.55067
"Ordnance &
Missiles","Not Classified
as Commercial",13295800445.1367,13883902734.7153,18353909452.0604,19381005685.6217,19905005186.5294,20559310152.0628,19500111569.9503,22714029401.7983,23358560965.4667,21387411721.0824,19464098465.1805,18379564775.1177,18411592095.4231,14955577171.6472,14683519091.7503,14833502136.9248,18858859759.8309,21544365562.5576,24084698950.5557,26475455368.7381,26089736018.0882,22718947915.2671,19701869745.2858,31895361991.8784,33761723205.3389,14608743574.9392
"Other
Products","Not Classified
as Commercial",14193407449.1845,12228357653.0182,11814266484.3013,11880846742.2025,20651051095.0097,55756839556.556,53581093479.4055,35187166730.5959,28961978346.173,31937636411.6448,23878821623.8884,24256571648.0076,20393178400.9048,15129596432.5499,14155774071.7228,14807979600.186,17461362509.8067,16712795997.0123,15921805864.9757,17858838852.1969,18875631508.0322,17907343555.1004,15425896927.3969,17091601023.4069,17571419230.4779,10288932396.3569
"Other Knowledge
Based","Not Classified
as Commercial",37352847903.5669,38554820927.4935,47880392260.2938,54477135802.127,60766306413.0881,73238020959.2532,79366466932.1838,80375344115.5385,88912561373.2339,94393184681.5775,96236233686.2179,90610714913.4217,86052338175.9854,76084355272.3558,73169836265.0233,73084041215.3763,73483688391.2381,75420013729.0394,79364705630.4641,83651578030.6548,91695604983.4844,95135691418.2388,93025935272.9674,106015125714.86,111755711976.454,59722061637.9236
"Other
Services","Not Classified
as Commercial",11500322654.8217,12156929656.8968,17093311514.4008,24645001589.6282,30560341650.4292,34597296260.6769,37750841621.5783,37127203216.1377,40699530900.4582,44258534855.365,45496905528.8669,46760204986.0112,39890883851.6108,37797255868.9139,31818521277.6675,28689687038.1466,29279741362.673,35566952448.3707,31996078644.4514,32041106548.6476,30831221184.6965,31312436855.9525,30499937035.939,29177600244.0621,29210113617.7458,16616626142.8959
"Ships &
Submarines","Not Classified
as Commercial",17676284761.8493,20691753757.0543,20872787900.3526,20681493035.5174,23724005219.2916,21846659347.3643,24810331065.7283,24166240496.6598,27240202201.8052,30287830088.4049,24388461802.4048,39990582651.6829,32071666993.0998,31153752459.4135,30514247883.6218,25701691625.11,29490596300.0939,31988114980.6114,34017532450.9636,35476951082.844,42522886863.3538,32079648055.6389,31327944651.2284,33648597107.5444,31918545506.4677,28409833938.1564
"Space Systems","Not Classified
as Commercial",8498081324.31485,10922813452.8625,10430738984.7936,10696611461.0561,15289091702.2384,17680145576.9178,19831613048.1778,18960574067.8119,22068730544.7496,24340535101.0442,22884178840.5494,24498357796.9306,24341855431.514,20750114153.5376,21275598326.5887,18923690509.6679,20097993885.7456,19361985963.3442,19257701046.3164,19423362475.6802,18752865909.3795,14727592828.593,14968513977.3703,16072004722.3097,15388051125.4503,9427476740.66611
"Unlabeled","Not Classified
as Commercial",224794121.682083,540536734.592704,834693719.60596,1005884256.46293,514941754.81768,563626722.538378,613681435.286287,329881302.82083,162178664.010108,80245269.1262158,17535038.1298127,1104570.67643372,-3657118.04803208,-9284900.46208432,-126099.548906724,-920175.653775126,-229711.108497363,269102.214102365,-308443.853455698,44108.7534164577,-5822.93691295088,345395.733530199,636626.516522888,607223.06,1282734.05959721,2246331.56823811
"Aircraft","Non-Development
or Commercial Similar",,,76910544.4925726,132971748.326288,158093243.941051,165840911.797021,1993883.26156841,-771313.509784504,28342651.158396,3401528.14889783,12474717.8070801,20094385.2745214,1611197.39591479,15203478.3902484,450655.285248899,63099.7797652499,279918.091749922,315723.67911065,69976.4901443868,-40133.8395131815,,266175.503532149,0,76524.9492,116353.650798032,59261.0392667338
"Electronics,
Comms & Sensors","Non-Development
or Commercial Similar",9246.4536525722,109152.279083173,245416240.681796,453256494.901619,918410762.62139,614594024.47583,705066772.551687,963220315.372616,1145224142.69446,793740165.530819,272750691.166724,661911732.884024,185309001.42529,217749987.494551,303122903.522938,222622559.270347,114772626.129572,78093387.6433913,45816893.548884,36872220.7795987,20096948.6637676,27031633.69801,29514606.0564657,22800933.4293,11066256.7889884,-899587.011685665
"Facilities &
Construction","Non-Development
or Commercial Similar",44147878.8829497,-577298.295615886,11118796.3715715,31024795.248742,5272696.84206938,62801667.7144229,64840653.0589337,81197987.117093,126355461.260892,285630201.171044,369898797.49167,482420452.720161,780230625.483207,545308830.902425,510335833.745464,320588661.287439,210659587.887981,138967895.847317,133624284.889292,135770048.488195,109711784.735135,251907239.039,140655003.052179,100391600.4882,94263367.5279587,38159255.9759541
"Land Vehicles","Non-Development
or Commercial Similar",,,51400.6163781962,13522887.3203288,4495921.52320751,430830.34648606,230120.352785937,189490.24360834,519688.634646093,15495317.2403445,14123618.8368553,13089265.188479,6575863.90989479,9904337.19202357,1396544.31283537,2148104.84047764,-912705.824152353,-1318766.28301648,-380814.220250755,14609.2615101156,652040.984589884,705594.932883475,249822.262817268,1330501.67,800202.501594838,-178525.468854258
"Air & Missile
Defense","Non-Development
or Commercial Similar",,,482266.994193049,921066.428824394,8030964.71544904,,78196.9567080513,0,,70670225.7578999,3140957.0381373,-3885.0765766007,,,,30111.4758605086,26374.9278239712,,,,-1166.62670505124,,,,,
"Ordnance &
Missiles","Non-Development
or Commercial Similar",,,4094614.66330825,458971179.802585,52917225.8265624,18115100.8920342,34643.7304638538,,26353.0280543268,-1883745.31436584,5272791.80341765,259412.268204208,633308.414967799,1276528.19851948,889578.52595532,14082.1056833763,-3994.12444344105,3261.71040062657,1595.43650894493,-1390.01042224069,-578.695363524691,-64552.1163084571,48340.6820874635,7644.56,,
"Other
Products","Non-Development
or Commercial Similar",,,922982.679000643,5551060.47063828,6175095.20833167,359094.882807573,295112.335241142,92428.4523689599,111704.868566311,1781606.19310495,616752.987792901,38745.0018786744,-12297.169813602,-8597.90898788537,,59674.725291137,,0,,,0,,,,0,
"Other Knowledge
Based","Non-Development
or Commercial Similar",0,49241.629661582,36567981.4100156,125377039.419121,80553178.8939456,27549656.905044,12175553.6334933,22970159.8984482,122108637.381787,355497853.878833,488576365.72295,594063907.398947,1402187699.7711,1287063358.83754,1234467992.35222,954772506.370093,699666598.47434,260473985.990541,148857429.354668,44843129.7674932,114158548.6077,224105398.649247,129476030.266931,89201502.5907,45794296.2342984,16408450.9129625
"Other
Services","Non-Development
or Commercial Similar",831256.183366241,,89461.4412510476,4277617.24148453,344891489.396918,587924712.426992,2590411.66699991,269097.566929415,24862739.3457253,52438764.7684397,376529825.344985,893715917.606956,867720764.511593,513912934.881921,296473536.454687,134636151.331545,121514049.379031,90371430.7081418,147453166.737622,95086090.6035198,31277888.3796689,91180475.9782978,59047777.7382904,-6377060.8252,5372617.77419379,1923069.92676446
"Ships &
Submarines","Non-Development
or Commercial Similar",,,4189656.03188431,67002986.2438019,9539204.80261981,2985242.72983403,163641.592354924,25162.9565126347,269928.545401092,5939226.3553235,-3084289.3050233,3325709.85860085,1724527.20152036,2728793.71609025,1984811.77905211,487435.532344305,10409.8500624145,-12968.4240786312,-4953.73482515372,-24012.1457105704,23718.9868647865,965722.746237814,1761144.9878629,-6930,0,
"Space Systems","Non-Development
or Commercial Similar",0,,,10072671.2882188,152742026.046943,3775624.9518374,,,0,-18320275.4748238,10905763.0462506,939132.784028474,1763002.77851582,1946089.13806273,1627721.77084001,1427630.54650151,1448935.16082261,334090.331314179,597094.501850649,-261404.445448905,-0.0810173508934568,,15902.4488591013,,,
"Unlabeled","Non-Development
or Commercial Similar",,20517.3456923258,,,28184.3796664941,,,,2344867.66442763,2450413.46286977,1513911.41761504,89172.4418333314,15631.5654687341,-733.449800445157,,,,-39.6239220076118,-3631.86313317668,,,,,,,
"Aircraft","Any Commercial
Classification",4471238437.70688,5866378442.8024,7045736573.83839,8008313237.28015,9215870108.52641,8998873913.0573,8163058784.69765,8283191284.01908,8225252395.93243,7400082490.46937,7971337709.27704,7534797415.14613,5608515355.52017,5595496786.20378,3800171575.043,3699111703.53945,4394405194.22373,4957388479.40364,6342239631.77438,7411873287.7761,7647645833.76398,7125595011.29672,6815879284.24613,5774033886.0809,5592008047.09829,3815133718.39251
"Electronics,
Comms & Sensors","Any Commercial
Classification",15559345256.5744,16721067925.7812,28679485877.8547,34126137067.4177,28496919381.5452,24163345345.6478,24425931326.5516,29400503044.419,32092593983.9377,33491158710.3477,38407903392.1396,34717297656.1605,31765711661.5269,29032566061.6434,31658926483.7089,32293105444.4807,34738233735.3598,36910687358.1131,39722039219.6728,43327506468.8379,48738844079.5094,48392476453.0368,49562464628.8797,50782081057.9747,53542469543.3493,29605344092.2084
"Facilities &
Construction","Any Commercial
Classification",5523358875.24174,7291130997.00857,13643540887.9205,12992849225.913,12112684126.8763,10123634667.4324,14696808784.7969,14975448170.2634,15149569848.1577,20001509496.9658,21290606933.3642,20868267958.6899,19047063231.3575,17933164602.6537,18913469395.8259,19146097359.076,19742726850.8908,23335079484.399,24310191862.5911,24925901251.5812,28201066580.4456,30268379771.7514,29227585895.0817,31771060365.5953,31989610289.4072,17416430714.125
