"Shiny.VendorSize","PricingUCA.1year","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","<=1 Year (All Types)",11972765188.9664,14916410007.71,13920210462.5367,14834160718.8412,13192376877.1625,13905137982.7114,12060913509.6925,10610617403.7639,11566105807.8868,11006146289.8417,11963026901.2064,14565376973.0483,12755840723.5374,12086182470.5527,13481206258.2253,12351994956.3846,14273988795.4374,12104164953.8133,5499478543
"Big Five","Cost or Effort-Based",36812682226.6081,33318469529.233,37012748419.2529,37454777871.148,35671149517.7238,31320403743.8816,27924691261.215,29235283017.5805,28781930907.9421,28815700617.1196,26323268306.0152,24137042449.8938,26967535355.4,25062161107.2415,25018027212.0143,27006309901.602,25418115412.7777,27914855784.55,12560134093.28
"Big Five","Crosscutting",21467599305.5213,25322705853.9351,25076475751.0381,11073722639.4309,6449567915.5661,19971507124.4296,13441708163.1505,5504596252.9986,6163709551.9129,17799040573.8165,31004086905.5558,21914715969.9181,19584535467.179,40470096600.4194,13917137784.6617,21791929314.1106,24173788960.2283,29023156782.6,19859631740.92
"Big Five","Fixed-Price",32407261551.2124,32933047964.0327,32481787873.5564,31025604614.4236,33114910747.7538,28366965844.5287,25873646935.6442,22154093641.918,23027497459.5382,33832202323.9428,30296988161.4032,28720335651.4955,35777354515.0182,45127275457.3982,32856426999.6769,29730803592.4288,45456268246.4036,32571799162.03,13400607978.19
"Big Five","Incentive",9752276901.748,13423398978.616,13496740946.8483,17447890258.497,35783860037.8394,25355621916.6438,30896280256.5997,29350538987.7156,28580772141.4418,29173831400.3336,25898985586.5769,36042613740.0334,40574514123.0587,42801213945.2083,40829550685.7015,44088875605.7281,62591045123.733,46091259442.18,21015298320.79
"Large","<=1 Year (All Types)",50754994076.4027,61231723989.2427,62528739527.8734,58404171558.6624,59340007958.2155,55724464690.3206,44301866030.6194,48846486195.3971,46080369696.1769,44068772622.4705,50467251412.4504,54520483645.0445,48237959287.5466,59998257398.8684,77328523834.3159,95669248523.4591,75853765123.9757,80836013877.8378,34132863082.05
"Large","Cost or Effort-Based",44453162984.3188,47757856025.428,51914593566.5323,54491838474.9664,55312192860.848,54453381035.1512,53730963819.7965,51147109295.3191,49472942971.3172,53197427865.2548,58804890364.4019,61438939763.5542,64774239430.9514,68958780986.0146,71832737287.9988,77501154554.2145,86190362093.5581,88731295223.68,39095434788.52
"Large","Crosscutting",7443174995.8265,12260797835.2401,12568774343.2311,7811488201.0318,4835271314.2587,4255508024.1864,2128194279.2133,2272478356.2866,1104280140.0361,4754291705.3554,3066118697.329,11499568378.6458,7868481213.2512,9022498734.6829,2756154792.9502,1474662125.4376,3831761987.9539,3888543786.53,1936795425.59
"Large","Fixed-Price",41339559455.7706,50461302556.8617,54652227794.8736,73206392683.5852,46350842390.2065,47876859526.7741,41383932822.3649,32513063669.732,35789594882.4414,35027583217.6698,35787365909.1964,42151009732.2518,47004524921.4642,48466055191.9188,59776458888.8806,53194342082.0276,49995750327.0866,51398545639.9941,19379083200.25
"Large","Incentive",10907271464.9662,11141575130.3809,12472123519.6263,12445404888.0449,13070524956.9307,14661523053.7089,13268908530.1351,12558164672.6164,12392110405.0793,10115706460.7752,10994572449.297,10803541010.3553,17718990364.694,16167673488.116,11738506357.846,10910547016.7253,15163160912.1487,11622651817.24,6077604917.46
