"Shiny.VendorSize","Vehicle.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","Definitive",38530661387.4905,40009687048.89,52560417024.32,58894283203.52,62297651279.04,61153797897.61,72975901957.37,78808640827.18,81936650522.15,83036563839.78,73753023014.4465,88139570697.2243,81815279883.8903,80876308574.5741,69736823782.6672,69392918149.782,88099151500.6788,92211219158.6896,83187483185.63,91707365629.49,118390118164.54,78534925996.11,86440197404.41,109297843818.84,85045623358.2,61409773167.24
"Big Five","Multi-Awd.",1057503752.9487,1509748714.3006,1424942421.688,2760093054.9365,3759983561.1692,4247567369.5393,5566644916.0816,6665290319.3286,7285022388.7482,8146464333.7662,7987505408.5216,7884824660.5419,8156511342.7011,6118913826.5101,5082479889.8173,5299590408.6523,5210539854.8838,4792106625.3846,5118315294.7065,6665039831.7403,6018223908.5832,5125897379.0271,4802223047.6804,6185512482.4062,6051952052.72,2326761313.21
"Big Five","Other IDV",772830343.455,957575927.3791,1636405131.0335,2685002360.9279,2713503441.0963,2638913476.5723,2643050618.9366,2360370951.2163,2351314656.653,2093835688.1945,1828734145.3604,2431541180.7648,3017221859.5286,3267046186.4326,4073556955.4777,4391210848.4026,5395678277.1479,6088818669.5668,7717976623.4414,5789589817.0363,6065108597.9302,8105446630.7325,9432962498.3502,10173381487.3569,10476177749.62,5240465963.98
"Big Five","Pur. Order",766844664,876569661.15,651260027.84,626879107.36,210326564.75,235646883.68,208359792.58,157372286.97,260148313.04,324171145.12,292535411.8607,301392066.3973,329243863.7835,152915349.6885,264301535.0027,170196970.8587,154909920.8513,144758331.2884,233354715.76,216925875.16,164905390.46,148580754.03,143608853.35,160943526.58,170275958.14,80026335.29
"Big Five","Single-Awd.",6206008622.95,8417061339.6961,11050828336.6199,13422174964.39,14792687343.9142,17808163907.3809,18817045627.6486,24411312879.4511,28078004171.8476,28383846982.299,27974190909.4234,25458808733.5442,25601737646.2916,19781481850.2566,17696965544.0517,18866119006.4062,21766717826.1724,22250237254.4357,29122954964.8512,31280859030.7667,34908573519.3067,34187498180.3801,34150921566.4635,46095625223.3969,45961207006.4933,22919372674.68
"Big Five","Unlbd. IDV",326075510.9925,407674228.9414,481914939.0489,690895365.6625,273059374.6303,125662921.0158,13398380.2042,9597909.9102,2892281.088,3081464.0727,167212.7281,-4272242.4269,-357984,574338.84,1001596.96,-19515.38,-76174.68,-784178.6076,,,,,,-1e+05,,
"Big Five",,,,,0,0,,0,0,0,0,,,,,,,0,,0,0,0,0,0,0,0,536574525.57
"Large","Definitive",33237919886.4684,31368302807.84,35115243569.45,45918163141.45,45000750315.92,49671483214.14,52593431289.92,60247333240.01,71301357223.65,78805966543.02,72960940077.4942,68442672146.2754,74345198463.9479,71118417500.1585,68145296074.8067,65660416259.9424,64515302783.9927,70983570021.688,79291424349.43,84223436551.6,90013479785.69,107411458255.18,103553035541.72,87524736039.02,83574677505.43,57184492230.61
"Large","Multi-Awd.",5193086238.9308,5151860599.2522,6773171974.9396,8350214031.949,10524896611.5696,14379055140.2108,16127876709.4126,19559463528.0955,22654161323.7632,30524840527.8849,54448910692.1752,37730201334.0345,31325046141.7645,28405465655.2624,23066759473.5982,24669429010.4905,26777989593.2835,27427514343.511,29996168230.2192,30249768344.3069,33133388675.2217,31581685466.0619,35351964068.3378,40083174251.1813,43348711420.99,21001908379.68
"Large","Other IDV",5695633326.3771,7780262335.7198,9169953123.3166,12342235131.8642,11034607349.0282,9983207311.4468,11985389037.5758,9879692549.3396,10143467375.2403,11416280056.7381,12080818874.1937,11527535357.0854,12885959348.6008,11911218764.0114,12560113459.1949,13001088384.1832,14237946352.4934,16461005812.3289,18588309441.8882,19802076066.6377,20913589666.4358,21277380711.3508,22136488802.2272,24958877331.8976,26872423076.3808,15556535808.21
"Large","Pur. Order",4724746062.4588,5118268235.27,5238949675.56,5618723193.07,956727260.15,1428582637.1702,1678251308.74,1726947771.39,1644796373.85,1574391130.91,1558308144.3108,1753230294.7138,1094115757.2127,971995214.2928,1067654688.3412,1109594411.4129,1019817665.4181,909586509.6862,1058912010.92,1133220399.23,1208591023.11,754270727.41,909817951.64,604956054.87,667981140.15,384117926.21
"Large","Single-Awd.",14682430119.3715,17179594286.7403,19268368676.4501,30938016835.3225,43011758081.4805,49115964678.8426,59034677243.4509,63092487212.8534,76789829612.7574,71653359551.8664,65180294478.8304,59414290781.6612,57283270982.4027,42366547049.0431,42448819791.2224,40361589055.3157,40583675762.398,43325047219.5049,51478522890.3942,50195492329.8528,57344216649.1432,62408200470.1031,76817390087.8766,77863057767.7541,82013257202.3311,53667120645.3
"Large","Unlbd. IDV",1954913384.5733,1858810781.2783,1892588704.5548,1556605456.0784,1673358216.9044,947413332.2534,616495230.4833,392238675.5963,319643627.8925,161620941.7173,130023539.2864,40909566.6891,38145636.2126,40221299.361,48658702.1878,37180973.7062,29049713.94,11664662.19,205607,201526.28,0,-614468.1143,-18742149.9375,-1000,,
"Large",,0,0,0,0,1576813.07,10000,0,0,0,0,0,,,,,,0,1810263.7657,0,0,0,0,0,0,0,2342120837.91
