"PlatformPortfolio","Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Unlabeled",29964013.9960173,267546.187827929,856857.389067425,7569648.05795216,17308495.2080537,24834727.2531725,14012223.8039322,3999273.66651026,18809991.9206332,11004628.2510276,60440552.547323,119232681.33702,20340514.184397,164544288.637873,255601790.97271,622258875.683299,432767169.440317,228053383.49201,194070693.27618,204233371.033472,44881297.3727837
"Aircraft","To Be Labeled",472162928.40419,918103737.669486,331958410.476273,91362077.7186029,155775581.534469,280178961.469205,225831063.674133,329513751.861122,417480232.782705,422704681.862013,492061376.960679,435961065.884763,490227291.709697,487481142.752943,375758152.326053,266610175.639711,260384945.471589,172526243.895467,322294693.054878,769139352.334499,843559036.606223
"Aircraft","Big Five",35087609946.6173,36099866346.038,39046783556.6101,49790270188.7443,44491104417.4523,39483129303.0674,47633512203.392,52976915357.8745,52954900356.5595,53225973905.7381,48342621928.9016,54339835908.9356,62633580080.2146,60401844358.7742,42192086972.5097,45740509062.1213,64715573477.252,75979751914.4516,65094131327.1291,64980726216.9016,87073343388.711
"Aircraft","Large",15428472257.2843,15277803822.856,15703389174.7913,20751179215.9267,21354829478.5555,22242882920.7487,22646395852.7693,24673981273.9907,30775626754.5575,27962198430.7946,28559676069.1907,29289386899.5913,28164019887.3098,23219316271.1503,21308683099.2823,20759648902.1939,18235246223.4988,17191769656.2553,21209746255.8438,24326390840.9995,20900217449.5793
"Aircraft","Medium",5379811769.46235,4399604248.58045,4585864276.09071,4067160845.04801,4729135774.44339,5331493049.1182,5085302787.09275,4652907155.09398,5233828950.828,5902061404.01849,6757066215.03702,7478652611.61199,8512097893.23235,7521384620.35797,6058668646.89406,6862710005.4972,6550925006.75773,8244344978.75461,9368107203.29194,10808098699.3007,10104097242.2808
"Aircraft","Small",3810603511.23621,3471163921.79658,4062819565.35876,4181369418.60361,4116280927.20651,4578419541.32655,4315229744.44178,4414486496.90839,5022777996.72508,4837564068.89625,5144997636.92027,4759867160.47638,4746951089.64624,4599055202.32147,4562973486.51193,4571511645.7305,4915863174.24028,5132745021.96727,6094622694.96719,6350643246.30524,5020381120.29848
"Ships &
Submarines","Unlabeled",,410878.723446862,189904980.99638,4709025.90795825,2748688.40853832,19943490.6847627,5201226.07451277,71052715.9367332,61004506.9836259,54556878.1313517,17275441.1469666,29870240.5913767,8743066.57006457,7649515.04014197,5826732.88715543,3616743.50007217,4508246.80516283,4355530.73163093,2161765.8200045,1148708.56335988,2588347.85867183
"Ships &
Submarines","To Be Labeled",93712399.2436852,76073679.26563,124596988.011789,239866600.115606,102269034.745629,99450113.6424086,134982664.877277,157626408.446832,127700227.983652,132625987.62576,154219799.435478,356394600.854305,-118899286.136632,134401973.914765,231747553.175053,145426196.78205,190406904.926171,265134649.907641,219948879.166086,465753527.03783,209178771.948995
"Ships &
Submarines","Big Five",4467055595.66904,5553912959.83885,13858039911.7319,11716517723.9052,14194555679.1293,14441393663.8244,16214782524.7221,16095698266.4748,17151944309.2596,18606162276.9233,12537765620.8906,24605519963.7305,10836300347.6435,9870717578.77962,13191991390.5669,10425394366.9395,12423701301.5327,11422906345.75,11866656714.1036,12919347374.4181,20994982487.1954
"Ships &
Submarines","Large",7669183403.96803,2843110557.63519,3211113365.27463,5195257540.42078,5960409764.0826,3601874010.5679,5053568088.17533,4647835013.8897,6486788007.84251,6413829296.99481,6044137555.25895,7343267751.3627,14253927401.2429,14869113304.3202,11958225424.86,11037264390.1979,11564528609.7816,15512099615.1484,15318653819.3018,15775552475.5351,15848907900.3423
