"Shiny.VendorSize","Vehicle.AwardTask","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","Award",39297506051.4905,40886256710.04,53211677052.16,59521162310.88,62507977843.79,61389444781.29,73184261749.95,78966013114.15,82196798835.19,83360734984.9,74045558426.3072,88440962763.6216,82144523747.6738,81029223924.2626,70001125317.6699,69563115120.6407,88254061421.5301,92355977489.978,83420837901.39,91924291504.65,118555023555,78683506750.14,86583806257.76,109458787345.42,85215899316.34,61489799502.53
"Big Five","Task Order",8362418230.3462,11292060210.3172,14594090828.3903,19558165745.9169,21539233720.81,24820307674.5083,27040139542.871,33446572059.9062,37717233498.3368,38627228468.3324,37790597676.0335,35770902332.424,36775112864.5213,29168016202.0393,26854003986.3067,28556900748.0811,32372859783.5241,33130378370.7795,41959246882.9991,43735488679.5433,46991906025.8201,47418842190.1397,48386107112.4941,62454419193.16,62489336808.8333,30486599951.87
"Big Five",,,,,0,0,,0,0,0,0,,,,,,,0,,0,0,0,0,0,0,0,536574525.57
"Large","Award",37962665948.9272,36486571043.11,40354193245.01,51536886334.52,45957477576.07,51100065851.3102,54271682598.66,61974281011.4,72946153597.5,80380357673.93,74519248221.805,70195902440.9892,75439314221.1606,72090412714.4513,69212950763.1479,66770010671.3553,65535120449.4108,71893156531.3742,80350336360.35,85356656950.83,91222070808.8,108165728982.59,104462853493.36,88129692093.89,84242658645.58,57568610156.82
"Large","Task Order",27526063069.2527,31970528002.9906,37104082479.2611,53187071455.2141,66244620258.9827,74425640462.7536,87764438220.9226,92923881965.8848,109907101939.653,113756101078.207,131840047584.486,108712937039.47,101532422108.981,82723452767.6779,78124351426.2033,78069287423.6956,81628661422.1149,87225232037.5348,100063206169.502,100247538267.077,111391194990.801,115266652179.402,134287100808.504,142905108350.833,152234391699.702,90225564833.19
"Large",,0,0,0,0,1576813.07,10000,0,0,0,0,0,,,,,,0,1810263.7657,0,0,0,0,0,0,0,2342120837.91
"Medium","Award",30625938036.3226,34820352297.54,35041905271.84,37027403408.71,35791431492.68,41419167885.9,39580038543.84,43693740658.96,46448282337.02,53369407088.25,53573009844.7412,54534380019.3572,47964527036.3314,42981814075.6693,42346979215.1644,41391199166.2673,41695832661.8031,45708186401.0165,46741995665.22,52410280490.47,57378693928.01,55527015945.21,60492446615.08,57685499777.45,55343522203.26,27734465698.6
"Medium","Task Order",23159977699.8974,25301300456.1304,30414635185.0616,36037872944.0107,42991943382.542,51199355020.5014,57541040198.8169,60270442022.6415,66411887422.7966,71672809063.5126,71747114787.7881,69948019679.6821,67396211080.8675,57032265969.8187,53897902195.7318,50589438532.206,53762515546.2865,61168930466.853,69622147760.654,73926485450.3989,92171799145.0151,87895249297.4586,90987491936.8983,109340121973.615,115438760124.89,68069954375.76
"Medium",,50000,164473.5625,1234928.5601,0,1693017.2657,30101,1542.89,0,0,0,0,0,,269000,,0,-5000,0,0,0,0,30674.99,0,-10000,98514,546831780.91
"Small","Award",17729048623.572,18476582332.72,23642433034.42,24490455079.14,25279086463.33,30220700541.4,32923972279.08,34162446235.39,37225886319.9,39493470149.52,41358077933.7089,37216405211.4702,36257824691.1253,32985418054.5662,34335599745.0837,33611892599.4171,35940449730.675,37180191777.2622,41786292163.4,42809429391.41,48529474942.73,47030514108.7,50932934317.0099,55315551454.79,54686014314.94,26853742739.69
"Small","Task Order",17189215716.0845,19421813878.166,24382334649.0391,29787365583.1202,32028040727.6565,41417955212.3052,42269409267.7925,46935266283.6057,52250232084.5571,56274849971.7778,59237813677.8933,58430554982.9913,57471457216.0486,52483766491.499,59743831983.8551,59409158665.7629,64858199708.7982,69544723597.6389,78976724734.4117,83783981387.8654,89653945762.2426,89912166833.496,99399384199.7899,113261764086.859,117785124831.196,61022518183.44
"Small",,39500,609266.75,134281.2813,5972922.5,1752467.6982,361906.8403,645879,0,0,0,236000,248000,0,448723,0,2364.39,0,0,0,0,0,0,0,0,3473813.86,362011114.11
"To Be Labeled","Award",1500952330.5479,1890469825.26,1689874549.62,5762724190.96,2849946621.46,3984397830.55,3935710810.14,5438590583.85,7119990154.95,5231097328.95,5246439765.335,6242834907.9879,4556711780.7097,3628726429.9841,3580255631.039,4743181778.9961,4247741528.9668,4455446258.2361,4242697484.63,4453017238.04,5905567559.68,5475211049.83,4944313398.56,7003794386.86,9960211441.66,9312853031.28
"To Be Labeled","Task Order",1312586520.6147,1059863736.8164,1321930121.4647,1611549515.4275,1758483965.6934,2405617773.8042,3154673805.8014,2339717805.9481,3675876095.0257,3962397596.3902,4605540095.6976,4612865665.3969,5161100569.5425,4916157496.8821,4683009185.6599,4173372166.2194,4576528148.0042,5717917335.7315,6577106346.5409,8560656650.5952,8226084440.4705,8677295594.5242,13265543488.9648,13486480796.2497,16468011621.91,12508069897.67
"To Be Labeled",,17916862,0,,0,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,185652246.29
"Unlabeled","Award",893311975.9948,1340920908.23,2225623939.85,900364128.52,2049859302.95,2602466646.37,5014170249.76,4797104355.02,7243857334.94,5361451012.12,3926184332.3615,3920471414.7482,3890473575.8802,2605565842.9045,1778136417.2164,2242848718.8865,1643940722.9241,1665901150.9837,1844107227.9,1971208850.62,1052145857.73,1250645992.19,956499913.42,1897269950,1840449775.21,765993447.04
"Unlabeled","Task Order",44320391.1008,174621829.8305,195392000.9504,107535937.3257,371239231.6185,6436200486.1777,4470509038.2354,4884394290.3407,5181512798.3626,3729723997.8784,3571812132.716,2254974240.3878,2613129087.363,2356749874.3731,1941191721.4439,1118072707.7114,1303982618.0789,1063495711.1159,765479835.939,875689689.5618,684975460.2658,490614184.8127,59138106.229,143551849.6121,145021962.2,50176632.58
"Unlabeled",,0,,,104000,0,,,,,,,,,,,,,0,,,,0,0,0,0,1535116.34
