"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",77209963239.5589,81023725208.4089,93701521775.6367,113992773207.164,126533837213.505,153785526372.63,169433432952.21,194940090836.611,227458604205.259,216734893026.638,223429729645.196,216436840941.742,212000234344.373,184390790220.369,165233837295.978,165710505206.702,186444096716.678,202554309259.94,221978341587.953,232862443370.864,275544755105.228,245171378402.656,259219800272.228,282352899054.911,258968488655.745,119615403916.79
"R&D",37907998676.9199,40015074784.8382,45996165970.9185,56866629764.9995,53014017227.6803,58002563514.1113,62516019209.3957,66212906059.7004,67780181248.6668,74511868964.1402,71911949967.9083,68381095430.8067,63231719784.4355,56136644328.7951,54623686051.8655,52802051831.9288,57230702692.3154,55012244634.7711,56697645738.795,58913395511.8316,66465729448.7832,64811965641.8319,70872340864.282,85368116263.3445,84467347148.31,33751376876.37
"Services (Non-R&D)",90353035827.1973,101675675801.441,123816023448.696,148000886190.949,159480292264.366,179196752211.647,198674485375.33,208367533841.747,232877942952.899,263864886543.128,266086488879.046,255461137161.032,245974425443.479,223482192647.734,226641990614.828,221726694679.714,232140317217.41,253544561161.251,277674435721.708,298278848557.276,329752384888.643,335809813571.445,364665521250.831,393361021997.104,412413437419.756,161636851971.98
"Unlabeled",151013212.4752,407639176.776,665830371.6575,674344393.1326,346216180.0659,436880076.3231,526756190.8234,311919649.0391,208084011.4077,107979879.8621,33511986.7222,2385164.9461,-3571592.0831,-7339629.7706,-176374.15,-771054.7156,4772115.7133,232336.3083,-244515.52,37111.09,13033.91,316167.55,-42739.27,-6056.62,3701849.77,5781734.08
