"PlatformPortfolio","SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Products (All)",26269738253.9141,27402512070.5877,28465084332.5,33417000338.223,33013087242.078,31666541505.7127,36405009977.4251,42140803437.352,47477014347.6124,45170806060.2098,44140395976.4189,51325134471.5834,56280406365.9665,55261432598.7871,41172839212.3735,44356897586.2231,57349351521.4415,66383177980.2887,66145123111.0381,70004648651.7854,84539626916.5969,53245222489.6788,55400754783.5541,77710527619.9733,54728429449.43,36252939363.78
"Electronics, Comms, & Sensors","Products (All)",13307434816.6693,13449685718.5488,16121081122.2987,19565435463.531,22759921391.6004,24607739330.4269,26492791028.0924,30566619939.7104,32470736985.1652,31098655706.8263,32425946652.9486,28598866920.5852,28364735251.347,24187407652.4206,25569739707.6022,25470704158.1304,27793105903.6184,28949805451.5667,31468600461.4256,33383846770.1047,32842375317.9594,30877902761.649,34313301388.4943,38587932614.5887,41490618840.97,19565128656.3
"Facilities and Construction","Products (All)",3030925305.2432,3602715206.4911,4964454905.0984,6536442938.972,7251867944.2424,9088624339.6625,10442005168.0237,10667312891.9529,11312247259.6052,11784980940.7102,12209981691.2292,12010798415.0129,9943968705.6151,7815964600.289,8088352081.6564,8044004375.5084,8165585138.4771,9633637067.7466,10067040431.1704,10662920710.9108,11596017517.9797,12781426978.4162,12069874115.5828,12762361306.0761,12231615449.91,6061983956.87
"Land Vehicles","Products (All)",4038541300.9976,3281198385.6609,5095153099.1851,10001346842.3962,8693628055.3009,14156294029.3569,13057148747.4909,24650520727.9551,36313052463.9972,25683265043.9522,24232514874.0921,19118866721.7918,11535146175.9403,7614482060.2671,6777104669.9211,8282001853.3018,8261185317.558,9159161927.6319,12114694877.373,12603852663.8662,11666547408.4796,9376781213.9636,10887336806.9835,13910538906.4022,12930033043.5532,7880708202.56
"Missile Defense","Products (All)",1129313192,1858297951,3522399672,3340721261,3993688673,4339849491.88,4943980265.0602,5608034857.7656,5590264666.0629,6533950930.0233,6645036446.488,7365649585.3433,8002523590.813,8275260218.702,5488209829.483,7168594694.63,7366267338.0396,4907501167.9884,10982391186.1999,10306006374.7818,15531778020.7328,7955818214.696,9227087172.2722,7381927554.0168,7078317570.07,2832292385.77
"Ordnance and Missiles","Products (All)",4723429588.2018,5289479925.2801,6549197096.2434,8030306788.3555,9826739567.6367,10503488022.559,10248131187.3606,11399535034.9002,14312230271.593,12235954536.2314,11983348418.8412,11975383515.3141,11846823352.5102,9911385585.269,9616968364.0961,10036394846.3686,12818281672.0901,14899255762.0632,16962961801.7444,19653172790.9043,19406982483.6518,16732329105.7905,16072038168.0329,28227947800.2069,30521154417.52,13148803094.75
"Other Products","Products (All)",17211940068.4391,17416491560.8403,19914269532.7711,23644192709.3688,28199494523.7516,47399136039.5509,53572006143.423,55928142578.5757,62052099103.8197,62455526878.0473,73943590746.3383,56179702217.622,60040656537.7466,48135993925.7807,44379519557.9363,42135562173.7611,41220105686.5138,43286415896.2012,46421418438.3294,45427038033.9256,62902050454.6273,83200185704.4071,87784553498.6394,65358093957.1934,63976355340.0118,38922376739.85
"Ships & Submarines","Products (All)",6891759655,7171711803,7553322587.9,8450117410.9371,10842281982.0451,9538379941.7711,11574405385.3725,11272577409.2411,13999367624.4141,16855173629.6492,13789767323.3705,25699196644.449,21018486196.1042,20629068581.2138,21018068530.8509,18277182325.4285,21243406105.3,23703479658.5539,26136254608.9718,29003624735.8341,35524998976.6339,28485130942.6396,30840890277.4704,36056174590.7581,34689042894.27,29932447669.61
"Space Systems","Products (All)",606881059.0938,1551632587,1516559427.64,1007209454.38,1953127833.85,2485473671.7099,2697955049.9619,2706543959.1576,3931591482.9893,4916579300.9885,4059147515.4695,4163242450.0404,4967488168.3297,2559794997.64,3123035342.059,1939163193.35,2226808033.6396,1631874347.899,1679856671.7007,1817332638.7511,1534378008.5669,2516580991.4152,2617688939.5722,2342797022.5498,1312039816.51,1069128718.65
"Unlabeled","Products (All)",,,,,,,,,,,,,,,,,,,,,,,6275121.6257,14597683.1454,10881833.5,7686858.64
