"SimpleArea","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",7085,44431060,21140332.0996,175619159.2582,118563060.1874,342457582.6772,63282255.0195,296519057.4979,71377960.0275,105699716.94,461118715.7527,565545226.0718,963020374.5906,943840359.9696,440011065.9585,655679600.4811,652732953.1515,631519798.79,794940003.9513,411410694.89
"R&D",1219878,,,,,-105145,-1300,0,-62595.4799,-2174.75,,-5095.8701,-100569.0899,-26786.5391,-430971.9688,-93599.3134,-320988.5469,,,
"Services",,111569,7178271,7619211.25,5868391.5874,-9649340.8418,-5237814.0721,63617199.5712,-183270.2631,65474972.52,8922326.4447,28211638.2245,25354413.8124,88652645.4512,136835219.2763,480733349.2919,166283603.4493,184936454.0108,167621588.7389,-7652114.02
