"program","Active","CANCLD","CHGOFF","COMMIT","Cancelled","Closed","EXEMPT","NOT FUNDED","PIF","Reinstate","NA"
"504",,360225720,79592000,,,,697042000,109736000,1347099186,,835000
"7(A)",,1188006112.99,500812408,166011300,,,2633573800,,5500854151.59,,
"SBG",32742644.38,,,,34746002.94,13327019.7,,,,3271462,3915576
