"program","504","504 Refinance","504REFI","ALP","BID","CA","CLP","COMM EXPRS","Direct Loans","EWCP","EXIM","EXPRES EXP","FINAL","GO LOANS","INTER TRDE","OTH 7A","PATRIOT EX","PCLP","PLP","RLA","SBA EXPRES","SLA","Y2K"
"504",807741406,23890000,15597000,1492333500,,,,,9087000,,,,,,,,,245881000,,,,,
"7(A)",,,,,,24972500,259554579,32309800,,332930835,5575000,30877800,,3086400,263820551,2011512105,45877200,,5123292202.58,8550000,1734999800,111649000,250000
"SBG",,,,,40153598,,,,,,,,47849107.02,,,,,,,,,,
