"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",8636765200.09,10224864678,13391908160.2411,15543175627.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35618854636.1993,29439139717.4225,29987721179.0701,35353479895.3265,26660379036.4712,24340029384.9638,21065394040.0249,19404060630.3798,21592086886.0599,25366831507.1032,23213918227.2358,25597314328.7734,53375243137.3981,58547338829.7781,32840179548.1143,32321738758.0118,13485476945.84
"DHS",3951000,521190.7,899000,36580670.3903,107845774.3991,200254486.7969,214616423.6576,199003185.6806,351396593.3239,287621556.7132,246524619.4129,216332083.1902,210364325.3926,197510619.5691,205096891.9862,216156651.1248,215350259.9,756968446.6654,454348535.1058,213041390.2846,1616260740.274,381108893.6235,312503743.4869,327553858.6191,332111673.72,250984350.98
"Energy",30593578,47332600,21582595,7737184.5508,31917797.25,23463871.1129,16380547.4724,83911536.0578,52958952.4652,577331081.2997,32181876.0128,5628851.0767,5751852.5104,4087886.831,6059402.4598,249173442.965,8131408.53,6354523.934,8415960.2549,10797559.3296,19393871.1449,11993696.9085,23091738.2627,17058171.2701,14800730.14,47418633.63
"GSA",97720270.47,91451237.372,90580505.3699,227980265.6388,229550927.2956,307577582.8095,305704452.4456,249350193.2971,328136114.025,545179573.1948,303013929.799,269981450.5477,224723383.1525,154314080.1267,224993130.082,67148639.9183,58836281.2902,142102241.5872,134855342.4579,150401147.3213,172696111.451,154759461.4031,166622932.5163,204031924.7744,155805067.42,58908445.74
"HHS",137546047.66,242931352.6316,425734646.7413,458854505.8892,330474787.2378,1319840456.7297,2177566428.4449,3850310982.3738,3580666294.0319,6881985032.0211,4761444853.3116,5300296431.8839,4538271725.452,4618930282.5115,4410511259.5632,4603952525.1156,5436108138.53,5513828239.4081,5193359568.9043,5634448802.8005,12376679393.2799,6388275066.4968,6452881252.4404,7919359437.0468,8940784239.21,2911364163.13
"NASA",49538916.3555,64906636.1256,58270398.0591,44275269.845,59100286.4394,73974052.3847,100872495.3529,84003002.0973,95388898.5066,97293277.0144,69601691.9525,50029749.9204,55278346.1851,50407140.9323,61921322.6514,42539781.6351,60550691.2445,47884046.0285,57012939.2917,47555923.4653,93986715.6577,82324389.3415,110860833.0844,241107446.8345,171875135.3,76423716.24
"Other Agencies",6184438261.0199,4261158943.9569,3832955703.6156,4033270453.9574,5004460256.5614,8518827554.5794,9601929077.803,10093669197.4951,11414543465.4092,11872277504.5314,32671339214.1397,13247775431.7842,11843821508.3845,8581391282.1485,6868982620.6169,6335779340.3185,6669914931.2711,5675652146.4476,4934309932.7015,5982284449.2141,12136598827.8631,11353373196.4313,9897103090.3952,10054015225.7645,8495395548.26,3396683740.44
"State and IAP",275392269.5859,307853216,158197837.07,73988574.7518,209292812.104,281973586.4976,372899265.8698,370438834.2125,314851221.543,260126046.3444,619113682.2785,265109981.3578,553857122.4097,431439056.2328,386820219.5012,419988835.2593,284507573.4998,269732179.4186,259734134.2154,248489783.3915,260952502.0625,242944990.4745,384579475.9388,280588741.2924,348035564.48,59185176.89
"VA",1796214609.2578,2175708834.0542,1938873049.6741,3222154253.9193,3910261576.5358,4884722701.5841,6162039172.7578,6705723942.8204,6814052199.035,6317814544.729,5801231162.0088,6836827058.791,7255108378.9333,7437534540.9576,7875105326.1118,9135428917.3996,9082645771.8684,9281807186.6519,10012550518.2947,9926100750.8829,10628167964.1208,11210162872.3298,11889571602.7366,13474199603.4773,13195808623.47,6937538356.72
