"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",17211940068.4391,17416491560.8403,19914269532.7711,23644192709.3688,28199494523.7516,47399136039.5509,53572006143.423,55928142578.5757,62052099103.8197,62455526878.0473,73943590746.3383,56179702217.622,60040656537.7466,48135993925.7807,44379519557.9363,42135562173.7611,41220105686.5138,43286415896.2012,46421418438.3294,45427038033.9256,62902050454.6273,83200185704.4071,87784553498.6394,65358093957.1934,63976355340.0118,27223983529.61
"R&D",179512,237128,2191690,2095383,,,,,,,,,,,,,,,,,,,,,,
"Services (Non-R&D)",40572,,2540673,1728714,,,,,,2956374,,,,,,,,,,,,,,,,
