"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",142679234,169072555,195548795.75,240854345.0938,259926174.6685,357617584.5344,428362723.1004,607769836.7184,596899669.5461,615091307.9212,474824286.7521,543040338.5492,510771508.4715,418706941.8304,430863978.3026,309321722.9856,404359756.2264,422982071.2581,438625351.9308,478793253.4387,357691243.2445,699512138.2068,455856512.848,2011282730.6807,686044477.14,376562190.63
"Large",5895708073.1064,6732842870.9594,7873451305.8323,10285531921.4507,12493826077.3326,17676289811.0656,21816999856.3863,25026604913.4249,27743693048.2376,33458544935.5819,48167351970.2145,26752986738.1386,31849627100.8857,23717631135.5196,24232660184.2113,24141521357.1647,23212008570.5119,24178192760.0302,25516259898.82,23991722841.2588,31650006744.5298,56538163614.1912,60543252995.572,35195709908.8691,33430411820.23,14668608250.05
"Medium",6436124314.7405,5069301395.7057,5733098765.3288,6611792932.5095,7611072736.9413,12016453956.1754,13978415657.5692,13711705853.8901,13524289000.4101,14332961395.8303,12822379454.5491,16002049748.647,14801756087.4601,12618889757.9191,9610359377.7117,8586310144.7089,8445631065.9036,8263426433.6905,8532904282.3032,9008004419.6553,14771136930.9206,12806987397.5587,11722394796.21,13503382731.6785,12432651315.4917,5689520602.3
"Small",3207750001.0859,3906345918.4753,4209702903.5849,5614057975.6795,6048646727.5541,10181060873.4063,9664599925.9463,9647271071.4719,10800569416.0734,10331359713.7876,9828010114.2357,9626456237.5603,9793087550.4309,8490997632.2277,8004371613.7323,7495738919.4917,7646224935.1536,8690747840.5873,10208677870.4101,9943870647.8064,13589848585.9496,10915515372.1039,13237792789.6985,12729665806.0141,13700469447.4001,5638748402.28
"To Be Labeled",649773469.1313,270557029,377065237.305,530335841.8226,510735123.7112,924596772.4276,1329404557.4589,1015280905.1434,1526231693.6428,1655024975.1585,1434467977.9867,2266222632.9471,2247785753.157,2120870747.0828,1684701505.0899,1230758235.3028,1164386837.9199,1252936543.6877,1190353550.45,1408818821.9862,2058000542.844,1899603226.179,1776196043.0217,1877605427.9378,3686125912.89,835695219.46
"Unlabeled",880125060.375,1268608919.6999,1530134887.9701,365443789.8127,1275287683.5439,6243117041.9416,6354223422.9619,5919509997.927,7860416275.9097,2065500923.7678,1216556942.6002,988946521.7798,837628537.3414,768897711.2011,416562898.8885,371911794.1074,347494520.7984,478130246.9474,534597484.4153,595828049.7802,475366407.1388,340403956.1675,49060361.2892,40447352.0132,40652366.86,14848864.89
