"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","TYPOP","TYPOP_LABEL","CONCENFI","CONCENFI_LABEL","YEAR","FIRM","ESTAB","RCPTOT","PAYANN","PAYQTR1","EMP","VAL_PCT","HHI","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","Type of operation code","Meaning of Type of operation code","Firm concentration code","Meaning of Firm concentration code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Sales, value of shipments, or revenue of largest firms as percent of total sales, value of shipments, or revenue (%)","Herfindahl-Hirschman Index (based on sales, value of shipments, or revenue) (%)","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed",
"0100000US","United States","325920","Explosives manufacturing","00","All establishments","001","All firms","2017","56","93","2460111","481298","124764","7140","100.0","X","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","325920","Explosives manufacturing","00","All establishments","604","4 largest firms","2017","4","14","1230687","258202","67758","3579","50.0","X","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","325920","Explosives manufacturing","00","All establishments","608","8 largest firms","2017","8","21","1785007","325933","84943","4509","72.6","X","10% to less than 20%","Less than 10%","Less than 10%",
"0100000US","United States","325920","Explosives manufacturing","00","All establishments","620","20 largest firms","2017","20","56","2347220","451518","116697","6621","95.4","X","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","325920","Explosives manufacturing","00","All establishments","650","50 largest firms","2017","50","87","2458419","480937","124687","7130","99.9","870.3","10% to less than 20%","Less than 10%","10% to less than 20%",
