"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","NAPCS2017","NAPCS2017_LABEL","YEAR","NAPCSDOL","NAPCSDOL_S","NAPCSDOL_IMP",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS Code","2017 NAPCS collection code","Meaning of NAPCS collection code","Year","Sales, value of shipments, or revenue of NAPCS collection code ($1,000)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed",
"0100000US","United States","332994","Small arms, ordnance, and ordnance accessories manufacturing","0000000000","Total","2018","6120498","2.4","10% to less than 20%",
"0100000US","United States","332994","Small arms, ordnance, and ordnance accessories manufacturing","0000000000","Total","2019","6572729","3.1","20% to less than 30%",
"0100000US","United States","332994","Small arms, ordnance, and ordnance accessories manufacturing","0000000000","Total","2020","8982231","3.4","20% to less than 30%",
"0100000US","United States","332994","Small arms, ordnance, and ordnance accessories manufacturing","0000000000","Total","2021","9546091","3.6","30% to less than 40%",
